Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) [],,Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) []
19.6,0,-114,-19.71575061,-30.6507694,,19.6,90,-114,-23.73531281,-35.45065532
19.6,0,-113,-22.89783393,-29.91333878,,19.6,90,-113,-32.17639964,-26.26063347
19.6,0,-112,-25.17969996,-21.18419131,,19.6,90,-112,-25.69489933,-20.85515686
19.6,0,-111,-20.40210653,-17.01391947,,19.6,90,-111,-19.63010357,-16.98873171
19.6,0,-110,-16.67137676,-14.68543145,,19.6,90,-110,-16.25879758,-14.34226533
19.6,0,-109,-14.82827142,-13.50279461,,19.6,90,-109,-14.35781235,-12.8584712
19.6,0,-108,-14.28864031,-13.00946312,,19.6,90,-108,-13.53646551,-12.37301164
19.6,0,-107,-14.56698062,-12.64164148,,19.6,90,-107,-13.61267124,-12.52611227
19.6,0,-106,-15.05973554,-11.86676235,,19.6,90,-106,-14.40221048,-12.56862588
19.6,0,-105,-15.14741187,-10.69500602,,19.6,90,-105,-15.50592881,-11.75534998
19.6,0,-104,-14.80193871,-9.577697862,,19.6,90,-104,-16.14291144,-10.37517115
19.6,0,-103,-14.52181739,-8.870707391,,19.6,90,-103,-15.76250805,-9.190542493
19.6,0,-102,-14.61365148,-8.70496987,,19.6,90,-102,-14.78351816,-8.574724307
19.6,0,-101,-14.83902091,-9.046716969,,19.6,90,-101,-13.73904918,-8.572026748
19.6,0,-100,-14.36870332,-9.671665523,,19.6,90,-100,-12.69935083,-9.018203412
19.6,0,-99,-12.73577232,-10.07369095,,19.6,90,-99,-11.53075201,-9.488822854
19.6,0,-98,-10.63391914,-9.702207018,,19.6,90,-98,-10.21303467,-9.384137756
19.6,0,-97,-8.771610563,-8.618916406,,19.6,90,-97,-8.899914544,-8.530662438
19.6,0,-96,-7.385324252,-7.349009113,,19.6,90,-96,-7.777088029,-7.375141121
19.6,0,-95,-6.485563831,-6.247846184,,19.6,90,-95,-6.959922356,-6.349839707
19.6,0,-94,-6.006776979,-5.414467022,,19.6,90,-94,-6.48300163,-5.607831458
19.6,0,-93,-5.837707625,-4.826858432,,19.6,90,-93,-6.311073093,-5.128968738
19.6,0,-92,-5.810877853,-4.429948791,,19.6,90,-92,-6.334304397,-4.825632385
19.6,0,-91,-5.71084114,-4.17594161,,19.6,90,-91,-6.361690304,-4.606675335
19.6,0,-90,-5.360190401,-4.039431161,,19.6,90,-90,-6.173751582,-4.421940645
19.6,0,-89,-4.743041323,-4.015116161,,19.6,90,-89,-5.667036124,-4.279685897
19.6,0,-88,-4.003530517,-4.104638364,,19.6,90,-88,-4.941572561,-4.228845204
19.6,0,-87,-3.318339769,-4.302071538,,19.6,90,-87,-4.197915793,-4.325234867
19.6,0,-86,-2.805820032,-4.586777247,,19.6,90,-86,-3.597380967,-4.606790523
19.6,0,-85,-2.514823543,-4.929013389,,19.6,90,-85,-3.219836168,-5.084815135
19.6,0,-84,-2.442398186,-5.308484619,,19.6,90,-84,-3.0801974,-5.74639994
19.6,0,-83,-2.549489296,-5.736609253,,19.6,90,-83,-3.150439926,-6.564195984
19.6,0,-82,-2.772726427,-6.266046647,,19.6,90,-82,-3.37482511,-7.511941321
19.6,0,-81,-3.040013725,-6.978419482,,19.6,90,-81,-3.683699632,-8.578514661
19.6,0,-80,-3.293817077,-7.954758196,,19.6,90,-80,-4.010718171,-9.760365786
19.6,0,-79,-3.512569716,-9.227440892,,19.6,90,-79,-4.30914832,-11.00248521
19.6,0,-78,-3.71212616,-10.68409171,,19.6,90,-78,-4.555490833,-12.07950874
19.6,0,-77,-3.92245322,-11.9207029,,19.6,90,-77,-4.736133564,-12.57411495
19.6,0,-76,-4.155269006,-12.37421181,,19.6,90,-76,-4.830553989,-12.29217923
19.6,0,-75,-4.38178375,-12.04769251,,19.6,90,-75,-4.811236115,-11.61605823
19.6,0,-74,-4.533704971,-11.55045998,,19.6,90,-74,-4.665826534,-11.0698781
19.6,0,-73,-4.536325351,-11.35962553,,19.6,90,-73,-4.421878767,-10.9479996
19.6,0,-72,-4.36239054,-11.63844584,,19.6,90,-72,-4.147189232,-11.33809172
19.6,0,-71,-4.061918605,-12.36072869,,19.6,90,-71,-3.92384714,-12.19100491
19.6,0,-70,-3.737809223,-13.37178812,,19.6,90,-70,-3.817226431,-13.32606233
19.6,0,-69,-3.497306767,-14.34885515,,19.6,90,-69,-3.855369334,-14.39405114
19.6,0,-68,-3.421758328,-14.70767164,,19.6,90,-68,-4.023444795,-14.83842631
19.6,0,-67,-3.563310001,-13.94516143,,19.6,90,-67,-4.282390101,-14.15869118
19.6,0,-66,-3.959177619,-12.46966797,,19.6,90,-66,-4.619641798,-12.64894446
19.6,0,-65,-4.653390926,-11.17795429,,19.6,90,-65,-5.100854796,-11.18940246
19.6,0,-64,-5.709380786,-10.65390378,,19.6,90,-64,-5.857612095,-10.4222588
19.6,0,-63,-7.183252892,-11.1687876,,19.6,90,-63,-6.996039314,-10.65886686
19.6,0,-62,-9.021198312,-12.73409893,,19.6,90,-62,-8.478840067,-12.00017057
19.6,0,-61,-10.89699152,-14.62967825,,19.6,90,-61,-10.0666684,-14.12690327
19.6,0,-60,-12.22344362,-15.27442562,,19.6,90,-60,-11.31624655,-15.78657636
19.6,0,-59,-12.38101514,-15.21882485,,19.6,90,-59,-11.26772063,-16.36203379
19.6,0,-58,-10.99201793,-16.28528393,,19.6,90,-58,-9.37845048,-17.31677655
19.6,0,-57,-8.940003516,-18.84217318,,19.6,90,-57,-7.221025923,-19.23985953
19.6,0,-56,-7.545321661,-21.38212385,,19.6,90,-56,-6.153123616,-21.11933266
19.6,0,-55,-7.426197684,-23.72825374,,19.6,90,-55,-6.660770915,-22.98320671
19.6,0,-54,-8.720116413,-25.10882437,,19.6,90,-54,-8.948311524,-22.20124559
19.6,0,-53,-11.2025855,-18.424378,,19.6,90,-53,-12.95128932,-17.19221809
19.6,0,-52,-14.1986147,-14.60496053,,19.6,90,-52,-18.48835109,-14.50078096
19.6,0,-51,-15.49532277,-14.13613231,,19.6,90,-51,-23.07031413,-14.87530904
19.6,0,-50,-12.12014922,-16.62984886,,19.6,90,-50,-13.58216724,-18.05593093
19.6,0,-49,-8.970942049,-21.04141895,,19.6,90,-49,-8.919780914,-20.31196339
19.6,0,-48,-8.216502791,-22.5300418,,19.6,90,-48,-7.881785193,-19.91708502
19.6,0,-47,-9.994659247,-17.9714858,,19.6,90,-47,-9.942058955,-18.56569783
19.6,0,-46,-13.8082362,-13.13872795,,19.6,90,-46,-14.98826456,-14.04564073
19.6,0,-45,-15.85581164,-11.41681044,,19.6,90,-45,-19.14693834,-12.03189911
19.6,0,-44,-12.22039544,-13.3212528,,19.6,90,-44,-15.20255736,-14.02525438
19.6,0,-43,-8.027206673,-20.32633505,,19.6,90,-43,-9.855948498,-22.29263753
19.6,0,-42,-5.973555719,-35.15394278,,19.6,90,-42,-7.139928462,-25.69222768
19.6,0,-41,-6.073365173,-30.98557635,,19.6,90,-41,-6.903283885,-25.0756851
19.6,0,-40,-7.200644382,-18.99396877,,19.6,90,-40,-7.893119828,-22.4225303
19.6,0,-39,-7.179664552,-15.64313182,,19.6,90,-39,-7.985057975,-17.3751939
19.6,0,-38,-5.994093107,-18.30168319,,19.6,90,-38,-7.082482704,-18.52264122
19.6,0,-37,-5.898322122,-25.13635161,,19.6,90,-37,-7.404798731,-24.89859306
19.6,0,-36,-8.595953828,-31.51745394,,19.6,90,-36,-10.6653278,-39.89848282
19.6,0,-35,-12.44064094,-20.92988069,,19.6,90,-35,-12.48241561,-18.33913925
19.6,0,-34,-11.02454724,-13.68953982,,19.6,90,-34,-10.6179488,-13.4753382
19.6,0,-33,-12.25231067,-14.28096859,,19.6,90,-33,-13.44452634,-15.38435257
19.6,0,-32,-13.17700038,-21.94926572,,19.6,90,-32,-12.19996826,-21.24937516
19.6,0,-31,-12.68290302,-17.04307696,,19.6,90,-31,-10.16193777,-15.70612794
19.6,0,-30,-13.01051037,-15.86284585,,19.6,90,-30,-12.02294554,-17.98823007
19.6,0,-29,-9.757928961,-16.55944999,,19.6,90,-29,-9.502497104,-18.15356769
19.6,0,-28,-9.431090815,-20.40855354,,19.6,90,-28,-7.726768757,-16.15174145
19.6,0,-27,-10.37069079,-23.71885309,,19.6,90,-27,-8.167068799,-22.01073784
19.6,0,-26,-15.50509814,-14.41787043,,19.6,90,-26,-12.92852137,-16.22138358
19.6,0,-25,-17.68167884,-17.44410452,,19.6,90,-25,-17.56926496,-18.3948167
19.6,0,-24,-11.53987176,-21.82581396,,19.6,90,-24,-11.70945446,-19.74287798
19.6,0,-23,-26.93765528,-10.94102705,,19.6,90,-23,-15.83745412,-9.885872274
19.6,0,-22,-6.468198079,-11.20666341,,19.6,90,-22,-5.296524304,-10.73011474
19.6,0,-21,-5.264185638,-20.76874938,,19.6,90,-21,-4.044835079,-19.56100985
19.6,0,-20,-16.21682161,-7.19019533,,19.6,90,-20,-11.76189172,-6.704595303
19.6,0,-19,-9.488869287,-6.392069807,,19.6,90,-19,-11.54629004,-6.52177077
19.6,0,-18,-5.151789479,-15.51636482,,19.6,90,-18,-6.044125216,-15.326115
