Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) [],,Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) []
19.6,0,116,-18.76744003,-17.00168047,,19.6,90,116,-18.47735098,-18.66185129
19.6,0,117,-17.14670011,-14.2462106,,19.6,90,117,-16.35813474,-15.40939014
19.6,0,118,-15.89895874,-13.16909522,,19.6,90,118,-15.5212807,-13.80839327
19.6,0,119,-15.58049493,-13.62347207,,19.6,90,119,-15.44810502,-13.47158072
19.6,0,120,-16.35575368,-15.36463844,,19.6,90,120,-15.96421596,-14.00659266
19.6,0,121,-18.46181415,-16.63721854,,19.6,90,121,-17.72020053,-14.80575189
19.6,0,122,-23.34521659,-15.29016013,,19.6,90,122,-22.6972235,-15.1750317
19.6,0,123,-32.83696909,-13.69386207,,19.6,90,123,-26.21196294,-15.09197086
19.6,0,124,-20.61691951,-13.46897794,,19.6,90,124,-18.14415273,-15.47426546
19.6,0,125,-16.32067964,-15.03486315,,19.6,90,125,-15.35062385,-17.81148606
19.6,0,126,-15.95488119,-19.2632187,,19.6,90,126,-16.34373602,-25.96665484
19.6,0,127,-19.85049575,-25.23213016,,19.6,90,127,-22.3739726,-23.45245503
19.6,0,128,-36.34444016,-19.84624645,,19.6,90,128,-25.19714586,-16.49651009
19.6,0,129,-21.26759829,-17.47563892,,19.6,90,129,-18.21095208,-15.46310409
19.6,0,130,-18.1724998,-18.82186384,,19.6,90,130,-16.68863604,-18.47925178
19.6,0,131,-19.22069333,-18.71022682,,19.6,90,131,-17.43201052,-19.8473399
19.6,0,132,-22.4184168,-15.15224012,,19.6,90,132,-19.54488632,-15.96359275
19.6,0,133,-30.36173595,-14.12040234,,19.6,90,133,-25.16440461,-15.44396274
19.6,0,134,-27.94247798,-16.06297389,,19.6,90,134,-22.31587226,-17.66718382
19.6,0,135,-19.74267172,-20.00610447,,19.6,90,135,-17.61896479,-19.4406998
19.6,0,136,-19.32247862,-23.03707009,,19.6,90,136,-19.06911252,-20.26933083
19.6,0,137,-23.15560695,-18.07953661,,19.6,90,137,-26.53638618,-17.22377412
19.6,0,138,-19.66866199,-13.45238886,,19.6,90,138,-20.557133,-13.62062012
19.6,0,139,-18.46292678,-11.82874999,,19.6,90,139,-20.77224227,-12.38144947
19.6,0,140,-24.54760328,-11.05900444,,19.6,90,140,-27.95337313,-10.71609919
19.6,0,141,-27.85550351,-10.01086559,,19.6,90,141,-21.87040629,-9.024612002
19.6,0,142,-23.85129192,-10.8941455,,19.6,90,142,-25.40331549,-10.14060675
19.6,0,143,-20.61484943,-15.49468071,,19.6,90,143,-19.71907213,-15.30148864
19.6,0,144,-17.28832811,-22.40807402,,19.6,90,144,-15.24109143,-21.2695358
19.6,0,145,-20.36265597,-18.92822671,,19.6,90,145,-19.41913721,-17.65771476
19.6,0,146,-34.03811648,-12.90907768,,19.6,90,146,-28.05041507,-11.64243501
19.6,0,147,-24.21951684,-10.55790011,,19.6,90,147,-19.59936868,-9.787506736
19.6,0,148,-26.31610671,-11.7160613,,19.6,90,148,-30.82404626,-12.11019594
19.6,0,149,-18.55617414,-13.78582386,,19.6,90,149,-18.79377908,-15.06759422
19.6,0,150,-19.1601811,-13.72322625,,19.6,90,150,-18.3791212,-15.63912432
19.6,0,151,-27.84412914,-11.4022802,,19.6,90,151,-30.49593597,-13.04696939
19.6,0,152,-23.21010215,-10.75489264,,19.6,90,152,-21.22535608,-11.28896196
19.6,0,153,-21.9916584,-15.51929016,,19.6,90,153,-39.81041099,-16.47023041
19.6,0,154,-16.02145873,-27.92619253,,19.6,90,154,-18.54034931,-24.06309854
19.6,0,155,-18.16455841,-30.71995037,,19.6,90,155,-18.7528604,-19.7347369
19.6,0,156,-19.70437566,-22.10671312,,19.6,90,156,-22.20754089,-30.18490375
19.6,0,157,-15.77353235,-20.35280428,,19.6,90,157,-17.86789076,-21.32322047
19.6,0,158,-18.78488853,-12.66379294,,19.6,90,158,-28.61882665,-12.5777006
19.6,0,159,-17.25035742,-7.294448092,,19.6,90,159,-19.06959199,-7.348036835
19.6,0,160,-22.32726373,-7.880440964,,19.6,90,160,-24.73694088,-7.732003628
19.6,0,161,-13.38055475,-12.0502314,,19.6,90,161,-13.62577437,-12.0189372
19.6,0,162,-11.66203963,-13.45922033,,19.6,90,162,-11.74366836,-13.12690268
19.6,0,163,-18.29481023,-8.278310434,,19.6,90,163,-20.95991823,-8.126257833
19.6,0,164,-23.00950303,-6.323630624,,19.6,90,164,-24.27765233,-6.328281355
19.6,0,165,-20.85444875,-11.05095876,,19.6,90,165,-25.10166825,-10.80805458
19.6,0,166,-12.0434464,-33.42700635,,19.6,90,166,-12.97044814,-21.10255413
19.6,0,167,-15.17749166,-19.99742044,,19.6,90,167,-15.75761997,-15.4411406
19.6,0,168,-25.98684184,-11.66778078,,19.6,90,168,-23.27850439,-10.74749838
19.6,0,169,-21.07813469,-12.3174104,,19.6,90,169,-17.15707062,-12.1948464
19.6,0,170,-20.40762902,-13.42587979,,19.6,90,170,-19.68472395,-13.4053215
19.6,0,171,-15.53580846,-9.961698074,,19.6,90,171,-15.56568027,-9.571959019
19.6,0,172,-27.83266253,-13.95522203,,19.6,90,172,-26.22816244,-11.76692892
19.6,0,173,-13.42431124,-14.5791912,,19.6,90,173,-13.35869321,-12.65264621
19.6,0,174,-22.66571953,-12.17694772,,19.6,90,174,-17.73478193,-12.33455192
19.6,0,175,-14.00632475,-6.984187765,,19.6,90,175,-14.5887519,-7.316457419
19.6,0,176,-17.04248215,-9.820616285,,19.6,90,176,-17.86676895,-10.04082661
19.6,0,177,-14.45357181,-14.97431589,,19.6,90,177,-14.49861646,-12.62714255
19.6,0,178,-9.72397143,-18.3937008,,19.6,90,178,-9.399293134,-14.7374488
19.6,0,179,-18.17325968,-4.37063649,,19.6,90,179,-15.0694997,-4.322177231
19.6,0,180,-27.23133464,-0.571748784,,19.6,90,180,-27.23133464,-0.571748784
