CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,BPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,1.62399641971094,35.78829865093,35.7882986509264,5.90311099091983e-17,0,NaN,NaN,1,OK,,4.751091
2,NoH_baseline,BPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.59016179943338,35.9711736767852,35.9711736767815,1.223339926102e-17,0,NaN,NaN,1,OK,,15.3569137
3,NoH_baseline,BPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.62718173614759,35.7712787802509,35.7712787802474,1.0505417581983e-16,0,NaN,NaN,1,OK,,4.1605432
4,NoH_baseline,BPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.60381822401678,35.8968971197906,35.896897119787,-5.14343523381188e-17,0,NaN,NaN,1,OK,,47.7587109
5,NoH_baseline,BPSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,40,43,1.60877384754072,35.870100046151,35.8701000461474,-6.33674364291458e-17,0,NaN,NaN,1,OK,,11.1874571
6,NoH_baseline,BPSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,40,43,1.62048934061394,35.8070764271959,35.8070764271924,1.39679298689981e-17,0,NaN,NaN,1,OK,,233.139231
7,NoH_baseline,QPSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,1.51323471604189,36.4018740770005,36.4018740769964,-0.00193352109573784,0,NaN,NaN,1,OK,,4.3984147
8,NoH_baseline,QPSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.53439702975713,36.2812450173541,36.2812450173502,-0.00225619602756842,0,NaN,NaN,1,OK,,25.6076552
9,NoH_baseline,QPSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.54927484711841,36.1974305990003,36.1974305989964,0.00963244615349008,0,NaN,NaN,1,OK,,3.8644175
10,NoH_baseline,QPSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,1.5035746512562,36.4575000932207,36.4575000932165,-0.00271837075450193,0,NaN,NaN,1,OK,,87.0408804
