10	3.5	15.5	  34.3   2.9	17.1	44.3
20	3.4	13.9	  30.9   2.4	17.1	39.9
30	2.9	12.4	  29.0   2.7	15.6	37.5
40	3.0	11.7	  27.7   2.4	14.6	35.8
50	3.1	10.6	  26.8   2.4	14.2	34.6
60	2.7	10.5	  26.2   2.7	12.6	33.8
70	2.5	10.1	  25.8   2.6	12.1	33.3
80	2.3	9.2	  25.5   2.8	12.3	33.0
90	1.2	9.2	  25.5   0.6	12.3	32.9
