Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Seed,BER,LockRate_pct,FER,EVM_post_pct,MER_dB,SNR_est_dB,FrameErrors,CountedFrames,MatchedFrames,DecodedFrames,HGain_dB,Pass,Success,ErrorMsg,ElapsedTime_s
default_ChannelData,GMSK,"RS(255,239)_D2",239,2,478,510,1,0,61.7647058823529,0,4.34559917510601,27.2390066834923,27.2390066834923,0,19,21,34,18.1538440455445,0,1,,2.4188561
default_ChannelData,GMSK,"RS(255,239)_D4",239,4,956,1020,1,0,67.6470588235294,0,7.61569343010587,22.3658109360985,22.3658109360985,0,21,23,34,17.9350461933797,0,1,,3.1832943
default_ChannelData,GMSK,"RS(255,239)_D5",239,5,1195,1275,1,0.0121258448664306,82.3529411764706,0.0384615384615385,9.60955005344577,20.3459389352459,20.3459389352459,1,26,28,34,17.6934584109114,0,1,,3.4132457
default_ChannelData,GMSK,"RS(255,239)_D8",239,8,1912,2040,1,0,64.7058823529412,0,4.59364574410663,26.7568500013306,26.7568500013306,0,20,22,34,17.6601981977762,0,1,,4.2941482
std2_TDL,16QAM,"RS(255,223)_D1",223,1,223,255,1,0.5,0,NaN,2.6484076162719,31.5403034369584,31.6126588124166,0,0,4,34,14.7276600823184,0,1,,1.4692427
std2_TDL,16QAM,"RS(255,223)_D2",223,2,446,510,1,0.5,0,NaN,5.23411433612893,25.6231358937335,25.6189646641962,0,0,5,34,16.2951711505583,0,1,,1.7297397
std2_TDL,16QAM,"RS(255,223)_D3",223,3,669,765,1,0.5,0,NaN,3.52910046827877,29.0467195548295,29.0104351004207,0,0,3,34,17.495957627216,0,1,,1.9806912
std2_TDL,16QAM,"RS(255,223)_D4",223,4,892,1020,1,0.5,0,NaN,3.51187267965084,29.0892247501216,29.1670438090423,0,0,4,34,17.9230700045071,0,1,,2.2218798
std2_TDL,16QAM,"RS(255,223)_D5",223,5,1115,1275,1,0.5,0,NaN,3.13616194313681,30.0720303917238,30.0664678615752,0,0,9,34,18.4072260197323,0,1,,2.4176328
std2_TDL,16QAM,"RS(255,223)_D8",223,8,1784,2040,1,0.5,0,NaN,4.09388934980001,27.7572779937081,27.8275827144572,0,0,7,34,17.936526028173,0,1,,2.8081527
std2_TDL,16QAM,"RS(255,239)_D1",239,1,239,255,1,0.5,0,NaN,3.49367399409994,29.1343524574053,29.1957598016835,0,0,6,34,14.7313724399355,0,1,,1.4692408
std2_TDL,16QAM,"RS(255,239)_D2",239,2,478,510,1,0.5,0,NaN,5.27345132207292,25.5581011700022,25.5954630413762,0,0,13,34,16.2961333468771,0,1,,1.7322717
std2_TDL,16QAM,"RS(255,239)_D3",239,3,717,765,1,0.5,0,NaN,3.40588689305665,29.3553955745441,29.3671923481022,0,0,6,34,17.4922830919847,0,1,,2.0020295
std2_TDL,16QAM,"RS(255,239)_D4",239,4,956,1020,1,0.5,0,NaN,3.30254477113177,29.6230257227248,29.692646676674,0,0,4,34,17.9274198646095,0,1,,2.2726908
std2_TDL,16QAM,"RS(255,239)_D5",239,5,1195,1275,1,0.5,0,NaN,3.06440533481221,30.2730758054,30.2696000590599,0,0,5,34,18.417697394168,0,1,,2.3687711
std2_TDL,16QAM,"RS(255,239)_D8",239,8,1912,2040,1,0.5,0,NaN,4.32889510502549,27.272458752023,27.2382758920513,0,0,4,34,17.9375099692516,0,1,,2.7407032
std2_TDL,GMSK,"RS(255,223)_D1",223,1,223,255,1,0.0501058794220229,58.8235294117647,0.0555555555555556,4.20462064825906,27.5254636253816,27.5254636253816,1,18,20,34,17.882336190519,0,1,,1.8371739
std2_TDL,GMSK,"RS(255,223)_D2",223,2,446,510,1,0,85.2941176470588,0,4.3530616089205,27.2241037245071,27.2241037245071,0,27,29,34,17.928204000308,0,1,,2.3937427
std2_TDL,GMSK,"RS(255,223)_D3",223,3,669,765,1,0.0232793178420981,70.5882352941177,0.0909090909090909,3.73391108413633,28.556720562922,28.556720562922,2,22,24,34,17.6837599855356,0,1,,2.7969246
std2_TDL,GMSK,"RS(255,223)_D4",223,4,892,1020,1,0.000560538116591928,52.9411764705882,0.0625,3.93704368444046,28.0965953272272,28.0965953272272,1,16,18,34,17.8628957269125,0,1,,3.1277622
std2_TDL,GMSK,"RS(255,223)_D5",223,5,1115,1275,1,0.0554242842359434,50,0.153846153846154,4.14369998077666,27.6522339330654,27.6522339330654,2,13,17,34,17.7064768956917,0,1,,3.4124062
std2_TDL,GMSK,"RS(255,223)_D8",223,8,1784,2040,1,0.018187024761162,73.5294117647059,0.0869565217391304,3.75241744679079,28.5137770692226,28.5137770692226,2,23,25,34,17.6588251826167,0,1,,4.397497
std2_TDL,GMSK,"RS(255,239)_D1",239,1,239,255,1,0.000871687587168759,67.6470588235294,0.0476190476190476,4.24868342790572,27.4349125452401,27.4349125452401,1,21,23,34,17.882336190519,0,1,,1.8631108
std2_TDL,GMSK,"RS(255,239)_D2",239,2,478,510,1,0.040402719665272,64.7058823529412,0.1,4.30734743980939,27.3158019141501,27.3158019141501,2,20,22,34,17.928204000308,0,1,,2.4754347
std2_TDL,GMSK,"RS(255,239)_D3",239,3,717,765,1,0.0430613668061367,52.9411764705882,0.125,3.72247280657075,28.5833693234937,28.5833693234937,2,16,18,34,17.6837599855356,0,1,,2.8333891
std2_TDL,GMSK,"RS(255,239)_D4",239,4,956,1020,1,0.0327405857740586,64.7058823529412,0.1,3.91830582744058,28.1380333985439,28.1380333985439,2,20,22,34,17.8628957269125,0,1,,3.2774327
std2_TDL,GMSK,"RS(255,239)_D5",239,5,1195,1275,1,0.0202615062761506,64.7058823529412,0.05,4.15462343782597,27.6293666640011,27.6293666640011,1,20,22,34,17.7064768956917,0,1,,3.4757141
std2_TDL,GMSK,"RS(255,239)_D8",239,8,1912,2040,1,0.0423432151007988,70.5882352941177,0.136363636363636,3.72353790634437,28.5808844119062,28.5808844119062,3,22,24,34,17.6588251826167,0,1,,4.3993773
std3_CDL,16QAM,"RS(255,223)_D1",223,1,223,255,1,0.5,0,NaN,4.68405990802539,26.5875511807959,26.6503285392244,0,0,6,34,16.0382856774738,0,1,,1.430617
std3_CDL,16QAM,"RS(255,223)_D2",223,2,446,510,1,0.5,0,NaN,5.57674317556971,25.0723871101729,25.0765543372498,0,0,5,34,16.4551786622194,0,1,,1.6554812
std3_CDL,16QAM,"RS(255,223)_D3",223,3,669,765,1,0.5,0,NaN,4.08541408303276,27.7752783671492,27.7389939127406,0,0,3,34,17.0427959202991,0,1,,1.9156005
std3_CDL,16QAM,"RS(255,223)_D4",223,4,892,1020,1,0.5,0,NaN,4.92021051838081,26.1603262982496,26.2093840280861,0,0,4,34,17.4823078310026,0,1,,2.1306507
std3_CDL,16QAM,"RS(255,223)_D5",223,5,1115,1275,1,0.5,0,NaN,3.55895894858315,28.9735404282154,28.9679778980671,0,0,9,34,17.6475132260209,0,1,,2.2758686
std3_CDL,16QAM,"RS(255,223)_D8",223,8,1784,2040,1,0.5,0,NaN,6.33687736506388,23.9624939502564,23.9798310783462,0,0,7,34,17.5059176983136,0,1,,2.6818956
std3_CDL,16QAM,"RS(255,239)_D1",239,1,239,255,1,0.5,0,NaN,5.20693022651469,25.6683648376621,25.7187964823533,0,0,4,34,16.0463625721567,0,1,,1.4254106
std3_CDL,16QAM,"RS(255,239)_D2",239,2,478,510,1,0.5,0,NaN,5.43378266667205,25.2979547182617,25.3470124480983,0,0,13,34,16.4872729097744,0,1,,1.6704781
std3_CDL,16QAM,"RS(255,239)_D3",239,3,717,765,1,0.5,0,NaN,3.84866766795701,28.2937917713723,28.3055885449307,0,0,6,34,17.0564819175016,0,1,,1.9184417
std3_CDL,16QAM,"RS(255,239)_D4",239,4,956,1020,1,0.5,0,NaN,4.62984194460382,26.6886766969543,26.729481797573,0,0,4,34,17.488881142477,0,1,,2.1191955
std3_CDL,16QAM,"RS(255,239)_D5",239,5,1195,1275,1,0.5,0,NaN,3.51472382945321,29.0821758826216,29.0787001362817,0,0,6,34,17.6704390205262,0,1,,2.265285
std3_CDL,16QAM,"RS(255,239)_D8",239,8,1912,2040,1,0.5,0,NaN,6.57297909489166,23.6447549794881,23.5626844529221,0,0,4,34,17.5194519416803,0,1,,2.6732846
std3_CDL,GMSK,"RS(255,223)_D1",223,1,223,255,1,0.0238579035874439,100,0.03125,6.71404427857715,23.4603159788339,23.4603159788339,1,32,34,34,17.4666869787998,0,1,,1.7792628
std3_CDL,GMSK,"RS(255,223)_D2",223,2,446,510,1,0.0192288945213492,73.5294117647059,0.0434782608695652,8.24192845836819,21.6794231912074,21.6794231912074,1,23,25,34,17.5054122214683,0,1,,2.3340485
std3_CDL,GMSK,"RS(255,223)_D3",223,3,669,765,1,0.0639714125560538,52.9411764705882,0.125,3.70967493108691,28.6132828956798,28.6132828956798,2,16,18,34,17.6951263310777,0,1,,2.7127116
std3_CDL,GMSK,"RS(255,223)_D4",223,4,892,1020,1,0.0529816315971025,82.3529411764706,0.0769230769230769,5.36717806404531,25.4050799222843,25.4050799222843,2,26,28,34,17.9107433380661,0,1,,3.0196106
std3_CDL,GMSK,"RS(255,223)_D5",223,5,1115,1275,1,0.0241992312620115,67.6470588235294,0.0952380952380952,5.16263317368534,25.7425746453037,25.7425746453037,2,21,23,34,17.7553922134589,0,1,,3.3088328
std3_CDL,GMSK,"RS(255,223)_D8",223,8,1784,2040,1,0.0593163186659193,52.9411764705882,0.125,4.41533882734059,27.1007192723144,27.1007192723144,2,16,18,34,17.7868474125977,0,1,,4.1810518
std3_CDL,GMSK,"RS(255,239)_D1",239,1,239,255,1,0.0323178172942817,76.4705882352941,0.0416666666666667,6.68597679815789,23.4967026968058,23.4967026968058,1,24,26,34,17.4666869787998,0,1,,1.7845645
std3_CDL,GMSK,"RS(255,239)_D2",239,2,478,510,1,0,50,0,8.25773695485451,21.6627791085062,21.6627791085062,0,15,17,34,17.5054122214683,0,1,,2.3408095
