CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,12,14,0.000892,0.012488,0.010704,3.72937117867909,28.567287796277,28.567287796277,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.554901
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,11,13,0.001784,0.023192,0.019624,3.75857864925026,28.4995271519228,28.4995271519228,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.8420918
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,11,13,0.001338,0.017394,0.014718,3.71208263954118,28.6076472789276,28.6076472789276,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.5366749
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,11,13,0.00118933333333333,0.0154613333333333,0.0130826666666667,3.77232877478841,28.4678092728084,28.4678092728084,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.4270008
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,11,13,0.00107136,0.01392768,0.01178496,3.73854406822427,28.5459499145023,28.5459499145023,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.4677334
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,11,13,0.00102674285714286,0.0133476571428571,0.0112941714285714,3.71368427276108,28.6039004310212,28.6039004310212,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,1.3387896
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,12,14,0.000892,0.012488,0.010704,3.75644329664447,28.5044632486381,28.5044632486381,NaN,12.4188228784423,1.92865493310657e-15,3.71103397851378,wrap,10,0.013428,0,1,OK,,1.6084854
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,11,13,0.001784,0.023192,0.019624,3.81300717795929,28.3746475433848,28.3746475433848,NaN,12.1266633968073,1.92865493310657e-15,3.52207611411484,wrap,10,0.026856,0,1,OK,,2.2944041
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,11,13,0.001338,0.017394,0.014718,3.70382738587894,28.6269852297972,28.6269852297972,NaN,12.6729213652594,1.92865493310657e-15,3.77895988335778,wrap,10,0.020142,0,1,OK,,1.877382
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,11,13,0.00118933333333333,0.0154613333333333,0.0130826666666667,3.8525821895164,28.2849617487635,28.2849617487635,NaN,12.4832034951486,1.92865493310657e-15,3.6951002974411,wrap,10,0.017904,0,1,OK,,1.7468568
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,11,13,0.00107136,0.01392768,0.01178496,3.75288401141544,28.5126971582113,28.5126971582113,NaN,12.0271649486634,1.92865493310657e-15,3.50819793512972,wrap,10,0.016128,0,1,OK,,1.6874126
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,11,13,0.00102674285714286,0.0133476571428571,0.0112941714285714,4.15023526693735,27.6385456694372,27.6385456694372,NaN,11.9817611096558,1.92865493310657e-15,3.47991022533707,wrap,10,0.015456,0,1,OK,,1.601121
