CaseKey,Scenario,ModType,RequestedCFO_Hz,ConfiguredCaptureRange_Hz,BER,LockRate_pct,FER,EVM_post_pct,MER_dB,ResidualCFO_Hz,AcquisitionFrames,Passed,Status,ErrorIdentifier,ErrorMessage,Runtime_s
NoH|32APSK|-2000000.000,NoH,32APSK,-2000000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,ERROR,HelperTMAPSKPilotlessFrontEnd:CarrierAcquisitionFailed,"Pilotless carrier acquisition failed: NDA acquisition not qualified: medianMetric=0.02719 (limit 0.0272), CFO=-94696.308 Hz (at HelperTMAPSKPilotlessFrontEnd line 142)",2.3958593
NoH|32APSK|+2000000.000,NoH,32APSK,2000000,2000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,ERROR,HelperTMAPSKPilotlessFrontEnd:CarrierAcquisitionFailed,"Pilotless carrier acquisition failed: NDA acquisition not qualified: medianMetric=0.02702 (limit 0.0272), CFO=-28128.331 Hz (at HelperTMAPSKPilotlessFrontEnd line 142)",0.5031063
