CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,2.55684053182283e-05,100,0.087719298245614,57,59,5.57920901043772,25.0685473716152,25.068547371615,0.0201263626256449,14.105533154993,1.92865493310657e-15,4.31310991845517,1,OK,,5.1221283
2,H_EQ_rawGain,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,5.8055733504164e-05,100,0.0178571428571429,56,58,3.13332901535129,30.0798799922528,30.0798799922519,0.00147002362221059,13.8163473639196,1.92865493310657e-15,4.11979756372699,1,OK,,10.2968544
3,H_EQ_rawGain,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.000116111467008328,100,0.0357142857142857,56,58,3.8405081418723,28.3122261969665,28.3122261969659,-0.00225150831664647,13.7876655620173,1.92865493310657e-15,4.08609040253356,1,OK,,4.5582421
4,H_EQ_rawGain,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,56,58,12.412844453391,18.1225737352785,18.1225737352785,-0.0708880666423345,13.8796550176726,1.92865493310657e-15,4.14074205008995,1,OK,,14.6226614
5,H_EQ_rawGain,QPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,1.22189638318671e-05,100,0.0181818181818182,55,57,2.32486705277637,32.6720375427618,32.6720375427601,0.000139235680232142,14.1503872191847,1.92865493310657e-15,4.32525723496705,1,OK,,8.7264636
6,H_EQ_rawGain,QPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,2.63093985266737e-05,100,0.0363636363636364,55,57,4.6836392016338,26.5883313530126,26.5883313530122,-0.00325170409887591,14.0091211728525,1.92865493310657e-15,4.27739967682664,1,OK,,53.1093943
7,H_EQ_rawGain,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.000104099935938501,98.3050847457627,0.142857142857143,56,58,2.01267105570775,33.9245439792712,33.9245439792689,0.000985196164679986,14.1707277045588,1.92865493310657e-15,4.34079811108856,1,OK,,4.6201627
8,H_EQ_rawGain,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,1.42682429677945e-05,100,0.0181818181818182,55,57,12.1212620893277,18.3290431646255,18.3290431646254,-0.000842166144862378,13.8793013945524,1.92865493310657e-15,4.14074205008995,1,OK,,10.0434861
9,H_EQ_rawGain,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,5.09580105992662e-05,100,0.0363636363636364,55,58,5.59933166662087,25.0372761413766,25.0372761413764,-0.0089645682262408,14.1062764144619,1.92865493310657e-15,4.31310991845517,1,OK,,6.6079627
10,H_EQ_rawGain,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,9.98777007745618e-05,100,0.0363636363636364,55,57,5.55702297155013,25.1031561585992,25.1031561585989,0.00840774678854375,14.2191507521345,1.92865493310657e-15,4.37548035041122,1,OK,,44.2682903
11,H_EQ_rawGain,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,6.5167807103291e-05,100,0.0181818181818182,55,58,1.84075368784944,34.7000864153024,34.7000864152996,-0.00388299194057776,14.1820803215847,1.92865493310657e-15,4.36027468015644,1,OK,,14.7476709
12,H_EQ_rawGain,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.5,0,NaN,0,19,7.12188222196251,22.948104254838,22.9481042548378,0.0210322325364471,14.1139740187986,1.92865493310657e-15,4.31872330425511,1,OK,,156.8315253
