CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
20,NoH_baseline,16QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,40,43,0.00446,0.19178,0.1784,3.16793308132841,29.984480018398,29.9663756847727,0.555895978893462,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,2.9065035
21,NoH_baseline,16QAM,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.003345,0.143835,0.137145,2.99421319062165,30.4743456148336,30.4750404304199,-0.198395474006923,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.2238909
22,NoH_baseline,16QAM,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.00297333333333333,0.12488,0.118933333333333,3.25951129719003,29.736950187866,29.7027673278939,-0.679729910774872,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.132251
23,NoH_baseline,16QAM,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.0026784,0.1124928,0.107136,2.69339827060376,31.3939884613898,31.3591051829303,0.0188336822529876,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.382341
24,NoH_baseline,16QAM,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,40,42,0.00256685714285714,0.107808,0.102674285714286,2.65551705492477,31.5170181000282,31.5065825047317,0.176459177643649,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.6553604
25,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744323173596,28.5951130954318,28.5951130954318,NaN,13.783931048077,1.92865493310657e-15,4.08609040253356,wrap,10,0.40284,0,afterEqualizer,zf,1,OK,,3.5329117
26,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467813676337,28.554936414861,28.554936414861,NaN,14.154878040773,1.92865493310657e-15,4.26927496228855,wrap,10,0.80568,0,afterEqualizer,zf,1,OK,,5.3849895
27,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01338,0.57534,0.54858,3.747586022938,28.5249677894281,28.5249677894281,NaN,13.9722279480422,1.92865493310657e-15,4.20748732733662,wrap,10,0.60426,0,afterEqualizer,zf,1,OK,,4.4502905
28,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892518664,28.5223192553298,28.5223192553298,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,afterEqualizer,zf,1,OK,,4.2231493
29,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426313437996,28.532672761747,28.532672761747,NaN,13.7176172267237,1.92865493310657e-15,4.06863453274799,wrap,10,0.48384,0,afterEqualizer,zf,1,OK,,4.0222949
30,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932327897197,28.5209422333365,28.5209422333365,NaN,13.7321000410175,1.92865493310657e-15,4.06431990250912,wrap,10,0.46368,0,afterEqualizer,zf,1,OK,,3.9579277
31,H_EQ_rawGain_default_ChannelData,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,44,0.00297333333333333,0.130826666666667,0.121906666666667,1.52991527510343,36.3066523846137,36.3066523846098,0.00508399904978209,14.5260037974489,1.92865493310657e-15,4.53317044968685,wrap,10,0.13428,0,afterEqualizer,zf,1,OK,,3.0528527
32,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00594666666666667,0.24976,0.237866666666667,1.54094104872692,36.2442795124884,36.2442795124844,0.00421757940133299,14.105884427264,1.92865493310657e-15,4.31310991845517,wrap,10,0.26856,0,afterEqualizer,zf,1,OK,,3.974364
33,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00446,0.18732,0.1784,1.54759450166892,36.2068564383992,36.2068564383953,-0.0054380265999583,14.0972980573129,1.92865493310657e-15,4.31208279649419,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,4.1131216
34,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00396444444444444,0.166506666666667,0.158577777777778,1.50255595404089,36.4633869245579,36.4633869245537,0.00638024222248955,14.1710504848591,1.92865493310657e-15,4.34109228202262,wrap,10,0.17901,0,afterEqualizer,zf,1,OK,,4.0344503
35,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,40,43,0.0035712,0.1535616,0.142848,1.51256412708107,36.4057240763584,36.4057240763543,-0.00464338836061008,14.2036288939235,1.92865493310657e-15,4.34727174367576,wrap,10,0.16128,0,afterEqualizer,zf,1,OK,,4.2256429
36,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00342247619047619,0.143744,0.136899047619048,1.51371041212955,36.3991440349431,36.399144034939,-0.00489030953579051,14.2494841369022,1.92865493310657e-15,4.37580296263653,wrap,10,0.15453,0,afterEqualizer,zf,1,OK,,4.4878984
37,H_EQ_rawGain_default_ChannelData,OQPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,42,44,0.00446,0.19624,0.18732,2.84345442332826,30.9230745700099,30.9230745700088,-0.127055053424152,14.0923359994038,1.92865493310657e-15,4.31208279649419,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,4.9660813
38,H_EQ_rawGain_default_ChannelData,OQPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00892,0.38356,0.36572,2.7034845769112,31.3615220736921,31.3615220736908,0.15628424525143,13.7837772995233,1.92865493310657e-15,4.08609040253356,wrap,10,0.40284,0,afterEqualizer,zf,1,OK,,8.1882057
39,H_EQ_rawGain_default_ChannelData,OQPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00669,0.28767,0.27429,4.15009460576288,27.6388400595294,27.6388400595288,0.0503649897719486,14.0396416490478,1.92865493310657e-15,4.29431418912407,wrap,10,0.30213,0,afterEqualizer,zf,1,OK,,7.1968774
40,H_EQ_rawGain_default_ChannelData,OQPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00594666666666667,0.255706666666667,0.243813333333333,2.40260505223178,32.386352280413,32.3863522804114,-0.0594167049936072,14.1013953316409,1.92865493310657e-15,4.31310991845517,wrap,10,0.26856,0,afterEqualizer,zf,1,OK,,6.7432618
41,H_EQ_rawGain_default_ChannelData,OQPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0053568,0.2303424,0.2196288,1.97570379163663,34.0855633336373,34.0855633336349,-0.136326437709645,14.2554767460186,1.92865493310657e-15,4.39514921177039,wrap,10,0.24192,0,afterEqualizer,zf,1,OK,,6.7191178
42,H_EQ_rawGain_default_ChannelData,OQPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.00513371428571429,0.220749714285714,0.210482285714286,1.981648814088,34.0594661657076,34.0594661657053,0.0327195345222448,14.2668784149101,1.92865493310657e-15,4.4061846875635,wrap,10,0.23184,0,afterEqualizer,zf,1,OK,,6.8842227
43,H_EQ_rawGain_default_ChannelData,16QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,44,0.00223,0.09812,0.09143,2.82943355735858,30.966010000018,30.9764205798778,0.196327189579457,14.7109075165307,1.92865493310657e-15,4.60014026822617,wrap,10,0.10071,0,afterEqualizer,zf,1,OK,,2.3777518
44,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,43,0.00446,0.19178,0.1784,3.16793308133635,29.9844800183763,29.9663756847509,0.55589597795486,14.0987681639678,1.92865493310657e-15,4.31208279649419,wrap,10,0.20142,0,afterEqualizer,zf,1,OK,,3.2482612
45,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.003345,0.143835,0.137145,2.99421319505617,30.4743456019695,30.4750404175558,-0.198395472861854,14.2758243594247,1.92865493310657e-15,4.39325553126207,wrap,10,0.151065,0,afterEqualizer,zf,1,OK,,3.4929366
46,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00297333333333333,0.12488,0.118933333333333,3.25951129709933,29.7369501881077,29.7027673281356,-0.679729910831474,14.517499273976,1.92865493310657e-15,4.53317044968685,wrap,10,0.13428,0,afterEqualizer,zf,1,OK,,3.4128525
47,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.0026784,0.1124928,0.107136,2.69339826608397,31.3939884759655,31.3591051975061,0.0188336818314005,14.6710580883122,1.92865493310657e-15,4.59901719699466,wrap,10,0.12096,0,afterEqualizer,zf,1,OK,,3.6198068
48,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,40,42,0.00256685714285714,0.107808,0.102674285714286,2.65551709150194,31.5170179803885,31.506582385092,0.176459218755657,14.722359990152,1.92865493310657e-15,4.62480262671973,wrap,10,0.11592,0,afterEqualizer,zf,1,OK,,3.8870773
49,H_EQ_rawGain_std2_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744322417718,28.5951131130931,28.5951131130931,NaN,14.7733913601767,1.92865493310657e-15,4.74593113239045,wrap,10,0.40284,0,afterEqualizer,zf,1,OK,,3.5138041
50,H_EQ_rawGain_std2_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467815554902,28.5549363711705,28.5549363711705,NaN,15.1177432821513,1.92865493310657e-15,4.91541584053394,wrap,10,0.80568,0,afterEqualizer,zf,1,OK,,5.4553216
51,H_EQ_rawGain_std2_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758602793513,28.5249677778461,28.5249677778461,NaN,14.9040740596183,1.92865493310657e-15,4.82290533674388,wrap,10,0.60426,0,afterEqualizer,zf,1,OK,,4.4456591
52,H_EQ_rawGain_std2_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892232076,28.5223192619702,28.5223192619702,NaN,14.6716300078615,1.92865493310657e-15,4.69255862362686,wrap,10,0.53712,0,afterEqualizer,zf,1,OK,,4.1853537
53,H_EQ_rawGain_std2_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312909306,28.5326727740115,28.5326727740115,NaN,14.5764693827606,1.92865493310657e-15,4.63253416018065,wrap,10,0.48384,0,afterEqualizer,zf,1,OK,,3.9694455
54,H_EQ_rawGain_std2_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932327961404,28.520942231849,28.520942231849,NaN,14.6830363682951,1.92865493310657e-15,4.69614915877763,wrap,10,0.46368,0,afterEqualizer,zf,1,OK,,3.8874208
55,H_EQ_rawGain_std2_TDL,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,41,44,0.00297333333333333,0.130826666666667,0.121906666666667,1.52991679180926,36.3066437737233,36.3066437737193,0.00508402111311883,15.2644917317034,1.92865493310657e-15,5.13280782801143,wrap,10,0.13428,0,afterEqualizer,zf,1,OK,,3.0544877
