CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,37,39,0.00892,0.34788,0.33004,3.72927467929246,28.5675125510216,28.5675125510216,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.0864919
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.01784,0.67792,0.64224,3.75192912257745,28.5149074888245,28.5149074888245,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.8132528
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.01338,0.50844,0.48168,3.73566567291683,28.5526399663144,28.5526399663144,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.5728492
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0118933333333333,0.451946666666667,0.42816,3.74701944486125,28.5262810632693,28.5262810632693,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.4591111
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0107136,0.4071168,0.3856896,3.73314742449547,28.5584971830937,28.5584971830937,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.2821103
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0102674285714286,0.390162285714286,0.369627428571429,3.74132885213808,28.5394823375484,28.5394823375484,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.2386214
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.020252485864691,64.1025641025641,0.173913043478261,23,25,0.00892,0.223,0.20516,7.81608278560611,22.1402169869588,22.1402169869588,NaN,13.8751371877961,1.92865493310657e-15,4.14074205008995,wrap,10,0.35808,0,1,OK,,4.2645306
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0663516976297245,60.5263157894737,0.380952380952381,21,23,0.01784,0.41032,0.37464,3.79414844687333,28.4177136250001,28.4177136250001,NaN,14.0925539067431,1.92865493310657e-15,4.25742617423947,wrap,10,0.71616,0,1,OK,,6.6182011
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.0975959142999502,52.6315789473684,0.277777777777778,18,20,0.01338,0.2676,0.24084,4.17880481199713,27.5789582773059,27.5789582773059,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,1,OK,,5.5830763
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0774103139013453,64.5161290322581,0.333333333333333,18,20,0.0118933333333333,0.237866666666667,0.21408,3.86272549784311,28.2621230724536,28.2621230724536,NaN,13.7171218457749,1.92865493310657e-15,4.06631669398318,wrap,10,0.47744,0,1,OK,,5.3723651
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0.0662420576735093,82.7586206896552,0.227272727272727,22,24,0.0107136,0.2571264,0.2356992,3.76844056752362,28.4767665928515,28.4767665928515,NaN,13.825729780062,1.92865493310657e-15,4.11398608775212,wrap,10,0.43008,0,1,OK,,5.2179659
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0.0360908281389136,71.0526315789474,0.2,25,27,0.0102674285714286,0.277220571428571,0.256685714285714,3.80312949573919,28.397177734064,28.397177734064,NaN,13.7720333805028,1.92865493310657e-15,4.0876403367562,wrap,10,0.41216,0,1,OK,,4.9397015
