高度                               纬度                        经度
1154.838772                   -28.492                    -178.021
1154.850600                   -28.530                    -177.979
1154.862433                   -28.568                    -177.937
1154.874272                   -28.606                    -177.895
1154.886116                   -28.644                    -177.853
1154.897965                   -28.682                    -177.811
1154.909819                   -28.719                    -177.769
1154.921679                   -28.757                    -177.727
1154.933543                   -28.795                    -177.685
1154.945413                   -28.833                    -177.643
1154.957287                   -28.871                    -177.601
1154.969166                   -28.908                    -177.559
1154.981051                   -28.946                    -177.517
1154.992940                   -28.984                    -177.474
1155.004833                   -29.022                    -177.432
1155.016732                   -29.059                    -177.390
1155.028635                   -29.097                    -177.348
1155.040543                   -29.135                    -177.305
1155.052456                   -29.172                    -177.263
1155.064373                   -29.210                    -177.220
1155.076294                   -29.248                    -177.178
1155.088221                   -29.285                    -177.135
1155.100151                   -29.323                    -177.093
1155.112086                   -29.360                    -177.050
1155.124025                   -29.398                    -177.008
1155.135969                   -29.436                    -176.965
1155.147916                   -29.473                    -176.922
1155.159868                   -29.511                    -176.880
1155.171825                   -29.548                    -176.837
1155.183785                   -29.585                    -176.794
1155.195749                   -29.623                    -176.751
1155.207718                   -29.660                    -176.708
1155.219690                   -29.698                    -176.666
1155.231666                   -29.735                    -176.623
1155.243646                   -29.773                    -176.580
1155.255630                   -29.810                    -176.537
1155.267618                   -29.847                    -176.494
1155.279610                   -29.885                    -176.451
1155.291605                   -29.922                    -176.408
1155.303604                   -29.959                    -176.364
1155.315606                   -29.997                    -176.321
1155.327613                   -30.034                    -176.278
1155.339622                   -30.071                    -176.235
1155.351635                   -30.108                    -176.192
1155.363652                   -30.146                    -176.148
1155.375672                   -30.183                    -176.105
1155.387695                   -30.220                    -176.062
1155.399722                   -30.257                    -176.018
1155.411752                   -30.294                    -175.975
1155.423785                   -30.331                    -175.931
1155.435821                   -30.369                    -175.888
1155.447861                   -30.406                    -175.844
1155.459903                   -30.443                    -175.801
1155.471949                   -30.480                    -175.757
1155.483997                   -30.517                    -175.713
1155.496049                   -30.554                    -175.670
1155.508103                   -30.591                    -175.626
1155.520160                   -30.628                    -175.582
1155.532221                   -30.665                    -175.538
1155.544283                   -30.702                    -175.494
1155.556349                   -30.739                    -175.451
1155.568417                   -30.776                    -175.407
1155.580488                   -30.812                    -175.363
1155.592561                   -30.849                    -175.319
1155.604637                   -30.886                    -175.275
1155.616716                   -30.923                    -175.231
1155.628797                   -30.960                    -175.187
1155.640880                   -30.997                    -175.142
1155.652966                   -31.034                    -175.098
1155.665054                   -31.070                    -175.054
1155.677144                   -31.107                    -175.010
1155.689236                   -31.144                    -174.965
1155.701331                   -31.180                    -174.921
1155.713428                   -31.217                    -174.877
1155.725527                   -31.254                    -174.832
1155.737627                   -31.291                    -174.788
1155.749730                   -31.327                    -174.743
1155.761835                   -31.364                    -174.699
1155.773942                   -31.400                    -174.654
1155.786051                   -31.437                    -174.610
1155.798161                   -31.474                    -174.565
1155.810273                   -31.510                    -174.521
1155.822387                   -31.547                    -174.476
1155.834503                   -31.583                    -174.431
1155.846620                   -31.620                    -174.386
1155.858739                   -31.656                    -174.341
1155.870859                   -31.693                    -174.297
1155.882981                   -31.729                    -174.252
1155.895104                   -31.765                    -174.207
1155.907229                   -31.802                    -174.162
1155.919355                   -31.838                    -174.117
1155.931483                   -31.875                    -174.072
1155.943611                   -31.911                    -174.027
1155.955741                   -31.947                    -173.982
1155.967872                   -31.984                    -173.936
1155.980004                   -32.020                    -173.891
1155.992138                   -32.056                    -173.846
1156.004272                   -32.092                    -173.801
1156.016407                   -32.129                    -173.755
1156.028544                   -32.165                    -173.710
1156.040681                   -32.201                    -173.665
1156.052819                   -32.237                    -173.619
1156.064958                   -32.273                    -173.574
1156.077097                   -32.309                    -173.528
1156.089238                   -32.345                    -173.483
1156.101379                   -32.382                    -173.437
1156.113520                   -32.418                    -173.391
1156.125663                   -32.454                    -173.346
1156.137805                   -32.490                    -173.300
1156.149949                   -32.526                    -173.254
1156.162092                   -32.562                    -173.209
1156.174237                   -32.598                    -173.163
1156.186381                   -32.634                    -173.117
1156.198526                   -32.670                    -173.071
1156.210671                   -32.705                    -173.025
1156.222816                   -32.741                    -172.979
1156.234962                   -32.777                    -172.933
1156.247108                   -32.813                    -172.887
1156.259253                   -32.849                    -172.841
1156.271399                   -32.885                    -172.795
1156.283545                   -32.920                    -172.748
1156.295691                   -32.956                    -172.702
1156.307836                   -32.992                    -172.656
1156.319982                   -33.028                    -172.610
1156.332127                   -33.063                    -172.563
1156.344272                   -33.099                    -172.517
1156.356417                   -33.135                    -172.471
1156.368561                   -33.170                    -172.424
1156.380705                   -33.206                    -172.378
1156.392849                   -33.242                    -172.331
1156.404992                   -33.277                    -172.284
1156.417135                   -33.313                    -172.238
1156.429277                   -33.348                    -172.191
1156.441419                   -33.384                    -172.144
1156.453560                   -33.419                    -172.098
1156.465700                   -33.455                    -172.051
1156.477840                   -33.490                    -172.004
1156.489978                   -33.526                    -171.957
1156.502116                   -33.561                    -171.910
1156.514254                   -33.596                    -171.863
1156.526390                   -33.632                    -171.816
1156.538525                   -33.667                    -171.769
1156.550659                   -33.702                    -171.722
1156.562792                   -33.738                    -171.675
1156.574924                   -33.773                    -171.628
1156.587055                   -33.808                    -171.580
