高度                               纬度                        经度
1150.041832                   2.544                      137.871
1150.040443                   2.502                      137.902
1150.039078                   2.459                      137.934
1150.037735                   2.416                      137.965
1150.036417                   2.374                      137.997
1150.035121                   2.331                      138.028
1150.033849                   2.289                      138.060
1150.032600                   2.246                      138.091
1150.031375                   2.203                      138.123
1150.030173                   2.161                      138.154
1150.028995                   2.118                      138.186
1150.027840                   2.075                      138.217
1150.026708                   2.033                      138.249
1150.025600                   1.990                      138.280
1150.024515                   1.947                      138.312
1150.023454                   1.905                      138.343
1150.022416                   1.862                      138.375
1150.021402                   1.820                      138.406
1150.020411                   1.777                      138.438
1150.019443                   1.734                      138.469
1150.018499                   1.692                      138.501
1150.017578                   1.649                      138.532
1150.016681                   1.606                      138.564
1150.015808                   1.564                      138.595
1150.014957                   1.521                      138.627
1150.014131                   1.478                      138.658
1150.013327                   1.436                      138.690
1150.012548                   1.393                      138.721
1150.011791                   1.350                      138.753
1150.011058                   1.308                      138.784
1150.010349                   1.265                      138.816
1150.009663                   1.223                      138.847
1150.009001                   1.180                      138.879
1150.008362                   1.137                      138.910
1150.007747                   1.095                      138.942
1150.007155                   1.052                      138.973
1150.006587                   1.009                      139.005
1150.006042                   0.967                      139.036
1150.005520                   0.924                      139.068
1150.005023                   0.881                      139.099
1150.004548                   0.839                      139.130
1150.004097                   0.796                      139.162
1150.003670                   0.753                      139.193
1150.003266                   0.711                      139.225
1150.002886                   0.668                      139.256
1150.002529                   0.625                      139.288
1150.002196                   0.583                      139.319
1150.001887                   0.540                      139.351
1150.001600                   0.497                      139.382
1150.001338                   0.455                      139.414
1150.001099                   0.412                      139.445
1150.000883                   0.370                      139.477
1150.000691                   0.327                      139.508
1150.000522                   0.284                      139.539
1150.000377                   0.242                      139.571
1150.000256                   0.199                      139.602
1150.000158                   0.156                      139.634
1150.000083                   0.114                      139.665
1150.000033                   0.071                      139.697
1150.000005                   0.028                      139.728
1150.000001                   -0.014                     139.760
1150.000021                   -0.057                     139.791
1150.000064                   -0.100                     139.823
1150.000131                   -0.142                     139.854
1150.000221                   -0.185                     139.886
1150.000335                   -0.228                     139.917
1150.000472                   -0.270                     139.948
1150.000633                   -0.313                     139.980
1150.000818                   -0.356                     140.011
1150.001026                   -0.398                     140.043
1150.001257                   -0.441                     140.074
1150.001512                   -0.484                     140.106
1150.001790                   -0.526                     140.137
1150.002092                   -0.569                     140.169
1150.002418                   -0.612                     140.200
1150.002767                   -0.654                     140.232
1150.003140                   -0.697                     140.263
1150.003536                   -0.739                     140.295
1150.003955                   -0.782                     140.326
1150.004398                   -0.825                     140.357
1150.004865                   -0.867                     140.389
1150.005355                   -0.910                     140.420
1150.005869                   -0.953                     140.452
1150.006406                   -0.995                     140.483
1150.006967                   -1.038                     140.515
1150.007551                   -1.081                     140.546
1150.008158                   -1.123                     140.578
1150.008790                   -1.166                     140.609
1150.009444                   -1.209                     140.641
1150.010122                   -1.251                     140.672
1150.010824                   -1.294                     140.704
1150.011549                   -1.337                     140.735
1150.012298                   -1.379                     140.767
1150.013070                   -1.422                     140.798
1150.013865                   -1.464                     140.830
1150.014684                   -1.507                     140.861
1150.015527                   -1.550                     140.892
1150.016393                   -1.592                     140.924
1150.017282                   -1.635                     140.955
1150.018195                   -1.678                     140.987
1150.019132                   -1.720                     141.018
1150.020092                   -1.763                     141.050
1150.021075                   -1.806                     141.081
1150.022082                   -1.848                     141.113
1150.023112                   -1.891                     141.144
1150.024166                   -1.934                     141.176
1150.025243                   -1.976                     141.207
1150.026343                   -2.019                     141.239
1150.027467                   -2.061                     141.270
1150.028615                   -2.104                     141.302
1150.029785                   -2.147                     141.333
1150.030980                   -2.189                     141.365
1150.032197                   -2.232                     141.396
1150.033438                   -2.275                     141.428
1150.034703                   -2.317                     141.459
1150.035990                   -2.360                     141.491
1150.037302                   -2.402                     141.523
1150.038636                   -2.445                     141.554
1150.039994                   -2.488                     141.586
1150.041376                   -2.530                     141.617
1150.042780                   -2.573                     141.649
1150.044209                   -2.616                     141.680
1150.045660                   -2.658                     141.712
1150.047135                   -2.701                     141.743
1150.048633                   -2.743                     141.775
1150.050155                   -2.786                     141.806
1150.051700                   -2.829                     141.838
1150.053268                   -2.871                     141.869
1150.054859                   -2.914                     141.901
1150.056474                   -2.957                     141.932
1150.058112                   -2.999                     141.964
1150.059774                   -3.042                     141.996
1150.061459                   -3.084                     142.027
1150.063167                   -3.127                     142.059
1150.064898                   -3.170                     142.090
1150.066653                   -3.212                     142.122
1150.068431                   -3.255                     142.153
1150.070232                   -3.297                     142.185
1150.072056                   -3.340                     142.217
1150.073904                   -3.383                     142.248
1150.075775                   -3.425                     142.280
1150.077669                   -3.468                     142.311
1150.079587                   -3.510                     142.343
1150.081528                   -3.553                     142.375
1150.083491                   -3.596                     142.406
1150.085479                   -3.638                     142.438
1150.087489                   -3.681                     142.469
1150.089523                   -3.723                     142.501
1150.091579                   -3.766                     142.533
1150.093659                   -3.809                     142.564
1150.095762                   -3.851                     142.596
1150.097889                   -3.894                     142.627
1150.100038                   -3.936                     142.659
1150.102211                   -3.979                     142.691
1150.104406                   -4.021                     142.722
1150.106625                   -4.064                     142.754
1150.108867                   -4.107                     142.786
1150.111132                   -4.149                     142.817
1150.113420                   -4.192                     142.849
1150.115732                   -4.234                     142.880
1150.118066                   -4.277                     142.912
1150.120424                   -4.319                     142.944
1150.122804                   -4.362                     142.975
1150.125208                   -4.405                     143.007
1150.127635                   -4.447                     143.039
1150.130084                   -4.490                     143.070
1150.132557                   -4.532                     143.102
1150.135053                   -4.575                     143.134
1150.137572                   -4.617                     143.166
1150.140114                   -4.660                     143.197
1150.142678                   -4.702                     143.229
1150.145266                   -4.745                     143.261
1150.147877                   -4.788                     143.292
1150.150511                   -4.830                     143.324
1150.153168                   -4.873                     143.356
1150.155847                   -4.915                     143.387
1150.158550                   -4.958                     143.419
1150.161276                   -5.000                     143.451
1150.164024                   -5.043                     143.483
1150.166796                   -5.085                     143.514
1150.169590                   -5.128                     143.546
1150.172407                   -5.170                     143.578
1150.175247                   -5.213                     143.610
1150.178110                   -5.255                     143.641
1150.180996                   -5.298                     143.673
1150.183905                   -5.341                     143.705
1150.186836                   -5.383                     143.737
1150.189790                   -5.426                     143.768
1150.192768                   -5.468                     143.800
1150.195767                   -5.511                     143.832
1150.198790                   -5.553                     143.864
1150.201836                   -5.596                     143.896
1150.204904                   -5.638                     143.927
1150.207995                   -5.681                     143.959
1150.211109                   -5.723                     143.991
1150.214245                   -5.766                     144.023
1150.217405                   -5.808                     144.055
1150.220587                   -5.851                     144.086
1150.223791                   -5.893                     144.118
1150.227018                   -5.936                     144.150
1150.230268                   -5.978                     144.182
1150.233541                   -6.021                     144.214
1150.236836                   -6.063                     144.246
1150.240154                   -6.105                     144.278
1150.243495                   -6.148                     144.309
1150.246858                   -6.190                     144.341
1150.250244                   -6.233                     144.373
1150.253652                   -6.275                     144.405
1150.257083                   -6.318                     144.437
1150.260537                   -6.360                     144.469
1150.264013                   -6.403                     144.501
1150.267511                   -6.445                     144.533
1150.271033                   -6.488                     144.565
1150.274576                   -6.530                     144.596
1150.278142                   -6.573                     144.628
1150.281731                   -6.615                     144.660
1150.285342                   -6.657                     144.692
1150.288975                   -6.700                     144.724
1150.292631                   -6.742                     144.756
1150.296310                   -6.785                     144.788
1150.300011                   -6.827                     144.820
1150.303734                   -6.870                     144.852
1150.307479                   -6.912                     144.884
1150.311247                   -6.955                     144.916
1150.315038                   -6.997                     144.948
1150.318850                   -7.039                     144.980
