高度                               纬度                        经度
1162.500576                   -49.972                    43.071
1162.498319                   -49.966                    43.152
1162.496038                   -49.960                    43.233
1162.493735                   -49.953                    43.314
1162.491408                   -49.947                    43.396
1162.489058                   -49.941                    43.477
1162.486685                   -49.934                    43.558
1162.484289                   -49.928                    43.639
1162.481870                   -49.921                    43.720
1162.479428                   -49.915                    43.801
1162.476963                   -49.908                    43.881
1162.474475                   -49.901                    43.962
1162.471963                   -49.894                    44.043
1162.469429                   -49.887                    44.124
1162.466872                   -49.881                    44.205
1162.464291                   -49.873                    44.286
1162.461688                   -49.866                    44.367
1162.459062                   -49.859                    44.447
1162.456412                   -49.852                    44.528
1162.453740                   -49.845                    44.609
1162.451045                   -49.838                    44.689
1162.448327                   -49.830                    44.770
1162.445585                   -49.823                    44.851
1162.442821                   -49.815                    44.931
1162.440034                   -49.808                    45.012
1162.437224                   -49.800                    45.092
1162.434392                   -49.792                    45.173
1162.431536                   -49.785                    45.254
1162.428657                   -49.777                    45.334
1162.425756                   -49.769                    45.414
1162.422831                   -49.761                    45.495
1162.419884                   -49.753                    45.575
1162.416914                   -49.745                    45.656
1162.413921                   -49.737                    45.736
1162.410906                   -49.729                    45.816
1162.407867                   -49.720                    45.897
1162.404806                   -49.712                    45.977
1162.401722                   -49.704                    46.057
1162.398615                   -49.695                    46.137
1162.395486                   -49.687                    46.217
1162.392333                   -49.678                    46.297
1162.389158                   -49.670                    46.378
1162.385960                   -49.661                    46.458
1162.382740                   -49.652                    46.538
1162.379497                   -49.643                    46.618
1162.376231                   -49.635                    46.698
1162.372942                   -49.626                    46.778
1162.369631                   -49.617                    46.858
1162.366297                   -49.608                    46.937
1162.362941                   -49.599                    47.017
1162.359562                   -49.589                    47.097
1162.356160                   -49.580                    47.177
1162.352735                   -49.571                    47.257
1162.349288                   -49.562                    47.336
1162.345819                   -49.552                    47.416
1162.342327                   -49.543                    47.496
1162.338812                   -49.533                    47.575
1162.335275                   -49.524                    47.655
1162.331715                   -49.514                    47.735
1162.328133                   -49.504                    47.814
1162.324528                   -49.494                    47.894
1162.320901                   -49.485                    47.973
1162.317252                   -49.475                    48.053
1162.313580                   -49.465                    48.132
1162.309885                   -49.455                    48.211
1162.306168                   -49.445                    48.291
1162.302429                   -49.435                    48.370
1162.298667                   -49.424                    48.449
1162.294883                   -49.414                    48.528
1162.291076                   -49.404                    48.608
1162.287247                   -49.393                    48.687
1162.283396                   -49.383                    48.766
1162.279522                   -49.373                    48.845
1162.275626                   -49.362                    48.924
1162.271708                   -49.351                    49.003
1162.267768                   -49.341                    49.082
1162.263805                   -49.330                    49.161
1162.259820                   -49.319                    49.240
1162.255813                   -49.308                    49.319
1162.251783                   -49.297                    49.398
1162.247731                   -49.286                    49.476
1162.243657                   -49.275                    49.555
1162.239561                   -49.264                    49.634
1162.235443                   -49.253                    49.713
1162.231303                   -49.242                    49.791
1162.227140                   -49.231                    49.870
1162.222955                   -49.219                    49.949
1162.218749                   -49.208                    50.027
1162.214520                   -49.197                    50.106
1162.210269                   -49.185                    50.184
1162.205996                   -49.174                    50.262
1162.201701                   -49.162                    50.341
1162.197384                   -49.150                    50.419
1162.193045                   -49.138                    50.498
1162.188684                   -49.127                    50.576
1162.184300                   -49.115                    50.654
1162.179895                   -49.103                    50.732
1162.175468                   -49.091                    50.810
1162.171020                   -49.079                    50.889
1162.166549                   -49.067                    50.967
1162.162056                   -49.055                    51.045
1162.157541                   -49.042                    51.123
1162.153005                   -49.030                    51.201
1162.148447                   -49.018                    51.278
1162.143867                   -49.006                    51.356
1162.139265                   -48.993                    51.434
1162.134641                   -48.981                    51.512
1162.129995                   -48.968                    51.590
1162.125328                   -48.955                    51.667
1162.120639                   -48.943                    51.745
1162.115928                   -48.930                    51.823
1162.111196                   -48.917                    51.900
1162.106442                   -48.904                    51.978
1162.101666                   -48.891                    52.055
1162.096869                   -48.879                    52.133
1162.092049                   -48.866                    52.210
1162.087209                   -48.852                    52.288
1162.082346                   -48.839                    52.365
1162.077462                   -48.826                    52.442
1162.072557                   -48.813                    52.520
1162.067630                   -48.800                    52.597
1162.062681                   -48.786                    52.674
1162.057711                   -48.773                    52.751
1162.052720                   -48.759                    52.828
1162.047707                   -48.746                    52.905
1162.042672                   -48.732                    52.982
1162.037616                   -48.719                    53.059
1162.032539                   -48.705                    53.136
1162.027440                   -48.691                    53.213
1162.022320                   -48.677                    53.290
1162.017179                   -48.663                    53.366
1162.012016                   -48.649                    53.443
1162.006832                   -48.635                    53.520
1162.001626                   -48.621                    53.596
1161.996400                   -48.607                    53.673
1161.991152                   -48.593                    53.750
1161.985882                   -48.579                    53.826
1161.980592                   -48.565                    53.902
1161.975280                   -48.550                    53.979
1161.969948                   -48.536                    54.055
1161.964594                   -48.521                    54.132
1161.959218                   -48.507                    54.208
1161.953822                   -48.492                    54.284
1161.948405                   -48.478                    54.360
1161.942966                   -48.463                    54.436
1161.937507                   -48.448                    54.512
1161.932026                   -48.434                    54.589
1161.926525                   -48.419                    54.665
1161.921002                   -48.404                    54.740
1161.915458                   -48.389                    54.816
1161.909894                   -48.374                    54.892
1161.904308                   -48.359                    54.968
1161.898702                   -48.344                    55.044
1161.893075                   -48.329                    55.120
1161.887426                   -48.313                    55.195
1161.881757                   -48.298                    55.271
1161.876067                   -48.283                    55.346
1161.870357                   -48.267                    55.422
1161.864625                   -48.252                    55.497
1161.858873                   -48.236                    55.573
1161.853100                   -48.221                    55.648
1161.847306                   -48.205                    55.723
1161.841492                   -48.190                    55.799
1161.835657                   -48.174                    55.874
1161.829801                   -48.158                    55.949
1161.823924                   -48.142                    56.024
1161.818027                   -48.126                    56.099
1161.812110                   -48.111                    56.174
1161.806171                   -48.095                    56.249
1161.800213                   -48.078                    56.324
1161.794233                   -48.062                    56.399
1161.788233                   -48.046                    56.474
1161.782213                   -48.030                    56.549
1161.776172                   -48.014                    56.624
1161.770111                   -47.997                    56.698
1161.764029                   -47.981                    56.773
1161.757927                   -47.965                    56.848
1161.751805                   -47.948                    56.922
1161.745662                   -47.932                    56.997
1161.739499                   -47.915                    57.071
1161.733315                   -47.898                    57.145
1161.727111                   -47.882                    57.220
1161.720887                   -47.865                    57.294
1161.714643                   -47.848                    57.368
1161.708379                   -47.831                    57.443
1161.702094                   -47.814                    57.517
1161.695789                   -47.797                    57.591
1161.689464                   -47.780                    57.665
1161.683119                   -47.763                    57.739
1161.676754                   -47.746                    57.813
1161.670369                   -47.729                    57.887
