高度                               纬度                        经度
1152.233177                   -18.918                    -71.696
1152.223899                   -18.878                    -71.661
1152.214636                   -18.837                    -71.625
1152.205389                   -18.796                    -71.589
1152.196156                   -18.755                    -71.554
1152.186939                   -18.714                    -71.518
1152.177737                   -18.673                    -71.483
1152.168551                   -18.633                    -71.447
1152.159380                   -18.592                    -71.412
1152.150224                   -18.551                    -71.376
1152.141084                   -18.510                    -71.341
1152.131959                   -18.469                    -71.305
1152.122849                   -18.428                    -71.270
1152.113756                   -18.387                    -71.235
1152.104677                   -18.346                    -71.199
1152.095615                   -18.306                    -71.164
1152.086567                   -18.265                    -71.129
1152.077536                   -18.224                    -71.093
1152.068520                   -18.183                    -71.058
1152.059520                   -18.142                    -71.023
1152.050536                   -18.101                    -70.987
1152.041567                   -18.060                    -70.952
1152.032615                   -18.019                    -70.917
1152.023678                   -17.978                    -70.882
1152.014757                   -17.937                    -70.847
1152.005852                   -17.896                    -70.811
1151.996963                   -17.855                    -70.776
1151.988090                   -17.814                    -70.741
1151.979232                   -17.773                    -70.706
1151.970391                   -17.732                    -70.671
1151.961567                   -17.691                    -70.636
1151.952758                   -17.650                    -70.601
1151.943965                   -17.609                    -70.566
1151.935189                   -17.568                    -70.531
1151.926428                   -17.527                    -70.496
1151.917684                   -17.485                    -70.461
1151.908957                   -17.444                    -70.426
1151.900245                   -17.403                    -70.391
1151.891550                   -17.362                    -70.356
1151.882872                   -17.321                    -70.321
1151.874210                   -17.280                    -70.286
1151.865564                   -17.239                    -70.251
1151.856935                   -17.198                    -70.216
1151.848322                   -17.157                    -70.181
1151.839726                   -17.115                    -70.147
1151.831146                   -17.074                    -70.112
1151.822583                   -17.033                    -70.077
1151.814037                   -16.992                    -70.042
1151.805507                   -16.951                    -70.007
1151.796994                   -16.910                    -69.973
1151.788498                   -16.868                    -69.938
1151.780018                   -16.827                    -69.903
1151.771556                   -16.786                    -69.868
1151.763110                   -16.745                    -69.834
1151.754681                   -16.703                    -69.799
1151.746269                   -16.662                    -69.764
1151.737874                   -16.621                    -69.730
1151.729496                   -16.580                    -69.695
1151.721135                   -16.539                    -69.661
1151.712791                   -16.497                    -69.626
1151.704464                   -16.456                    -69.591
1151.696154                   -16.415                    -69.557
1151.687861                   -16.373                    -69.522
1151.679585                   -16.332                    -69.488
1151.671327                   -16.291                    -69.453
1151.663085                   -16.250                    -69.419
1151.654861                   -16.208                    -69.384
1151.646655                   -16.167                    -69.350
1151.638465                   -16.126                    -69.315
1151.630293                   -16.084                    -69.281
1151.622138                   -16.043                    -69.247
1151.614001                   -16.002                    -69.212
1151.605881                   -15.960                    -69.178
1151.597779                   -15.919                    -69.144
1151.589694                   -15.877                    -69.109
1151.581626                   -15.836                    -69.075
1151.573576                   -15.795                    -69.041
1151.565544                   -15.753                    -69.006
1151.557529                   -15.712                    -68.972
1151.549532                   -15.670                    -68.938
1151.541553                   -15.629                    -68.903
1151.533591                   -15.588                    -68.869
1151.525647                   -15.546                    -68.835
1151.517721                   -15.505                    -68.801
1151.509813                   -15.463                    -68.767
1151.501922                   -15.422                    -68.732
1151.494050                   -15.380                    -68.698
1151.486195                   -15.339                    -68.664
1151.478358                   -15.298                    -68.630
1151.470539                   -15.256                    -68.596
1151.462738                   -15.215                    -68.562
1151.454955                   -15.173                    -68.528
1151.447190                   -15.132                    -68.494
1151.439443                   -15.090                    -68.460
1151.431714                   -15.049                    -68.426
1151.424004                   -15.007                    -68.392
1151.416311                   -14.966                    -68.357
1151.408637                   -14.924                    -68.323
1151.400981                   -14.883                    -68.290
1151.393343                   -14.841                    -68.256
1151.385723                   -14.799                    -68.222
1151.378122                   -14.758                    -68.188
1151.370538                   -14.716                    -68.154
1151.362974                   -14.675                    -68.120
1151.355427                   -14.633                    -68.086
1151.347899                   -14.592                    -68.052
1151.340390                   -14.550                    -68.018
1151.332899                   -14.508                    -67.984
1151.325426                   -14.467                    -67.951
1151.317972                   -14.425                    -67.917
1151.310537                   -14.384                    -67.883
1151.303120                   -14.342                    -67.849
1151.295722                   -14.300                    -67.815
1151.288342                   -14.259                    -67.782
1151.280981                   -14.217                    -67.748
1151.273638                   -14.175                    -67.714
1151.266315                   -14.134                    -67.680
1151.259010                   -14.092                    -67.647
1151.251724                   -14.051                    -67.613
1151.244456                   -14.009                    -67.579
1151.237208                   -13.967                    -67.546
1151.229978                   -13.926                    -67.512
1151.222767                   -13.884                    -67.478
1151.215576                   -13.842                    -67.445
1151.208403                   -13.800                    -67.411
1151.201249                   -13.759                    -67.377
1151.194114                   -13.717                    -67.344
1151.186998                   -13.675                    -67.310
1151.179901                   -13.634                    -67.277
1151.172823                   -13.592                    -67.243
1151.165764                   -13.550                    -67.210
1151.158724                   -13.508                    -67.176
1151.151704                   -13.467                    -67.143
1151.144702                   -13.425                    -67.109
1151.137720                   -13.383                    -67.076
1151.130757                   -13.341                    -67.042
1151.123813                   -13.300                    -67.009
1151.116889                   -13.258                    -66.975
1151.109984                   -13.216                    -66.942
1151.103098                   -13.174                    -66.908
1151.096232                   -13.133                    -66.875
1151.089385                   -13.091                    -66.842
1151.082557                   -13.049                    -66.808
1151.075749                   -13.007                    -66.775
1151.068960                   -12.965                    -66.741
1151.062191                   -12.924                    -66.708
1151.055441                   -12.882                    -66.675
1151.048711                   -12.840                    -66.641
1151.042000                   -12.798                    -66.608
1151.035309                   -12.756                    -66.575
1151.028637                   -12.714                    -66.542
1151.021985                   -12.673                    -66.508
1151.015353                   -12.631                    -66.475
1151.008741                   -12.589                    -66.442
1151.002148                   -12.547                    -66.409
1150.995575                   -12.505                    -66.375
1150.989021                   -12.463                    -66.342
1150.982488                   -12.421                    -66.309
1150.975974                   -12.379                    -66.276
1150.969480                   -12.338                    -66.243
1150.963006                   -12.296                    -66.209
1150.956552                   -12.254                    -66.176
1150.950118                   -12.212                    -66.143
1150.943703                   -12.170                    -66.110
1150.937309                   -12.128                    -66.077
1150.930935                   -12.086                    -66.044
1150.924580                   -12.044                    -66.011
1150.918246                   -12.002                    -65.978
1150.911932                   -11.960                    -65.944
1150.905637                   -11.918                    -65.911
1150.899363                   -11.876                    -65.878
1150.893109                   -11.834                    -65.845
1150.886875                   -11.792                    -65.812
1150.880662                   -11.751                    -65.779
1150.874468                   -11.709                    -65.746
1150.868295                   -11.667                    -65.713
1150.862142                   -11.625                    -65.680
1150.856009                   -11.583                    -65.647
1150.849896                   -11.541                    -65.614
1150.843804                   -11.499                    -65.581
1150.837732                   -11.457                    -65.549
1150.831681                   -11.415                    -65.516
1150.825650                   -11.373                    -65.483
1150.819639                   -11.331                    -65.450
1150.813648                   -11.289                    -65.417
1150.807679                   -11.247                    -65.384
1150.801729                   -11.205                    -65.351
1150.795800                   -11.163                    -65.318
1150.789892                   -11.121                    -65.285
1150.784004                   -11.078                    -65.253
1150.778137                   -11.036                    -65.220
1150.772290                   -10.994                    -65.187
1150.766464                   -10.952                    -65.154
1150.760658                   -10.910                    -65.121
1150.754873                   -10.868                    -65.089
1150.749109                   -10.826                    -65.056
1150.743365                   -10.784                    -65.023
1150.737643                   -10.742                    -64.990
1150.731940                   -10.700                    -64.957
1150.726259                   -10.658                    -64.925
1150.720599                   -10.616                    -64.892
1150.714959                   -10.574                    -64.859
1150.709340                   -10.532                    -64.827
1150.703742                   -10.489                    -64.794
1150.698164                   -10.447                    -64.761
1150.692608                   -10.405                    -64.729
1150.687072                   -10.363                    -64.696
1150.681558                   -10.321                    -64.663
1150.676064                   -10.279                    -64.631
1150.670592                   -10.237                    -64.598
1150.665140                   -10.195                    -64.565
1150.659709                   -10.152                    -64.533
1150.654299                   -10.110                    -64.500
1150.648911                   -10.068                    -64.467
1150.643543                   -10.026                    -64.435
1150.638197                   -9.984                     -64.402
1150.632871                   -9.942                     -64.370
1150.627567                   -9.900                     -64.337
1150.622284                   -9.857                     -64.305
1150.617022                   -9.815                     -64.272
1150.611781                   -9.773                     -64.240
1150.606562                   -9.731                     -64.207
1150.601364                   -9.689                     -64.175
1150.596186                   -9.647                     -64.142
1150.591031                   -9.604                     -64.110
1150.585896                   -9.562                     -64.077
1150.580783                   -9.520                     -64.045
1150.575691                   -9.478                     -64.012
1150.570620                   -9.436                     -63.980
1150.565571                   -9.393                     -63.947
1150.560543                   -9.351                     -63.915
1150.555537                   -9.309                     -63.882
1150.550552                   -9.267                     -63.850
1150.545588                   -9.224                     -63.817
1150.540646                   -9.182                     -63.785
1150.535725                   -9.140                     -63.753
1150.530826                   -9.098                     -63.720
1150.525949                   -9.055                     -63.688
1150.521092                   -9.013                     -63.656
1150.516258                   -8.971                     -63.623
1150.511445                   -8.929                     -63.591
1150.506653                   -8.886                     -63.558
1150.501884                   -8.844                     -63.526
1150.497135                   -8.802                     -63.494
1150.492409                   -8.760                     -63.461
1150.487704                   -8.717                     -63.429
1150.483020                   -8.675                     -63.397
1150.478359                   -8.633                     -63.365
1150.473719                   -8.591                     -63.332
1150.469101                   -8.548                     -63.300
1150.464504                   -8.506                     -63.268
1150.459930                   -8.464                     -63.235
1150.455377                   -8.421                     -63.203
1150.450846                   -8.379                     -63.171
1150.446337                   -8.337                     -63.139
1150.441849                   -8.295                     -63.106
