高度                               纬度                        经度
1150.000540                   -0.289                     -9.982
1150.000712                   -0.332                     -9.951
1150.000907                   -0.374                     -9.919
1150.001125                   -0.417                     -9.888
1150.001367                   -0.460                     -9.857
1150.001633                   -0.503                     -9.825
1150.001923                   -0.545                     -9.794
1150.002235                   -0.588                     -9.762
1150.002572                   -0.631                     -9.731
1150.002932                   -0.673                     -9.700
1150.003316                   -0.716                     -9.668
1150.003723                   -0.759                     -9.637
1150.004153                   -0.801                     -9.605
1150.004608                   -0.844                     -9.574
1150.005086                   -0.887                     -9.542
1150.005587                   -0.930                     -9.511
1150.006112                   -0.972                     -9.480
1150.006661                   -1.015                     -9.448
1150.007233                   -1.058                     -9.417
1150.007828                   -1.100                     -9.385
1150.008448                   -1.143                     -9.354
1150.009090                   -1.186                     -9.323
1150.009757                   -1.228                     -9.291
1150.010447                   -1.271                     -9.260
1150.011160                   -1.314                     -9.228
1150.011897                   -1.357                     -9.197
1150.012657                   -1.399                     -9.165
1150.013441                   -1.442                     -9.134
1150.014249                   -1.485                     -9.103
1150.015080                   -1.527                     -9.071
1150.015935                   -1.570                     -9.040
1150.016813                   -1.613                     -9.008
1150.017714                   -1.655                     -8.977
1150.018640                   -1.698                     -8.945
1150.019588                   -1.741                     -8.914
1150.020560                   -1.783                     -8.883
1150.021556                   -1.826                     -8.851
1150.022575                   -1.869                     -8.820
1150.023618                   -1.911                     -8.788
1150.024684                   -1.954                     -8.757
1150.025774                   -1.997                     -8.725
1150.026887                   -2.040                     -8.694
1150.028024                   -2.082                     -8.663
1150.029184                   -2.125                     -8.631
1150.030367                   -2.168                     -8.600
1150.031574                   -2.210                     -8.568
1150.032805                   -2.253                     -8.537
1150.034059                   -2.296                     -8.505
1150.035336                   -2.338                     -8.474
1150.036637                   -2.381                     -8.442
1150.037961                   -2.424                     -8.411
1150.039309                   -2.466                     -8.379
1150.040680                   -2.509                     -8.348
1150.042075                   -2.552                     -8.316
1150.043493                   -2.594                     -8.285
1150.044934                   -2.637                     -8.254
1150.046399                   -2.680                     -8.222
1150.047887                   -2.722                     -8.191
1150.049399                   -2.765                     -8.159
1150.050934                   -2.808                     -8.128
1150.052493                   -2.850                     -8.096
1150.054074                   -2.893                     -8.065
1150.055680                   -2.936                     -8.033
1150.057308                   -2.978                     -8.002
1150.058960                   -3.021                     -7.970
1150.060636                   -3.064                     -7.939
1150.062334                   -3.106                     -7.907
1150.064056                   -3.149                     -7.876
1150.065802                   -3.192                     -7.844
1150.067570                   -3.234                     -7.813
1150.069362                   -3.277                     -7.781
1150.071178                   -3.320                     -7.750
1150.073016                   -3.362                     -7.718
1150.074878                   -3.405                     -7.687
1150.076764                   -3.448                     -7.655
1150.078672                   -3.490                     -7.623
1150.080604                   -3.533                     -7.592
1150.082559                   -3.575                     -7.560
1150.084537                   -3.618                     -7.529
1150.086539                   -3.661                     -7.497
1150.088564                   -3.703                     -7.466
1150.090612                   -3.746                     -7.434
1150.092684                   -3.789                     -7.403
1150.094778                   -3.831                     -7.371
1150.096896                   -3.874                     -7.340
1150.099037                   -3.917                     -7.308
1150.101201                   -3.959                     -7.276
1150.103389                   -4.002                     -7.245
1150.105600                   -4.044                     -7.213
1150.107833                   -4.087                     -7.182
1150.110090                   -4.130                     -7.150
1150.112371                   -4.172                     -7.118
1150.114674                   -4.215                     -7.087
1150.117001                   -4.258                     -7.055
1150.119350                   -4.300                     -7.024
1150.121723                   -4.343                     -6.992
1150.124119                   -4.385                     -6.960
1150.126538                   -4.428                     -6.929
1150.128980                   -4.471                     -6.897
1150.131445                   -4.513                     -6.866
1150.133934                   -4.556                     -6.834
1150.136445                   -4.598                     -6.802
1150.138979                   -4.641                     -6.771
1150.141537                   -4.684                     -6.739
1150.144117                   -4.726                     -6.707
1150.146721                   -4.769                     -6.676
1150.149348                   -4.811                     -6.644
1150.151997                   -4.854                     -6.613
1150.154670                   -4.897                     -6.581
1150.157366                   -4.939                     -6.549
1150.160084                   -4.982                     -6.518
1150.162826                   -5.024                     -6.486
1150.165590                   -5.067                     -6.454
1150.168378                   -5.109                     -6.423
1150.171188                   -5.152                     -6.391
1150.174022                   -5.195                     -6.359
1150.176878                   -5.237                     -6.327
1150.179757                   -5.280                     -6.296
1150.182660                   -5.322                     -6.264
1150.185585                   -5.365                     -6.232
1150.188533                   -5.407                     -6.201
1150.191504                   -5.450                     -6.169
1150.194497                   -5.493                     -6.137
1150.197514                   -5.535                     -6.105
1150.200553                   -5.578                     -6.074
1150.203615                   -5.620                     -6.042
1150.206700                   -5.663                     -6.010
1150.209808                   -5.705                     -5.978
1150.212939                   -5.748                     -5.947
1150.216092                   -5.790                     -5.915
1150.219268                   -5.833                     -5.883
1150.222467                   -5.876                     -5.851
1150.225689                   -5.918                     -5.820
1150.228933                   -5.961                     -5.788
1150.232200                   -6.003                     -5.756
1150.235490                   -6.046                     -5.724
1150.238803                   -6.088                     -5.692
1150.242138                   -6.131                     -5.661
1150.245496                   -6.173                     -5.629
1150.248876                   -6.216                     -5.597
1150.252279                   -6.258                     -5.565
1150.255705                   -6.301                     -5.533
1150.259153                   -6.343                     -5.502
1150.262624                   -6.386                     -5.470
1150.266118                   -6.428                     -5.438
1150.269634                   -6.471                     -5.406
1150.273173                   -6.513                     -5.374
1150.276734                   -6.556                     -5.342
1150.280318                   -6.598                     -5.310
1150.283925                   -6.641                     -5.279
1150.287553                   -6.683                     -5.247
1150.291205                   -6.726                     -5.215
1150.294879                   -6.768                     -5.183
1150.298575                   -6.811                     -5.151
1150.302294                   -6.853                     -5.119
1150.306035                   -6.896                     -5.087
1150.309799                   -6.938                     -5.055
1150.313585                   -6.981                     -5.023
1150.317393                   -7.023                     -4.991
1150.321224                   -7.066                     -4.959
1150.325077                   -7.108                     -4.927
