高度                               纬度                        经度
1162.373487                   49.627                     60.332
1162.370673                   49.619                     60.413
1162.367836                   49.612                     60.493
1162.364977                   49.604                     60.573
1162.362094                   49.596                     60.653
1162.359189                   49.588                     60.733
1162.356261                   49.580                     60.813
1162.353311                   49.572                     60.893
1162.350337                   49.564                     60.974
1162.347341                   49.556                     61.054
1162.344322                   49.548                     61.134
1162.341281                   49.540                     61.213
1162.338217                   49.532                     61.293
1162.335130                   49.523                     61.373
1162.332021                   49.515                     61.453
1162.328889                   49.506                     61.533
1162.325734                   49.498                     61.613
1162.322557                   49.489                     61.693
1162.319357                   49.480                     61.772
1162.316135                   49.472                     61.852
1162.312890                   49.463                     61.932
1162.309622                   49.454                     62.012
1162.306332                   49.445                     62.091
1162.303019                   49.436                     62.171
1162.299684                   49.427                     62.250
1162.296327                   49.418                     62.330
1162.292946                   49.409                     62.409
1162.289544                   49.400                     62.489
1162.286118                   49.390                     62.568
1162.282671                   49.381                     62.648
1162.279201                   49.372                     62.727
1162.275708                   49.362                     62.807
1162.272193                   49.353                     62.886
1162.268656                   49.343                     62.965
1162.265096                   49.333                     63.045
1162.261514                   49.324                     63.124
1162.257910                   49.314                     63.203
1162.254283                   49.304                     63.282
1162.250634                   49.294                     63.361
1162.246962                   49.284                     63.440
1162.243268                   49.274                     63.519
1162.239552                   49.264                     63.598
1162.235814                   49.254                     63.677
1162.232053                   49.244                     63.756
1162.228270                   49.234                     63.835
1162.224465                   49.223                     63.914
1162.220637                   49.213                     63.993
1162.216788                   49.203                     64.072
1162.212916                   49.192                     64.151
1162.209022                   49.182                     64.230
1162.205106                   49.171                     64.308
1162.201167                   49.160                     64.387
1162.197207                   49.150                     64.466
1162.193224                   49.139                     64.544
1162.189219                   49.128                     64.623
1162.185192                   49.117                     64.701
1162.181143                   49.106                     64.780
1162.177072                   49.095                     64.858
1162.172979                   49.084                     64.937
1162.168864                   49.073                     65.015
1162.164727                   49.062                     65.094
1162.160568                   49.051                     65.172
1162.156387                   49.039                     65.250
1162.152183                   49.028                     65.328
1162.147958                   49.017                     65.407
1162.143711                   49.005                     65.485
1162.139442                   48.994                     65.563
1162.135151                   48.982                     65.641
1162.130838                   48.970                     65.719
1162.126504                   48.959                     65.797
1162.122147                   48.947                     65.875
1162.117769                   48.935                     65.953
1162.113368                   48.923                     66.031
1162.108946                   48.911                     66.109
1162.104502                   48.899                     66.187
1162.100037                   48.887                     66.264
1162.095549                   48.875                     66.342
1162.091040                   48.863                     66.420
1162.086509                   48.851                     66.498
1162.081956                   48.838                     66.575
1162.077382                   48.826                     66.653
1162.072786                   48.813                     66.730
1162.068168                   48.801                     66.808
1162.063529                   48.788                     66.885
1162.058868                   48.776                     66.963
1162.054185                   48.763                     67.040
1162.049481                   48.751                     67.118
1162.044755                   48.738                     67.195
1162.040008                   48.725                     67.272
1162.035239                   48.712                     67.349
1162.030449                   48.699                     67.426
1162.025637                   48.686                     67.504
1162.020803                   48.673                     67.581
1162.015948                   48.660                     67.658
1162.011072                   48.647                     67.735
1162.006174                   48.634                     67.812
1162.001255                   48.620                     67.889
1161.996314                   48.607                     67.966
1161.991352                   48.594                     68.042
1161.986369                   48.580                     68.119
1161.981364                   48.567                     68.196
1161.976338                   48.553                     68.273
1161.971290                   48.540                     68.349
1161.966222                   48.526                     68.426
1161.961132                   48.512                     68.503
1161.956021                   48.498                     68.579
1161.950888                   48.485                     68.656
1161.945735                   48.471                     68.732
1161.940560                   48.457                     68.808
1161.935364                   48.443                     68.885
1161.930146                   48.429                     68.961
1161.924908                   48.414                     69.037
1161.919649                   48.400                     69.114
1161.914368                   48.386                     69.190
1161.909066                   48.372                     69.266
1161.903744                   48.357                     69.342
1161.898400                   48.343                     69.418
1161.893035                   48.329                     69.494
1161.887650                   48.314                     69.570
1161.882243                   48.299                     69.646
1161.876815                   48.285                     69.722
1161.871366                   48.270                     69.798
1161.865897                   48.255                     69.874
1161.860406                   48.241                     69.949
1161.854895                   48.226                     70.025
1161.849363                   48.211                     70.101
1161.843810                   48.196                     70.176
1161.838236                   48.181                     70.252
1161.832641                   48.166                     70.327
1161.827026                   48.151                     70.403
1161.821390                   48.136                     70.478
1161.815733                   48.120                     70.553
1161.810055                   48.105                     70.629
1161.804357                   48.090                     70.704
1161.798638                   48.074                     70.779
1161.792898                   48.059                     70.854
1161.787138                   48.043                     70.930
1161.781357                   48.028                     71.005
1161.775556                   48.012                     71.080
1161.769734                   47.996                     71.155
1161.763891                   47.981                     71.230
1161.758028                   47.965                     71.304
1161.752145                   47.949                     71.379
1161.746241                   47.933                     71.454
1161.740316                   47.917                     71.529
1161.734371                   47.901                     71.604
1161.728406                   47.885                     71.678
1161.722420                   47.869                     71.753
1161.716414                   47.853                     71.827
1161.710387                   47.837                     71.902
1161.704341                   47.820                     71.976
1161.698274                   47.804                     72.051
1161.692186                   47.788                     72.125
1161.686079                   47.771                     72.199
1161.679951                   47.755                     72.274
1161.673803                   47.738                     72.348
1161.667635                   47.722                     72.422
1161.661446                   47.705                     72.496
1161.655238                   47.688                     72.570
1161.649009                   47.672                     72.644
1161.642760                   47.655                     72.718
1161.636491                   47.638                     72.792
1161.630203                   47.621                     72.866
1161.623894                   47.604                     72.940
1161.617565                   47.587                     73.013
1161.611216                   47.570                     73.087
1161.604847                   47.553                     73.161
1161.598458                   47.536                     73.234
1161.592050                   47.518                     73.308
1161.585621                   47.501                     73.381
1161.579173                   47.484                     73.455
1161.572705                   47.466                     73.528
1161.566217                   47.449                     73.602
1161.559709                   47.432                     73.675
1161.553181                   47.414                     73.748
1161.546634                   47.396                     73.821
1161.540067                   47.379                     73.894
1161.533480                   47.361                     73.968
1161.526874                   47.343                     74.041
1161.520248                   47.326                     74.114
1161.513602                   47.308                     74.186
1161.506937                   47.290                     74.259
1161.500252                   47.272                     74.332
1161.493548                   47.254                     74.405
