高度                               纬度                        经度
1156.999962                   -34.998                    59.330
1156.987826                   -34.963                    59.379
1156.975688                   -34.929                    59.427
1156.963547                   -34.894                    59.476
1156.951403                   -34.859                    59.524
1156.939257                   -34.824                    59.572
1156.927109                   -34.790                    59.620
1156.914959                   -34.755                    59.669
1156.902806                   -34.720                    59.717
1156.890651                   -34.685                    59.765
1156.878493                   -34.650                    59.813
1156.866334                   -34.615                    59.861
1156.854172                   -34.580                    59.909
1156.842009                   -34.545                    59.957
1156.829843                   -34.510                    60.005
1156.817675                   -34.475                    60.053
1156.805506                   -34.440                    60.101
1156.793335                   -34.405                    60.149
1156.781161                   -34.370                    60.196
1156.768986                   -34.335                    60.244
1156.756810                   -34.300                    60.292
1156.744631                   -34.265                    60.339
1156.732451                   -34.229                    60.387
1156.720269                   -34.194                    60.434
1156.708086                   -34.159                    60.482
1156.695901                   -34.124                    60.529
1156.683715                   -34.089                    60.577
1156.671527                   -34.053                    60.624
1156.659338                   -34.018                    60.671
1156.647148                   -33.983                    60.719
1156.634956                   -33.947                    60.766
1156.622763                   -33.912                    60.813
1156.610569                   -33.877                    60.860
1156.598374                   -33.841                    60.907
1156.586178                   -33.806                    60.955
1156.573980                   -33.770                    61.002
1156.561782                   -33.735                    61.049
1156.549582                   -33.699                    61.095
1156.537382                   -33.664                    61.142
1156.525181                   -33.628                    61.189
1156.512979                   -33.593                    61.236
1156.500776                   -33.557                    61.283
1156.488572                   -33.521                    61.330
1156.476368                   -33.486                    61.376
1156.464163                   -33.450                    61.423
1156.451958                   -33.415                    61.469
1156.439752                   -33.379                    61.516
1156.427545                   -33.343                    61.563
1156.415338                   -33.307                    61.609
1156.403131                   -33.272                    61.655
1156.390923                   -33.236                    61.702
1156.378715                   -33.200                    61.748
1156.366506                   -33.164                    61.795
1156.354298                   -33.128                    61.841
1156.342089                   -33.093                    61.887
1156.329880                   -33.057                    61.933
1156.317671                   -33.021                    61.979
1156.305462                   -32.985                    62.026
1156.293253                   -32.949                    62.072
1156.281043                   -32.913                    62.118
1156.268834                   -32.877                    62.164
1156.256626                   -32.841                    62.210
1156.244417                   -32.805                    62.256
1156.232208                   -32.769                    62.301
1156.220000                   -32.733                    62.347
1156.207792                   -32.697                    62.393
1156.195585                   -32.661                    62.439
1156.183377                   -32.625                    62.484
1156.171171                   -32.589                    62.530
1156.158965                   -32.552                    62.576
1156.146759                   -32.516                    62.621
1156.134554                   -32.480                    62.667
1156.122349                   -32.444                    62.712
1156.110146                   -32.408                    62.758
1156.097942                   -32.371                    62.803
1156.085740                   -32.335                    62.849
1156.073539                   -32.299                    62.894
1156.061338                   -32.262                    62.939
1156.049138                   -32.226                    62.985
1156.036940                   -32.190                    63.030
1156.024742                   -32.153                    63.075
1156.012545                   -32.117                    63.120
1156.000350                   -32.081                    63.165
1155.988155                   -32.044                    63.210
1155.975962                   -32.008                    63.255
1155.963770                   -31.971                    63.300
1155.951579                   -31.935                    63.345
1155.939389                   -31.898                    63.390
1155.927201                   -31.862                    63.435
1155.915015                   -31.825                    63.480
1155.902829                   -31.789                    63.525
1155.890646                   -31.752                    63.570
1155.878463                   -31.715                    63.614
1155.866283                   -31.679                    63.659
1155.854104                   -31.642                    63.704
1155.841926                   -31.606                    63.748
1155.829751                   -31.569                    63.793
1155.817577                   -31.532                    63.837
1155.805405                   -31.495                    63.882
1155.793235                   -31.459                    63.926
1155.781067                   -31.422                    63.971
1155.768900                   -31.385                    64.015
1155.756736                   -31.348                    64.060
1155.744574                   -31.312                    64.104
1155.732414                   -31.275                    64.148
1155.720256                   -31.238                    64.192
1155.708100                   -31.201                    64.237
1155.695947                   -31.164                    64.281
1155.683795                   -31.127                    64.325
1155.671646                   -31.090                    64.369
1155.659500                   -31.053                    64.413
1155.647355                   -31.016                    64.457
1155.635214                   -30.979                    64.501
1155.623074                   -30.942                    64.545
1155.610938                   -30.905                    64.589
1155.598804                   -30.868                    64.633
1155.586672                   -30.831                    64.677
1155.574543                   -30.794                    64.720
1155.562417                   -30.757                    64.764
1155.550294                   -30.720                    64.808
1155.538174                   -30.683                    64.852
1155.526056                   -30.646                    64.895
1155.513941                   -30.609                    64.939
1155.501830                   -30.572                    64.982
1155.489721                   -30.534                    65.026
1155.477615                   -30.497                    65.069
1155.465513                   -30.460                    65.113
1155.453413                   -30.423                    65.156
1155.441317                   -30.385                    65.200
1155.429224                   -30.348                    65.243
1155.417134                   -30.311                    65.286
1155.405048                   -30.274                    65.330
1155.392965                   -30.236                    65.373
1155.380885                   -30.199                    65.416
1155.368809                   -30.162                    65.459
1155.356736                   -30.124                    65.502
1155.344667                   -30.087                    65.546
1155.332601                   -30.049                    65.589
1155.320539                   -30.012                    65.632
1155.308481                   -29.974                    65.675
1155.296427                   -29.937                    65.718
1155.284376                   -29.900                    65.761
1155.272329                   -29.862                    65.803
1155.260286                   -29.824                    65.846
1155.248247                   -29.787                    65.889
1155.236211                   -29.749                    65.932
1155.224180                   -29.712                    65.975
1155.212153                   -29.674                    66.017
1155.200130                   -29.637                    66.060
1155.188111                   -29.599                    66.103
1155.176096                   -29.561                    66.145
1155.164086                   -29.524                    66.188
1155.152079                   -29.486                    66.230
1155.140077                   -29.448                    66.273
1155.128080                   -29.411                    66.315
1155.116087                   -29.373                    66.358
1155.104098                   -29.335                    66.400
1155.092113                   -29.298                    66.443
1155.080134                   -29.260                    66.485
1155.068159                   -29.222                    66.527
1155.056188                   -29.184                    66.570
1155.044222                   -29.146                    66.612
1155.032261                   -29.109                    66.654
1155.020305                   -29.071                    66.696
1155.008353                   -29.033                    66.738
