高度                               纬度                        经度
1152.510511                   20.105                     92.092
1152.500811                   20.065                     92.129
1152.491125                   20.024                     92.165
1152.481453                   19.984                     92.201
1152.471795                   19.943                     92.237
1152.462152                   19.903                     92.273
1152.452522                   19.862                     92.309
1152.442907                   19.822                     92.345
1152.433307                   19.781                     92.381
1152.423720                   19.740                     92.418
1152.414148                   19.700                     92.454
1152.404590                   19.659                     92.490
1152.395047                   19.619                     92.526
1152.385518                   19.578                     92.562
1152.376004                   19.537                     92.598
1152.366504                   19.497                     92.633
1152.357019                   19.456                     92.669
1152.347549                   19.415                     92.705
1152.338093                   19.375                     92.741
1152.328652                   19.334                     92.777
1152.319225                   19.293                     92.813
1152.309814                   19.253                     92.849
1152.300417                   19.212                     92.884
1152.291035                   19.171                     92.920
1152.281668                   19.130                     92.956
1152.272316                   19.090                     92.992
1152.262978                   19.049                     93.027
1152.253656                   19.008                     93.063
1152.244349                   18.967                     93.099
1152.235056                   18.927                     93.134
1152.225779                   18.886                     93.170
1152.216517                   18.845                     93.206
1152.207270                   18.804                     93.241
1152.198038                   18.763                     93.277
1152.188822                   18.723                     93.312
1152.179621                   18.682                     93.348
1152.170435                   18.641                     93.384
1152.161264                   18.600                     93.419
1152.152109                   18.559                     93.455
1152.142969                   18.518                     93.490
1152.133844                   18.478                     93.525
1152.124735                   18.437                     93.561
1152.115642                   18.396                     93.596
1152.106564                   18.355                     93.632
1152.097501                   18.314                     93.667
1152.088455                   18.273                     93.702
1152.079423                   18.232                     93.738
1152.070408                   18.191                     93.773
1152.061408                   18.150                     93.808
1152.052424                   18.109                     93.844
1152.043456                   18.068                     93.879
1152.034503                   18.028                     93.914
1152.025566                   17.987                     93.949
1152.016645                   17.946                     93.985
1152.007741                   17.905                     94.020
1151.998852                   17.864                     94.055
1151.989978                   17.823                     94.090
1151.981121                   17.782                     94.125
1151.972280                   17.741                     94.160
1151.963456                   17.700                     94.195
1151.954647                   17.659                     94.231
1151.945854                   17.618                     94.266
1151.937077                   17.576                     94.301
1151.928317                   17.535                     94.336
1151.919573                   17.494                     94.371
1151.910845                   17.453                     94.406
1151.902134                   17.412                     94.441
1151.893438                   17.371                     94.476
1151.884760                   17.330                     94.511
1151.876097                   17.289                     94.546
1151.867451                   17.248                     94.580
1151.858822                   17.207                     94.615
1151.850209                   17.166                     94.650
1151.841612                   17.124                     94.685
1151.833032                   17.083                     94.720
1151.824469                   17.042                     94.755
1151.815922                   17.001                     94.790
1151.807392                   16.960                     94.824
1151.798878                   16.919                     94.859
1151.790382                   16.877                     94.894
1151.781902                   16.836                     94.929
1151.773439                   16.795                     94.963
1151.764992                   16.754                     94.998
1151.756563                   16.713                     95.033
1151.748150                   16.671                     95.067
1151.739755                   16.630                     95.102
1151.731376                   16.589                     95.137
1151.723014                   16.548                     95.171
1151.714669                   16.507                     95.206
1151.706342                   16.465                     95.240
1151.698031                   16.424                     95.275
1151.689737                   16.383                     95.310
1151.681461                   16.341                     95.344
1151.673202                   16.300                     95.379
1151.664959                   16.259                     95.413
1151.656735                   16.218                     95.448
1151.648527                   16.176                     95.482
1151.640337                   16.135                     95.517
1151.632164                   16.094                     95.551
1151.624008                   16.052                     95.586
1151.615870                   16.011                     95.620
1151.607749                   15.970                     95.654
1151.599645                   15.928                     95.689
1151.591560                   15.887                     95.723
1151.583491                   15.846                     95.757
1151.575440                   15.804                     95.792
1151.567407                   15.763                     95.826
1151.559391                   15.722                     95.860
1151.551393                   15.680                     95.895
1151.543412                   15.639                     95.929
1151.535449                   15.597                     95.963
1151.527504                   15.556                     95.997
1151.519577                   15.515                     96.032
1151.511667                   15.473                     96.066
1151.503776                   15.432                     96.100
1151.495902                   15.390                     96.134
1151.488046                   15.349                     96.168
1151.480207                   15.307                     96.203
1151.472387                   15.266                     96.237
1151.464585                   15.224                     96.271
1151.456800                   15.183                     96.305
1151.449034                   15.141                     96.339
1151.441286                   15.100                     96.373
1151.433555                   15.058                     96.407
1151.425843                   15.017                     96.441
1151.418149                   14.975                     96.475
1151.410473                   14.934                     96.509
1151.402815                   14.892                     96.543
1151.395176                   14.851                     96.577
1151.387555                   14.809                     96.611
1151.379952                   14.768                     96.645
1151.372367                   14.726                     96.679
1151.364801                   14.685                     96.713
1151.357253                   14.643                     96.747
1151.349723                   14.602                     96.781
1151.342212                   14.560                     96.815
1151.334719                   14.519                     96.849
1151.327245                   14.477                     96.882
1151.319789                   14.435                     96.916
1151.312351                   14.394                     96.950
1151.304933                   14.352                     96.984
1151.297533                   14.311                     97.018
1151.290151                   14.269                     97.052
1151.282788                   14.227                     97.085
1151.275444                   14.186                     97.119
1151.268118                   14.144                     97.153
1151.260811                   14.102                     97.187
1151.253523                   14.061                     97.220
1151.246254                   14.019                     97.254
1151.239003                   13.978                     97.288
1151.231772                   13.936                     97.321
1151.224559                   13.894                     97.355
1151.217365                   13.853                     97.389
1151.210190                   13.811                     97.422
1151.203033                   13.769                     97.456
1151.195896                   13.727                     97.490
1151.188778                   13.686                     97.523
1151.181679                   13.644                     97.557
1151.174599                   13.602                     97.590
1151.167538                   13.561                     97.624
1151.160496                   13.519                     97.657
1151.153473                   13.477                     97.691
1151.146469                   13.435                     97.724
1151.139485                   13.394                     97.758
1151.132519                   13.352                     97.791
1151.125573                   13.310                     97.825
1151.118646                   13.268                     97.858
1151.111739                   13.227                     97.892
1151.104851                   13.185                     97.925
1151.097982                   13.143                     97.959
1151.091132                   13.101                     97.992
1151.084302                   13.060                     98.026
1151.077491                   13.018                     98.059
1151.070700                   12.976                     98.092
1151.063928                   12.934                     98.126
1151.057176                   12.892                     98.159
1151.050443                   12.851                     98.192
1151.043729                   12.809                     98.226
1151.037036                   12.767                     98.259
1151.030361                   12.725                     98.292
1151.023707                   12.683                     98.326
1151.017072                   12.642                     98.359
1151.010457                   12.600                     98.392
1151.003861                   12.558                     98.425
1150.997285                   12.516                     98.459
1150.990729                   12.474                     98.492
1150.984193                   12.432                     98.525
1150.977676                   12.390                     98.558
1150.971179                   12.349                     98.592
1150.964702                   12.307                     98.625
1150.958245                   12.265                     98.658
