高度                               纬度                        经度
1156.241836                   32.797                     -87.573
1156.229640                   32.761                     -87.527
1156.217444                   32.725                     -87.481
1156.205249                   32.689                     -87.436
1156.193054                   32.653                     -87.390
1156.180860                   32.617                     -87.344
1156.168665                   32.581                     -87.298
1156.156472                   32.545                     -87.253
1156.144279                   32.509                     -87.207
1156.132086                   32.473                     -87.161
1156.119894                   32.437                     -87.116
1156.107703                   32.400                     -87.070
1156.095512                   32.364                     -87.025
1156.083323                   32.328                     -86.980
1156.071134                   32.292                     -86.934
1156.058946                   32.255                     -86.889
1156.046758                   32.219                     -86.844
1156.034572                   32.183                     -86.798
1156.022387                   32.146                     -86.753
1156.010202                   32.110                     -86.708
1155.998019                   32.074                     -86.663
1155.985837                   32.037                     -86.618
1155.973656                   32.001                     -86.573
1155.961476                   31.964                     -86.528
1155.949298                   31.928                     -86.483
1155.937121                   31.891                     -86.438
1155.924945                   31.855                     -86.393
1155.912770                   31.818                     -86.348
1155.900597                   31.782                     -86.303
1155.888426                   31.745                     -86.258
1155.876256                   31.709                     -86.213
1155.864087                   31.672                     -86.169
1155.851920                   31.636                     -86.124
1155.839755                   31.599                     -86.079
1155.827592                   31.562                     -86.035
1155.815430                   31.526                     -85.990
1155.803270                   31.489                     -85.946
1155.791112                   31.452                     -85.901
1155.778956                   31.416                     -85.857
1155.766802                   31.379                     -85.812
1155.754650                   31.342                     -85.768
1155.742500                   31.305                     -85.724
1155.730352                   31.268                     -85.679
1155.718206                   31.232                     -85.635
1155.706062                   31.195                     -85.591
1155.693920                   31.158                     -85.547
1155.681781                   31.121                     -85.502
1155.669644                   31.084                     -85.458
1155.657509                   31.047                     -85.414
1155.645377                   31.010                     -85.370
1155.633247                   30.973                     -85.326
1155.621120                   30.937                     -85.282
1155.608995                   30.900                     -85.238
1155.596872                   30.863                     -85.194
1155.584753                   30.826                     -85.150
1155.572636                   30.788                     -85.107
1155.560522                   30.751                     -85.063
1155.548410                   30.714                     -85.019
1155.536301                   30.677                     -84.975
1155.524195                   30.640                     -84.932
1155.512092                   30.603                     -84.888
1155.499992                   30.566                     -84.844
1155.487895                   30.529                     -84.801
1155.475801                   30.492                     -84.757
1155.463710                   30.454                     -84.714
1155.451623                   30.417                     -84.670
1155.439538                   30.380                     -84.627
1155.427457                   30.343                     -84.584
1155.415378                   30.305                     -84.540
1155.403303                   30.268                     -84.497
1155.391232                   30.231                     -84.454
1155.379164                   30.194                     -84.410
1155.367099                   30.156                     -84.367
1155.355038                   30.119                     -84.324
1155.342980                   30.082                     -84.281
1155.330926                   30.044                     -84.238
1155.318875                   30.007                     -84.195
1155.306829                   29.969                     -84.152
1155.294785                   29.932                     -84.109
1155.282746                   29.894                     -84.066
1155.270710                   29.857                     -84.023
1155.258679                   29.819                     -83.980
1155.246651                   29.782                     -83.937
1155.234627                   29.744                     -83.894
1155.222607                   29.707                     -83.851
1155.210591                   29.669                     -83.809
1155.198579                   29.632                     -83.766
1155.186571                   29.594                     -83.723
1155.174568                   29.557                     -83.681
1155.162568                   29.519                     -83.638
1155.150573                   29.481                     -83.595
1155.138582                   29.444                     -83.553
1155.126596                   29.406                     -83.510
1155.114614                   29.368                     -83.468
1155.102636                   29.331                     -83.426
1155.090663                   29.293                     -83.383
1155.078694                   29.255                     -83.341
1155.066730                   29.217                     -83.298
1155.054770                   29.180                     -83.256
1155.042815                   29.142                     -83.214
1155.030865                   29.104                     -83.172
1155.018920                   29.066                     -83.129
1155.006979                   29.028                     -83.087
1154.995043                   28.991                     -83.045
1154.983112                   28.953                     -83.003
1154.971186                   28.915                     -82.961
1154.959265                   28.877                     -82.919
1154.947349                   28.839                     -82.877
1154.935438                   28.801                     -82.835
1154.923532                   28.763                     -82.793
1154.911631                   28.725                     -82.751
1154.899736                   28.687                     -82.709
1154.887846                   28.649                     -82.667
1154.875961                   28.611                     -82.626
1154.864081                   28.573                     -82.584
1154.852206                   28.535                     -82.542
1154.840337                   28.497                     -82.500
1154.828474                   28.459                     -82.459
1154.816616                   28.421                     -82.417
1154.804763                   28.383                     -82.375
1154.792917                   28.345                     -82.334
1154.781075                   28.307                     -82.292
1154.769240                   28.268                     -82.251
1154.757410                   28.230                     -82.209
1154.745586                   28.192                     -82.168
1154.733768                   28.154                     -82.127
1154.721955                   28.116                     -82.085
1154.710149                   28.077                     -82.044
1154.698348                   28.039                     -82.003
1154.686554                   28.001                     -81.961
1154.674765                   27.963                     -81.920
1154.662983                   27.924                     -81.879
1154.651206                   27.886                     -81.838
1154.639436                   27.848                     -81.796
1154.627672                   27.809                     -81.755
1154.615914                   27.771                     -81.714
1154.604163                   27.733                     -81.673
1154.592418                   27.694                     -81.632
1154.580679                   27.656                     -81.591
1154.568947                   27.618                     -81.550
1154.557221                   27.579                     -81.509
1154.545502                   27.541                     -81.468
1154.533789                   27.502                     -81.427
1154.522083                   27.464                     -81.387
1154.510383                   27.425                     -81.346
1154.498691                   27.387                     -81.305
1154.487005                   27.348                     -81.264
1154.475325                   27.310                     -81.224
1154.463653                   27.271                     -81.183
1154.451987                   27.233                     -81.142
1154.440329                   27.194                     -81.102
1154.428677                   27.156                     -81.061
1154.417032                   27.117                     -81.021
1154.405395                   27.078                     -80.980
1154.393764                   27.040                     -80.939
1154.382141                   27.001                     -80.899
1154.370525                   26.962                     -80.859
1154.358915                   26.924                     -80.818
1154.347314                   26.885                     -80.778
1154.335719                   26.846                     -80.737
1154.324132                   26.808                     -80.697
1154.312552                   26.769                     -80.657
1154.300980                   26.730                     -80.617
1154.289415                   26.691                     -80.576
1154.277858                   26.653                     -80.536
1154.266308                   26.614                     -80.496
1154.254766                   26.575                     -80.456
1154.243232                   26.536                     -80.416
1154.231705                   26.497                     -80.376
1154.220186                   26.459                     -80.336
1154.208675                   26.420                     -80.296
1154.197171                   26.381                     -80.256
1154.185676                   26.342                     -80.216
1154.174188                   26.303                     -80.176
1154.162708                   26.264                     -80.136
1154.151237                   26.225                     -80.096
