高度                               纬度                        经度
1150.278834                   6.581                      -109.586
1150.282424                   6.623                      -109.554
1150.286036                   6.666                      -109.522
1150.289670                   6.708                      -109.490
1150.293327                   6.750                      -109.458
1150.297006                   6.793                      -109.426
1150.300707                   6.835                      -109.394
1150.304431                   6.878                      -109.362
1150.308177                   6.920                      -109.330
1150.311946                   6.962                      -109.298
1150.315736                   7.005                      -109.266
1150.319550                   7.047                      -109.234
1150.323385                   7.089                      -109.202
1150.327242                   7.132                      -109.170
1150.331122                   7.174                      -109.138
1150.335024                   7.217                      -109.106
1150.338949                   7.259                      -109.073
1150.342895                   7.301                      -109.041
1150.346864                   7.344                      -109.009
1150.350855                   7.386                      -108.977
1150.354868                   7.428                      -108.945
1150.358903                   7.471                      -108.913
1150.362961                   7.513                      -108.881
1150.367040                   7.555                      -108.849
1150.371142                   7.598                      -108.817
1150.375265                   7.640                      -108.784
1150.379411                   7.682                      -108.752
1150.383579                   7.725                      -108.720
1150.387769                   7.767                      -108.688
1150.391980                   7.809                      -108.656
1150.396214                   7.852                      -108.624
1150.400470                   7.894                      -108.591
1150.404748                   7.936                      -108.559
1150.409048                   7.979                      -108.527
1150.413369                   8.021                      -108.495
1150.417713                   8.063                      -108.463
1150.422079                   8.106                      -108.430
1150.426466                   8.148                      -108.398
1150.430875                   8.190                      -108.366
1150.435307                   8.232                      -108.334
1150.439760                   8.275                      -108.302
1150.444234                   8.317                      -108.269
1150.448731                   8.359                      -108.237
1150.453250                   8.402                      -108.205
1150.457790                   8.444                      -108.172
1150.462352                   8.486                      -108.140
1150.466936                   8.528                      -108.108
1150.471541                   8.571                      -108.076
1150.476168                   8.613                      -108.043
1150.480817                   8.655                      -108.011
1150.485488                   8.697                      -107.979
1150.490180                   8.740                      -107.946
1150.494894                   8.782                      -107.914
1150.499629                   8.824                      -107.882
1150.504386                   8.866                      -107.849
1150.509165                   8.909                      -107.817
1150.513965                   8.951                      -107.784
1150.518787                   8.993                      -107.752
1150.523630                   9.035                      -107.720
1150.528495                   9.078                      -107.687
1150.533381                   9.120                      -107.655
1150.538289                   9.162                      -107.622
1150.543218                   9.204                      -107.590
1150.548169                   9.246                      -107.558
1150.553141                   9.289                      -107.525
1150.558135                   9.331                      -107.493
1150.563150                   9.373                      -107.460
1150.568186                   9.415                      -107.428
1150.573243                   9.457                      -107.395
1150.578322                   9.500                      -107.363
1150.583422                   9.542                      -107.330
1150.588544                   9.584                      -107.298
1150.593687                   9.626                      -107.265
1150.598851                   9.668                      -107.233
1150.604036                   9.710                      -107.200
1150.609242                   9.753                      -107.168
1150.614470                   9.795                      -107.135
1150.619719                   9.837                      -107.102
1150.624989                   9.879                      -107.070
1150.630280                   9.921                      -107.037
1150.635592                   9.963                      -107.005
1150.640925                   10.005                     -106.972
1150.646280                   10.048                     -106.940
1150.651655                   10.090                     -106.907
1150.657052                   10.132                     -106.874
1150.662469                   10.174                     -106.842
1150.667908                   10.216                     -106.809
1150.673367                   10.258                     -106.776
1150.678847                   10.300                     -106.744
1150.684349                   10.342                     -106.711
1150.689871                   10.384                     -106.678
1150.695414                   10.427                     -106.646
1150.700978                   10.469                     -106.613
1150.706563                   10.511                     -106.580
1150.712168                   10.553                     -106.547
1150.717795                   10.595                     -106.515
1150.723442                   10.637                     -106.482
1150.729110                   10.679                     -106.449
1150.734799                   10.721                     -106.416
1150.740508                   10.763                     -106.384
1150.746238                   10.805                     -106.351
1150.751989                   10.847                     -106.318
1150.757760                   10.889                     -106.285
1150.763552                   10.931                     -106.252
1150.769365                   10.973                     -106.220
1150.775198                   11.015                     -106.187
1150.781052                   11.057                     -106.154
1150.786926                   11.099                     -106.121
1150.792821                   11.141                     -106.088
1150.798737                   11.183                     -106.055
1150.804673                   11.225                     -106.022
1150.810629                   11.267                     -105.990
1150.816606                   11.309                     -105.957
1150.822603                   11.351                     -105.924
1150.828620                   11.393                     -105.891
1150.834658                   11.435                     -105.858
1150.840716                   11.477                     -105.825
1150.846795                   11.519                     -105.792
1150.852894                   11.561                     -105.759
1150.859013                   11.603                     -105.726
1150.865152                   11.645                     -105.693
1150.871312                   11.687                     -105.660
1150.877492                   11.729                     -105.627
1150.883692                   11.771                     -105.594
1150.889912                   11.813                     -105.561
1150.896152                   11.855                     -105.528
1150.902413                   11.897                     -105.495
1150.908693                   11.939                     -105.462
1150.914994                   11.981                     -105.428
1150.921314                   12.023                     -105.395
1150.927655                   12.064                     -105.362
1150.934015                   12.106                     -105.329
1150.940396                   12.148                     -105.296
1150.946796                   12.190                     -105.263
1150.953217                   12.232                     -105.230
1150.959657                   12.274                     -105.197
1150.966117                   12.316                     -105.163
1150.972597                   12.358                     -105.130
1150.979097                   12.400                     -105.097
1150.985617                   12.441                     -105.064
1150.992156                   12.483                     -105.030
1150.998715                   12.525                     -104.997
1151.005294                   12.567                     -104.964
1151.011893                   12.609                     -104.931
1151.018511                   12.651                     -104.897
1151.025149                   12.692                     -104.864
1151.031806                   12.734                     -104.831
1151.038483                   12.776                     -104.798
1151.045180                   12.818                     -104.764
1151.051896                   12.860                     -104.731
1151.058632                   12.901                     -104.697
1151.065387                   12.943                     -104.664
1151.072162                   12.985                     -104.631
1151.078956                   13.027                     -104.597
1151.085770                   13.069                     -104.564
1151.092603                   13.110                     -104.531
1151.099455                   13.152                     -104.497
1151.106327                   13.194                     -104.464
1151.113218                   13.236                     -104.430
1151.120128                   13.277                     -104.397
1151.127058                   13.319                     -104.363
1151.134006                   13.361                     -104.330
1151.140974                   13.403                     -104.296
1151.147962                   13.444                     -104.263
1151.154968                   13.486                     -104.229
1151.161994                   13.528                     -104.196
1151.169038                   13.570                     -104.162
1151.176102                   13.611                     -104.129
1151.183185                   13.653                     -104.095
1151.190286                   13.695                     -104.061
1151.197407                   13.736                     -104.028
1151.204547                   13.778                     -103.994
1151.211706                   13.820                     -103.960
1151.218883                   13.861                     -103.927
1151.226080                   13.903                     -103.893
1151.233295                   13.945                     -103.860
1151.240529                   13.986                     -103.826
1151.247782                   14.028                     -103.792
1151.255054                   14.070                     -103.758
1151.262345                   14.111                     -103.725
1151.269654                   14.153                     -103.691
1151.276982                   14.194                     -103.657
1151.284329                   14.236                     -103.623
1151.291694                   14.278                     -103.590
1151.299078                   14.319                     -103.556
1151.306481                   14.361                     -103.522
1151.313902                   14.402                     -103.488
1151.321341                   14.444                     -103.454
1151.328800                   14.486                     -103.420
1151.336276                   14.527                     -103.387
1151.343771                   14.569                     -103.353
1151.351285                   14.610                     -103.319
1151.358817                   14.652                     -103.285
1151.366367                   14.693                     -103.251
1151.373936                   14.735                     -103.217
1151.381523                   14.776                     -103.183
1151.389128                   14.818                     -103.149
1151.396751                   14.860                     -103.115
1151.404393                   14.901                     -103.081
1151.412053                   14.943                     -103.047
