高度                               纬度                        经度
1162.191624                   -49.135                    -115.322
1162.195762                   -49.146                    -115.243
1162.199878                   -49.157                    -115.165
1162.203972                   -49.168                    -115.086
1162.208045                   -49.179                    -115.008
1162.212095                   -49.190                    -114.929
1162.216122                   -49.201                    -114.851
1162.220128                   -49.212                    -114.772
1162.224112                   -49.223                    -114.693
1162.228073                   -49.233                    -114.614
1162.232012                   -49.244                    -114.536
1162.235929                   -49.255                    -114.457
1162.239824                   -49.265                    -114.378
1162.243696                   -49.276                    -114.299
1162.247546                   -49.286                    -114.220
1162.251374                   -49.296                    -114.141
1162.255180                   -49.307                    -114.062
1162.258963                   -49.317                    -113.983
1162.262724                   -49.327                    -113.904
1162.266463                   -49.337                    -113.825
1162.270179                   -49.347                    -113.745
1162.273873                   -49.357                    -113.666
1162.277545                   -49.367                    -113.587
1162.281194                   -49.377                    -113.508
1162.284821                   -49.387                    -113.429
1162.288426                   -49.397                    -113.349
1162.292008                   -49.406                    -113.270
1162.295567                   -49.416                    -113.190
1162.299104                   -49.426                    -113.111
1162.302619                   -49.435                    -113.032
1162.306111                   -49.445                    -112.952
1162.309581                   -49.454                    -112.873
1162.313028                   -49.463                    -112.793
1162.316453                   -49.473                    -112.713
1162.319855                   -49.482                    -112.634
1162.323235                   -49.491                    -112.554
1162.326592                   -49.500                    -112.475
1162.329927                   -49.509                    -112.395
1162.333239                   -49.518                    -112.315
1162.336528                   -49.527                    -112.235
1162.339795                   -49.536                    -112.155
1162.343039                   -49.545                    -112.076
1162.346260                   -49.553                    -111.996
1162.349459                   -49.562                    -111.916
1162.352636                   -49.571                    -111.836
1162.355789                   -49.579                    -111.756
1162.358920                   -49.588                    -111.676
1162.362028                   -49.596                    -111.596
1162.365114                   -49.604                    -111.516
1162.368177                   -49.613                    -111.436
1162.371217                   -49.621                    -111.356
1162.374234                   -49.629                    -111.276
1162.377229                   -49.637                    -111.196
1162.380201                   -49.645                    -111.115
1162.383150                   -49.653                    -111.035
1162.386076                   -49.661                    -110.955
1162.388980                   -49.669                    -110.875
1162.391860                   -49.677                    -110.794
1162.394718                   -49.685                    -110.714
1162.397554                   -49.692                    -110.634
1162.400366                   -49.700                    -110.553
1162.403155                   -49.708                    -110.473
1162.405922                   -49.715                    -110.393
1162.408666                   -49.723                    -110.312
1162.411387                   -49.730                    -110.232
1162.414085                   -49.737                    -110.151
1162.416760                   -49.744                    -110.071
1162.419412                   -49.752                    -109.990
1162.422041                   -49.759                    -109.910
1162.424648                   -49.766                    -109.829
1162.427231                   -49.773                    -109.748
1162.429792                   -49.780                    -109.668
1162.432330                   -49.787                    -109.587
1162.434844                   -49.794                    -109.506
1162.437336                   -49.800                    -109.426
1162.439805                   -49.807                    -109.345
1162.442250                   -49.814                    -109.264
1162.444673                   -49.820                    -109.183
1162.447073                   -49.827                    -109.102
1162.449449                   -49.833                    -109.022
1162.451803                   -49.840                    -108.941
1162.454134                   -49.846                    -108.860
1162.456441                   -49.852                    -108.779
1162.458726                   -49.858                    -108.698
1162.460987                   -49.865                    -108.617
1162.463226                   -49.871                    -108.536
1162.465441                   -49.877                    -108.455
1162.467634                   -49.883                    -108.374
1162.469803                   -49.888                    -108.293
1162.471949                   -49.894                    -108.212
1162.474072                   -49.900                    -108.131
1162.476172                   -49.906                    -108.050
1162.478249                   -49.911                    -107.969
1162.480302                   -49.917                    -107.888
1162.482333                   -49.922                    -107.807
1162.484340                   -49.928                    -107.725
1162.486324                   -49.933                    -107.644
1162.488286                   -49.939                    -107.563
1162.490223                   -49.944                    -107.482
1162.492138                   -49.949                    -107.401
1162.494030                   -49.954                    -107.319
1162.495898                   -49.959                    -107.238
1162.497743                   -49.964                    -107.157
1162.499565                   -49.969                    -107.075
1162.501364                   -49.974                    -106.994
1162.503140                   -49.979                    -106.913
1162.504892                   -49.984                    -106.831
1162.506621                   -49.988                    -106.750
1162.508327                   -49.993                    -106.669
1162.510010                   -49.998                    -106.587
1162.511669                   -50.002                    -106.506
1162.513305                   -50.007                    -106.424
1162.514918                   -50.011                    -106.343
1162.516508                   -50.015                    -106.261
1162.518074                   -50.020                    -106.180
1162.519617                   -50.024                    -106.098
1162.521137                   -50.028                    -106.017
1162.522633                   -50.032                    -105.935
1162.524107                   -50.036                    -105.854
1162.525556                   -50.040                    -105.772
1162.526983                   -50.044                    -105.691
1162.528386                   -50.048                    -105.609
1162.529766                   -50.051                    -105.527
1162.531123                   -50.055                    -105.446
1162.532456                   -50.059                    -105.364
1162.533766                   -50.062                    -105.282
1162.535053                   -50.066                    -105.201
1162.536316                   -50.069                    -105.119
1162.537556                   -50.073                    -105.037
1162.538773                   -50.076                    -104.956
1162.539966                   -50.079                    -104.874
1162.541136                   -50.082                    -104.792
1162.542283                   -50.085                    -104.711
1162.543406                   -50.088                    -104.629
1162.544506                   -50.091                    -104.547
1162.545582                   -50.094                    -104.465
1162.546636                   -50.097                    -104.384
1162.547665                   -50.100                    -104.302
1162.548672                   -50.103                    -104.220
1162.549655                   -50.105                    -104.138
1162.550614                   -50.108                    -104.056
1162.551550                   -50.111                    -103.975
1162.552463                   -50.113                    -103.893
1162.553352                   -50.115                    -103.811
1162.554218                   -50.118                    -103.729
1162.555061                   -50.120                    -103.647
1162.555880                   -50.122                    -103.565
1162.556676                   -50.125                    -103.483
1162.557448                   -50.127                    -103.402
1162.558197                   -50.129                    -103.320
1162.558922                   -50.131                    -103.238
1162.559624                   -50.133                    -103.156
