高度                               纬度                        经度
1160.353391                   -44.197                    89.308
1160.362569                   -44.222                    89.373
1160.371731                   -44.246                    89.438
1160.380879                   -44.271                    89.503
1160.390010                   -44.295                    89.568
1160.399126                   -44.320                    89.633
1160.408227                   -44.344                    89.698
1160.417312                   -44.368                    89.763
1160.426382                   -44.393                    89.828
1160.435436                   -44.417                    89.894
1160.444475                   -44.441                    89.959
1160.453498                   -44.465                    90.025
1160.462505                   -44.490                    90.090
1160.471497                   -44.514                    90.156
1160.480473                   -44.538                    90.221
1160.489433                   -44.562                    90.287
1160.498377                   -44.586                    90.353
1160.507306                   -44.610                    90.418
1160.516218                   -44.634                    90.484
1160.525115                   -44.657                    90.550
1160.533996                   -44.681                    90.616
1160.542861                   -44.705                    90.682
1160.551710                   -44.729                    90.748
1160.560543                   -44.752                    90.814
1160.569359                   -44.776                    90.881
1160.578160                   -44.799                    90.947
1160.586945                   -44.823                    91.013
1160.595713                   -44.847                    91.080
1160.604465                   -44.870                    91.146
1160.613201                   -44.893                    91.212
1160.621921                   -44.917                    91.279
1160.630625                   -44.940                    91.346
1160.639312                   -44.963                    91.412
1160.647982                   -44.987                    91.479
1160.656637                   -45.010                    91.546
1160.665275                   -45.033                    91.613
1160.673896                   -45.056                    91.679
1160.682501                   -45.079                    91.746
1160.691090                   -45.102                    91.813
1160.699662                   -45.125                    91.880
1160.708217                   -45.148                    91.948
1160.716756                   -45.171                    92.015
1160.725278                   -45.194                    92.082
1160.733784                   -45.216                    92.149
1160.742273                   -45.239                    92.217
1160.750745                   -45.262                    92.284
1160.759200                   -45.285                    92.351
1160.767639                   -45.307                    92.419
1160.776060                   -45.330                    92.486
1160.784465                   -45.352                    92.554
1160.792853                   -45.375                    92.622
1160.801224                   -45.397                    92.690
1160.809578                   -45.420                    92.757
1160.817915                   -45.442                    92.825
1160.826235                   -45.464                    92.893
1160.834538                   -45.486                    92.961
1160.842824                   -45.509                    93.029
1160.851093                   -45.531                    93.097
1160.859344                   -45.553                    93.165
1160.867579                   -45.575                    93.233
1160.875796                   -45.597                    93.302
1160.883996                   -45.619                    93.370
1160.892179                   -45.641                    93.438
1160.900345                   -45.663                    93.507
1160.908493                   -45.685                    93.575
1160.916623                   -45.706                    93.644
1160.924737                   -45.728                    93.712
1160.932833                   -45.750                    93.781
1160.940911                   -45.771                    93.850
1160.948973                   -45.793                    93.918
1160.957016                   -45.815                    93.987
1160.965042                   -45.836                    94.056
1160.973051                   -45.858                    94.125
1160.981042                   -45.879                    94.194
1160.989015                   -45.900                    94.263
1160.996970                   -45.922                    94.332
1161.004908                   -45.943                    94.401
1161.012829                   -45.964                    94.471
1161.020731                   -45.985                    94.540
1161.028616                   -46.006                    94.609
1161.036483                   -46.028                    94.678
1161.044332                   -46.049                    94.748
1161.052163                   -46.070                    94.817
1161.059976                   -46.091                    94.887
1161.067772                   -46.111                    94.956
1161.075549                   -46.132                    95.026
1161.083309                   -46.153                    95.096
1161.091050                   -46.174                    95.166
1161.098773                   -46.195                    95.235
1161.106479                   -46.215                    95.305
1161.114166                   -46.236                    95.375
1161.121835                   -46.256                    95.445
1161.129486                   -46.277                    95.515
1161.137119                   -46.297                    95.585
1161.144734                   -46.318                    95.655
1161.152330                   -46.338                    95.726
1161.159908                   -46.358                    95.796
1161.167468                   -46.379                    95.866
1161.175010                   -46.399                    95.937
1161.182533                   -46.419                    96.007
1161.190038                   -46.439                    96.078
1161.197524                   -46.459                    96.148
1161.204992                   -46.479                    96.219
1161.212441                   -46.499                    96.289
1161.219872                   -46.519                    96.360
1161.227285                   -46.539                    96.431
1161.234679                   -46.559                    96.502
1161.242054                   -46.579                    96.572
1161.249411                   -46.598                    96.643
1161.256749                   -46.618                    96.714
1161.264069                   -46.638                    96.785
1161.271370                   -46.657                    96.856
1161.278652                   -46.677                    96.928
1161.285915                   -46.696                    96.999
1161.293160                   -46.716                    97.070
1161.300386                   -46.735                    97.141
1161.307593                   -46.755                    97.213
1161.314781                   -46.774                    97.284
1161.321950                   -46.793                    97.355
1161.329101                   -46.812                    97.427
1161.336232                   -46.831                    97.498
1161.343345                   -46.851                    97.570
1161.350438                   -46.870                    97.642
1161.357513                   -46.889                    97.714
1161.364569                   -46.907                    97.785
1161.371605                   -46.926                    97.857
1161.378623                   -46.945                    97.929
1161.385621                   -46.964                    98.001
1161.392600                   -46.983                    98.073
1161.399560                   -47.001                    98.145
1161.406501                   -47.020                    98.217
1161.413423                   -47.039                    98.289
1161.420325                   -47.057                    98.361
1161.427208                   -47.076                    98.434
1161.434072                   -47.094                    98.506
1161.440917                   -47.112                    98.578
1161.447742                   -47.131                    98.651
1161.454548                   -47.149                    98.723
1161.461334                   -47.167                    98.796
1161.468101                   -47.185                    98.868
1161.474849                   -47.204                    98.941
1161.481577                   -47.222                    99.014
1161.488286                   -47.240                    99.086
1161.494975                   -47.258                    99.159
1161.501645                   -47.276                    99.232
1161.508295                   -47.293                    99.305
1161.514925                   -47.311                    99.378
1161.521536                   -47.329                    99.451
1161.528127                   -47.347                    99.524
1161.534699                   -47.364                    99.597
1161.541251                   -47.382                    99.670
1161.547783                   -47.399                    99.743
1161.554296                   -47.417                    99.816
1161.560788                   -47.434                    99.890
1161.567261                   -47.452                    99.963
1161.573714                   -47.469                    100.036
1161.580148                   -47.486                    100.110
1161.586561                   -47.504                    100.183
1161.592954                   -47.521                    100.257
1161.599328                   -47.538                    100.331
1161.605682                   -47.555                    100.404
1161.612016                   -47.572                    100.478
1161.618329                   -47.589                    100.552
1161.624623                   -47.606                    100.625
1161.630897                   -47.623                    100.699
1161.637151                   -47.640                    100.773
1161.643384                   -47.656                    100.847
1161.649598                   -47.673                    100.921
1161.655791                   -47.690                    100.995
1161.661965                   -47.706                    101.069
1161.668118                   -47.723                    101.143
1161.674251                   -47.739                    101.218
1161.680364                   -47.756                    101.292
1161.686456                   -47.772                    101.366
1161.692528                   -47.789                    101.441
1161.698580                   -47.805                    101.515
1161.704612                   -47.821                    101.589
