高度                               纬度                        经度
1150.041832                   -2.544                     -42.129
1150.040443                   -2.502                     -42.098
1150.039078                   -2.459                     -42.066
1150.037735                   -2.416                     -42.035
1150.036417                   -2.374                     -42.003
1150.035121                   -2.331                     -41.972
1150.033849                   -2.289                     -41.940
1150.032600                   -2.246                     -41.909
1150.031375                   -2.203                     -41.877
1150.030173                   -2.161                     -41.846
1150.028995                   -2.118                     -41.814
1150.027840                   -2.075                     -41.783
1150.026708                   -2.033                     -41.751
1150.025600                   -1.990                     -41.720
1150.024515                   -1.947                     -41.688
1150.023454                   -1.905                     -41.657
1150.022416                   -1.862                     -41.625
1150.021402                   -1.820                     -41.594
1150.020411                   -1.777                     -41.562
1150.019443                   -1.734                     -41.531
1150.018499                   -1.692                     -41.499
1150.017578                   -1.649                     -41.468
1150.016681                   -1.606                     -41.436
1150.015808                   -1.564                     -41.405
1150.014957                   -1.521                     -41.373
1150.014131                   -1.478                     -41.342
1150.013327                   -1.436                     -41.310
1150.012548                   -1.393                     -41.279
1150.011791                   -1.350                     -41.247
1150.011058                   -1.308                     -41.216
1150.010349                   -1.265                     -41.184
1150.009663                   -1.223                     -41.153
1150.009001                   -1.180                     -41.121
1150.008362                   -1.137                     -41.090
1150.007747                   -1.095                     -41.058
1150.007155                   -1.052                     -41.027
1150.006587                   -1.009                     -40.995
1150.006042                   -0.967                     -40.964
1150.005520                   -0.924                     -40.932
1150.005023                   -0.881                     -40.901
1150.004548                   -0.839                     -40.870
1150.004097                   -0.796                     -40.838
1150.003670                   -0.753                     -40.807
1150.003266                   -0.711                     -40.775
1150.002886                   -0.668                     -40.744
1150.002529                   -0.625                     -40.712
1150.002196                   -0.583                     -40.681
1150.001887                   -0.540                     -40.649
1150.001600                   -0.497                     -40.618
1150.001338                   -0.455                     -40.586
1150.001099                   -0.412                     -40.555
1150.000883                   -0.370                     -40.523
1150.000691                   -0.327                     -40.492
1150.000522                   -0.284                     -40.461
1150.000377                   -0.242                     -40.429
1150.000256                   -0.199                     -40.398
1150.000158                   -0.156                     -40.366
1150.000083                   -0.114                     -40.335
1150.000033                   -0.071                     -40.303
1150.000005                   -0.028                     -40.272
1150.000001                   0.014                      -40.240
1150.000021                   0.057                      -40.209
1150.000064                   0.100                      -40.177
1150.000131                   0.142                      -40.146
1150.000221                   0.185                      -40.114
1150.000335                   0.228                      -40.083
1150.000472                   0.270                      -40.052
1150.000633                   0.313                      -40.020
1150.000818                   0.356                      -39.989
1150.001026                   0.398                      -39.957
1150.001257                   0.441                      -39.926
1150.001512                   0.484                      -39.894
1150.001790                   0.526                      -39.863
1150.002092                   0.569                      -39.831
1150.002418                   0.612                      -39.800
1150.002767                   0.654                      -39.768
1150.003140                   0.697                      -39.737
1150.003536                   0.739                      -39.705
1150.003955                   0.782                      -39.674
1150.004398                   0.825                      -39.643
1150.004865                   0.867                      -39.611
1150.005355                   0.910                      -39.580
1150.005869                   0.953                      -39.548
1150.006406                   0.995                      -39.517
