高度                               纬度                        经度
1150.006481                   1.001                      -26.053
1150.005940                   0.958                      -26.021
1150.005422                   0.916                      -25.990
1150.004928                   0.873                      -25.959
1150.004458                   0.830                      -25.927
1150.004011                   0.788                      -25.896
1150.003588                   0.745                      -25.864
1150.003188                   0.702                      -25.833
1150.002812                   0.659                      -25.802
1150.002459                   0.617                      -25.770
1150.002130                   0.574                      -25.739
1150.001825                   0.531                      -25.708
1150.001543                   0.489                      -25.676
1150.001285                   0.446                      -25.645
1150.001051                   0.403                      -25.613
1150.000840                   0.360                      -25.582
1150.000652                   0.318                      -25.551
1150.000489                   0.275                      -25.519
1150.000349                   0.232                      -25.488
1150.000232                   0.189                      -25.457
1150.000139                   0.147                      -25.425
1150.000070                   0.104                      -25.394
1150.000024                   0.061                      -25.362
1150.000002                   0.019                      -25.331
1150.000004                   -0.024                     -25.300
1150.000029                   -0.067                     -25.268
1150.000078                   -0.110                     -25.237
1150.000150                   -0.152                     -25.206
1150.000246                   -0.195                     -25.174
1150.000366                   -0.238                     -25.143
1150.000509                   -0.281                     -25.111
1150.000676                   -0.323                     -25.080
1150.000866                   -0.366                     -25.049
1150.001080                   -0.409                     -25.017
1150.001318                   -0.451                     -24.986
1150.001579                   -0.494                     -24.955
1150.001864                   -0.537                     -24.923
1150.002172                   -0.580                     -24.892
1150.002504                   -0.622                     -24.860
1150.002860                   -0.665                     -24.829
1150.003239                   -0.708                     -24.798
1150.003642                   -0.750                     -24.766
1150.004068                   -0.793                     -24.735
1150.004518                   -0.836                     -24.704
1150.004992                   -0.879                     -24.672
1150.005489                   -0.921                     -24.641
1150.006010                   -0.964                     -24.609
1150.006554                   -1.007                     -24.578
1150.007122                   -1.050                     -24.547
1150.007713                   -1.092                     -24.515
1150.008328                   -1.135                     -24.484
1150.008967                   -1.178                     -24.452
1150.009629                   -1.220                     -24.421
1150.010315                   -1.263                     -24.390
1150.011024                   -1.306                     -24.358
1150.011757                   -1.349                     -24.327
1150.012514                   -1.391                     -24.295
1150.013294                   -1.434                     -24.264
1150.014097                   -1.477                     -24.233
1150.014925                   -1.519                     -24.201
1150.015775                   -1.562                     -24.170
1150.016650                   -1.605                     -24.138
1150.017547                   -1.648                     -24.107
1150.018469                   -1.690                     -24.076
1150.019414                   -1.733                     -24.044
1150.020382                   -1.776                     -24.013
1150.021374                   -1.818                     -23.981
1150.022390                   -1.861                     -23.950
1150.023429                   -1.904                     -23.919
1150.024491                   -1.947                     -23.887
1150.025577                   -1.989                     -23.856
1150.026687                   -2.032                     -23.824
1150.027820                   -2.075                     -23.793
1150.028976                   -2.117                     -23.762
1150.030156                   -2.160                     -23.730
1150.031360                   -2.203                     -23.699
1150.032587                   -2.245                     -23.667
1150.033837                   -2.288                     -23.636
1150.035111                   -2.331                     -23.604
1150.036409                   -2.374                     -23.573
1150.037730                   -2.416                     -23.542
1150.039074                   -2.459                     -23.510
1150.040442                   -2.502                     -23.479
1150.041834                   -2.544                     -23.447
1150.043248                   -2.587                     -23.416
1150.044687                   -2.630                     -23.384
1150.046148                   -2.672                     -23.353
1150.047633                   -2.715                     -23.321
1150.049142                   -2.758                     -23.290
1150.050674                   -2.800                     -23.259
1150.052229                   -2.843                     -23.227
1150.053808                   -2.886                     -23.196
1150.055410                   -2.929                     -23.164
1150.057036                   -2.971                     -23.133
1150.058685                   -3.014                     -23.101
1150.060357                   -3.057                     -23.070
1150.062053                   -3.099                     -23.038
1150.063772                   -3.142                     -23.007
1150.065514                   -3.185                     -22.975
1150.067280                   -3.227                     -22.944
1150.069069                   -3.270                     -22.912
1150.070882                   -3.313                     -22.881
1150.072718                   -3.355                     -22.849
1150.074577                   -3.398                     -22.818
1150.076460                   -3.441                     -22.786
1150.078365                   -3.483                     -22.755
1150.080295                   -3.526                     -22.723
1150.082247                   -3.569                     -22.692
1150.084223                   -3.611                     -22.660
1150.086222                   -3.654                     -22.629
1150.088244                   -3.697                     -22.597
1150.090290                   -3.739                     -22.566
1150.092359                   -3.782                     -22.534
1150.094451                   -3.825                     -22.503
1150.096566                   -3.867                     -22.471
1150.098705                   -3.910                     -22.440
1150.100867                   -3.953                     -22.408
1150.103052                   -3.995                     -22.377
1150.105260                   -4.038                     -22.345
1150.107492                   -4.081                     -22.313
1150.109746                   -4.123                     -22.282
1150.112024                   -4.166                     -22.250
1150.114326                   -4.208                     -22.219
1150.116650                   -4.251                     -22.187
1150.118997                   -4.294                     -22.156
1150.121368                   -4.336                     -22.124
1150.123762                   -4.379                     -22.092
1150.126179                   -4.422                     -22.061
1150.128619                   -4.464                     -22.029
1150.131082                   -4.507                     -21.998
1150.133568                   -4.550                     -21.966
1150.136077                   -4.592                     -21.935
1150.138610                   -4.635                     -21.903
1150.141165                   -4.677                     -21.871
1150.143744                   -4.720                     -21.840
1150.146346                   -4.763                     -21.808
1150.148971                   -4.805                     -21.776
1150.151618                   -4.848                     -21.745
1150.154289                   -4.891                     -21.713
1150.156983                   -4.933                     -21.682
1150.159700                   -4.976                     -21.650
1150.162440                   -5.018                     -21.618
1150.165203                   -5.061                     -21.587
1150.167989                   -5.104                     -21.555
1150.170797                   -5.146                     -21.523
1150.173629                   -5.189                     -21.492
1150.176484                   -5.231                     -21.460
1150.179362                   -5.274                     -21.428
1150.182262                   -5.317                     -21.397
1150.185186                   -5.359                     -21.365
1150.188132                   -5.402                     -21.333
1150.191102                   -5.444                     -21.302
1150.194094                   -5.487                     -21.270
1150.197109                   -5.529                     -21.238
1150.200147                   -5.572                     -21.206
1150.203208                   -5.615                     -21.175
1150.206292                   -5.657                     -21.143
1150.209398                   -5.700                     -21.111
1150.212527                   -5.742                     -21.080
1150.215680                   -5.785                     -21.048
1150.218855                   -5.827                     -21.016
1150.222052                   -5.870                     -20.984
1150.225273                   -5.913                     -20.953
1150.228516                   -5.955                     -20.921
1150.231782                   -5.998                     -20.889
1150.235071                   -6.040                     -20.857
1150.238382                   -6.083                     -20.826
1150.241716                   -6.125                     -20.794
1150.245073                   -6.168                     -20.762
1150.248453                   -6.210                     -20.730
