高度                               纬度                        经度
1153.196742                   22.821                     100.342
1153.207374                   22.861                     100.379
1153.218018                   22.901                     100.417
1153.228673                   22.941                     100.454
1153.239340                   22.981                     100.492
1153.250018                   23.021                     100.530
1153.260708                   23.061                     100.567
1153.271409                   23.101                     100.605
1153.282121                   23.141                     100.643
1153.292845                   23.180                     100.680
1153.303580                   23.220                     100.718
1153.314326                   23.260                     100.756
1153.325084                   23.300                     100.794
1153.335853                   23.340                     100.832
1153.346633                   23.380                     100.869
1153.357423                   23.420                     100.907
1153.368225                   23.460                     100.945
1153.379038                   23.499                     100.983
1153.389862                   23.539                     101.021
1153.400697                   23.579                     101.059
1153.411543                   23.619                     101.097
1153.422400                   23.659                     101.135
1153.433267                   23.699                     101.173
1153.444145                   23.738                     101.211
1153.455034                   23.778                     101.249
1153.465934                   23.818                     101.287
1153.476844                   23.858                     101.326
1153.487765                   23.897                     101.364
1153.498696                   23.937                     101.402
1153.509638                   23.977                     101.440
1153.520590                   24.016                     101.478
1153.531553                   24.056                     101.517
1153.542526                   24.096                     101.555
1153.553510                   24.135                     101.593
1153.564504                   24.175                     101.632
1153.575508                   24.215                     101.670
1153.586522                   24.254                     101.708
1153.597547                   24.294                     101.747
1153.608582                   24.333                     101.785
1153.619626                   24.373                     101.824
1153.630681                   24.413                     101.862
1153.641746                   24.452                     101.901
1153.652821                   24.492                     101.939
1153.663906                   24.531                     101.978
1153.675000                   24.571                     102.017
1153.686105                   24.610                     102.055
1153.697219                   24.650                     102.094
1153.708343                   24.689                     102.133
1153.719477                   24.729                     102.171
1153.730621                   24.768                     102.210
1153.741774                   24.808                     102.249
1153.752937                   24.847                     102.288
1153.764109                   24.886                     102.327
1153.775291                   24.926                     102.366
1153.786482                   24.965                     102.404
1153.797683                   25.005                     102.443
1153.808893                   25.044                     102.482
1153.820113                   25.083                     102.521
1153.831342                   25.123                     102.560
1153.842580                   25.162                     102.599
1153.853827                   25.201                     102.638
1153.865084                   25.241                     102.677
1153.876350                   25.280                     102.717
1153.887624                   25.319                     102.756
1153.898908                   25.358                     102.795
1153.910201                   25.398                     102.834
1153.921503                   25.437                     102.873
1153.932814                   25.476                     102.913
1153.944133                   25.515                     102.952
1153.955462                   25.555                     102.991
1153.966799                   25.594                     103.031
1153.978145                   25.633                     103.070
1153.989500                   25.672                     103.109
1154.000863                   25.711                     103.149
1154.012235                   25.750                     103.188
1154.023616                   25.789                     103.228
1154.035005                   25.829                     103.267
1154.046403                   25.868                     103.307
1154.057809                   25.907                     103.346
1154.069224                   25.946                     103.386
1154.080647                   25.985                     103.425
1154.092078                   26.024                     103.465
1154.103517                   26.063                     103.505
1154.114965                   26.102                     103.545
1154.126421                   26.141                     103.584
1154.137886                   26.180                     103.624
1154.149358                   26.219                     103.664
1154.160838                   26.258                     103.704
1154.172327                   26.297                     103.744
1154.183823                   26.336                     103.783
1154.195327                   26.375                     103.823
1154.206840                   26.414                     103.863
1154.218360                   26.452                     103.903
1154.229888                   26.491                     103.943
1154.241423                   26.530                     103.983
1154.252967                   26.569                     104.023
1154.264518                   26.608                     104.063
1154.276077                   26.647                     104.104
1154.287643                   26.685                     104.144
1154.299217                   26.724                     104.184
1154.310799                   26.763                     104.224
1154.322387                   26.802                     104.264
1154.333984                   26.841                     104.305
1154.345587                   26.879                     104.345
1154.357199                   26.918                     104.385
1154.368817                   26.957                     104.426
1154.380442                   26.995                     104.466
1154.392075                   27.034                     104.506
1154.403715                   27.073                     104.547
1154.415362                   27.111                     104.587
1154.427016                   27.150                     104.628
1154.438678                   27.189                     104.668
1154.450346                   27.227                     104.709
1154.462021                   27.266                     104.750
1154.473703                   27.304                     104.790
1154.485392                   27.343                     104.831
1154.497088                   27.382                     104.872
1154.508790                   27.420                     104.912
1154.520499                   27.459                     104.953
1154.532215                   27.497                     104.994
1154.543938                   27.536                     105.035
1154.555667                   27.574                     105.076
1154.567403                   27.612                     105.117
1154.579145                   27.651                     105.157
1154.590893                   27.689                     105.198
1154.602648                   27.728                     105.239
1154.614410                   27.766                     105.280
1154.626178                   27.805                     105.321
1154.637952                   27.843                     105.362
1154.649732                   27.881                     105.404
1154.661518                   27.920                     105.445
1154.673311                   27.958                     105.486
1154.685110                   27.996                     105.527
1154.696915                   28.035                     105.568
1154.708726                   28.073                     105.610
1154.720542                   28.111                     105.651
1154.732365                   28.149                     105.692
1154.744194                   28.188                     105.734
1154.756028                   28.226                     105.775
1154.767869                   28.264                     105.816
1154.779715                   28.302                     105.858
1154.791566                   28.340                     105.899
1154.803424                   28.379                     105.941
1154.815287                   28.417                     105.983
1154.827155                   28.455                     106.024
1154.839030                   28.493                     106.066
1154.850909                   28.531                     106.107
1154.862794                   28.569                     106.149
1154.874685                   28.607                     106.191
1154.886581                   28.645                     106.233
1154.898482                   28.683                     106.274
1154.910388                   28.721                     106.316
1154.922300                   28.759                     106.358
1154.934217                   28.797                     106.400
1154.946138                   28.835                     106.442
1154.958066                   28.873                     106.484
1154.969998                   28.911                     106.526
1154.981935                   28.949                     106.568
1154.993877                   28.987                     106.610
1155.005824                   29.025                     106.652
1155.017775                   29.063                     106.694
1155.029732                   29.101                     106.736
1155.041693                   29.138                     106.778
1155.053659                   29.176                     106.821
1155.065630                   29.214                     106.863
1155.077606                   29.252                     106.905
1155.089586                   29.290                     106.948
1155.101570                   29.327                     106.990
1155.113559                   29.365                     107.032
1155.125553                   29.403                     107.075
1155.137551                   29.440                     107.117
1155.149553                   29.478                     107.160
1155.161560                   29.516                     107.202
1155.173571                   29.553                     107.245
1155.185586                   29.591                     107.287
1155.197605                   29.629                     107.330
1155.209629                   29.666                     107.373
1155.221656                   29.704                     107.415
1155.233688                   29.742                     107.458
1155.245724                   29.779                     107.501
1155.257763                   29.817                     107.544
1155.269807                   29.854                     107.587
1155.281854                   29.892                     107.630
1155.293905                   29.929                     107.672
1155.305961                   29.967                     107.715
1155.318019                   30.004                     107.758
1155.330082                   30.042                     107.801
1155.342148                   30.079                     107.844
1155.354218                   30.116                     107.888
1155.366291                   30.154                     107.931
1155.378368                   30.191                     107.974
1155.390448                   30.228                     108.017
1155.402532                   30.266                     108.060
1155.414619                   30.303                     108.104
1155.426709                   30.340                     108.147
1155.438803                   30.378                     108.190
1155.450899                   30.415                     108.234
1155.463000                   30.452                     108.277
1155.475103                   30.489                     108.320
1155.487209                   30.527                     108.364
1155.499319                   30.564                     108.407
1155.511431                   30.601                     108.451
1155.523546                   30.638                     108.495
1155.535665                   30.675                     108.538
1155.547786                   30.712                     108.582
1155.559910                   30.750                     108.626
1155.572037                   30.787                     108.669
1155.584166                   30.824                     108.713
