高度                               纬度                        经度
1151.713979                   16.503                     140.683
1151.705641                   16.462                     140.717
1151.697320                   16.421                     140.752
1151.689016                   16.379                     140.786
1151.680729                   16.338                     140.821
1151.672459                   16.296                     140.855
1151.664206                   16.255                     140.889
1151.655971                   16.214                     140.924
1151.647753                   16.172                     140.958
1151.639553                   16.131                     140.993
1151.631369                   16.090                     141.027
1151.623204                   16.048                     141.061
1151.615055                   16.007                     141.096
1151.606924                   15.965                     141.130
1151.598811                   15.924                     141.164
1151.590715                   15.883                     141.199
1151.582637                   15.841                     141.233
1151.574576                   15.800                     141.267
1151.566533                   15.758                     141.301
1151.558508                   15.717                     141.336
1151.550500                   15.676                     141.370
1151.542510                   15.634                     141.404
1151.534538                   15.593                     141.438
1151.526584                   15.551                     141.472
1151.518647                   15.510                     141.507
1151.510728                   15.468                     141.541
1151.502827                   15.427                     141.575
1151.494944                   15.385                     141.609
1151.487079                   15.344                     141.643
1151.479232                   15.302                     141.677
1151.471402                   15.261                     141.711
1151.463591                   15.219                     141.745
1151.455798                   15.178                     141.779
1151.448023                   15.136                     141.813
1151.440266                   15.095                     141.847
1151.432527                   15.053                     141.881
1151.424806                   15.011                     141.915
1151.417104                   14.970                     141.949
1151.409419                   14.928                     141.983
1151.401753                   14.887                     142.017
1151.394106                   14.845                     142.051
1151.386476                   14.804                     142.085
1151.378865                   14.762                     142.119
1151.371272                   14.720                     142.153
1151.363698                   14.679                     142.187
1151.356142                   14.637                     142.220
1151.348604                   14.595                     142.254
1151.341085                   14.554                     142.288
1151.333585                   14.512                     142.322
1151.326103                   14.471                     142.356
1151.318639                   14.429                     142.389
1151.311194                   14.387                     142.423
1151.303768                   14.346                     142.457
1151.296360                   14.304                     142.491
1151.288971                   14.262                     142.524
1151.281601                   14.221                     142.558
1151.274249                   14.179                     142.592
1151.266917                   14.137                     142.626
1151.259603                   14.096                     142.659
1151.252307                   14.054                     142.693
1151.245031                   14.012                     142.726
1151.237773                   13.970                     142.760
1151.230535                   13.929                     142.794
1151.223315                   13.887                     142.827
1151.216114                   13.845                     142.861
1151.208933                   13.804                     142.894
1151.201770                   13.762                     142.928
1151.194626                   13.720                     142.962
1151.187501                   13.678                     142.995
1151.180396                   13.637                     143.029
1151.173309                   13.595                     143.062
1151.166242                   13.553                     143.096
1151.159194                   13.511                     143.129
1151.152165                   13.469                     143.162
1151.145155                   13.428                     143.196
1151.138164                   13.386                     143.229
1151.131193                   13.344                     143.263
1151.124241                   13.302                     143.296
1151.117308                   13.260                     143.330
1151.110395                   13.219                     143.363
1151.103501                   13.177                     143.396
1151.096626                   13.135                     143.430
1151.089771                   13.093                     143.463
1151.082935                   13.051                     143.496
1151.076119                   13.009                     143.530
1151.069322                   12.968                     143.563
1151.062545                   12.926                     143.596
1151.055787                   12.884                     143.630
1151.049049                   12.842                     143.663
1151.042331                   12.800                     143.696
1151.035632                   12.758                     143.729
1151.028953                   12.716                     143.763
1151.022293                   12.674                     143.796
1151.015653                   12.633                     143.829
1151.009033                   12.591                     143.862
1151.002433                   12.549                     143.895
1150.995852                   12.507                     143.929
1150.989291                   12.465                     143.962
1150.982750                   12.423                     143.995
1150.976229                   12.381                     144.028
1150.969728                   12.339                     144.061
1150.963247                   12.297                     144.094
1150.956785                   12.255                     144.127
1150.950344                   12.213                     144.160
1150.943922                   12.171                     144.194
1150.937521                   12.129                     144.227
1150.931139                   12.087                     144.260
1150.924778                   12.045                     144.293
1150.918437                   12.003                     144.326
1150.912115                   11.962                     144.359
1150.905814                   11.920                     144.392
1150.899533                   11.878                     144.425
1150.893272                   11.836                     144.458
1150.887032                   11.794                     144.491
1150.880811                   11.752                     144.524
1150.874611                   11.710                     144.557
1150.868431                   11.668                     144.590
1150.862271                   11.626                     144.623
1150.856132                   11.583                     144.655
1150.850013                   11.541                     144.688
1150.843914                   11.499                     144.721
1150.837836                   11.457                     144.754
1150.831778                   11.415                     144.787
1150.825741                   11.373                     144.820
1150.819724                   11.331                     144.853
1150.813727                   11.289                     144.886
1150.807751                   11.247                     144.918
1150.801795                   11.205                     144.951
1150.795860                   11.163                     144.984
1150.789946                   11.121                     145.017
1150.784052                   11.079                     145.050
1150.778178                   11.037                     145.082
1150.772326                   10.995                     145.115
1150.766494                   10.953                     145.148
1150.760682                   10.910                     145.181
1150.754892                   10.868                     145.213
1150.749122                   10.826                     145.246
1150.743372                   10.784                     145.279
1150.737644                   10.742                     145.312
1150.731936                   10.700                     145.344
1150.726249                   10.658                     145.377
1150.720583                   10.616                     145.410
1150.714938                   10.574                     145.442
1150.709313                   10.531                     145.475
1150.703710                   10.489                     145.508
1150.698127                   10.447                     145.540
1150.692565                   10.405                     145.573
1150.687024                   10.363                     145.606
1150.681505                   10.321                     145.638
1150.676006                   10.278                     145.671
1150.670528                   10.236                     145.703
1150.665071                   10.194                     145.736
1150.659635                   10.152                     145.768
1150.654221                   10.110                     145.801
1150.648827                   10.068                     145.834
1150.643454                   10.025                     145.866
1150.638103                   9.983                      145.899
1150.632773                   9.941                      145.931
1150.627464                   9.899                      145.964
1150.622176                   9.857                      145.996
1150.616909                   9.814                      146.029
1150.611664                   9.772                      146.061
1150.606440                   9.730                      146.094
1150.601237                   9.688                      146.126
1150.596055                   9.645                      146.159
1150.590895                   9.603                      146.191
1150.585756                   9.561                      146.223
1150.580638                   9.519                      146.256
1150.575542                   9.476                      146.288
1150.570467                   9.434                      146.321
1150.565414                   9.392                      146.353
1150.560381                   9.350                      146.385
1150.555371                   9.307                      146.418
1150.550382                   9.265                      146.450
1150.545414                   9.223                      146.483
1150.540468                   9.181                      146.515
1150.535543                   9.138                      146.547
1150.530640                   9.096                      146.580
1150.525758                   9.054                      146.612
1150.520898                   9.012                      146.644
1150.516060                   8.969                      146.677
