高度                               纬度                        经度
1158.532609                   -39.277                    -12.360
1158.544009                   -39.308                    -12.305
1158.555401                   -39.339                    -12.250
1158.566784                   -39.370                    -12.195
1158.578159                   -39.401                    -12.140
1158.589525                   -39.432                    -12.085
1158.600883                   -39.463                    -12.030
1158.612232                   -39.494                    -11.975
1158.623573                   -39.525                    -11.919
1158.634905                   -39.556                    -11.864
1158.646228                   -39.587                    -11.809
1158.657542                   -39.618                    -11.753
1158.668847                   -39.649                    -11.698
1158.680144                   -39.680                    -11.642
1158.691432                   -39.711                    -11.587
1158.702710                   -39.742                    -11.531
1158.713980                   -39.772                    -11.476
1158.725241                   -39.803                    -11.420
1158.736492                   -39.834                    -11.364
1158.747735                   -39.864                    -11.308
1158.758968                   -39.895                    -11.253
1158.770192                   -39.926                    -11.197
1158.781407                   -39.956                    -11.141
1158.792613                   -39.987                    -11.085
1158.803809                   -40.017                    -11.029
1158.814996                   -40.048                    -10.972
1158.826174                   -40.078                    -10.916
1158.837342                   -40.109                    -10.860
1158.848500                   -40.139                    -10.804
1158.859649                   -40.169                    -10.747
1158.870789                   -40.200                    -10.691
1158.881919                   -40.230                    -10.635
1158.893039                   -40.260                    -10.578
1158.904149                   -40.290                    -10.521
1158.915250                   -40.320                    -10.465
1158.926341                   -40.351                    -10.408
1158.937422                   -40.381                    -10.351
1158.948493                   -40.411                    -10.295
1158.959554                   -40.441                    -10.238
1158.970606                   -40.471                    -10.181
1158.981647                   -40.501                    -10.124
1158.992679                   -40.531                    -10.067
1159.003700                   -40.561                    -10.010
1159.014711                   -40.591                    -9.953
1159.025712                   -40.621                    -9.896
1159.036703                   -40.650                    -9.839
1159.047683                   -40.680                    -9.781
1159.058654                   -40.710                    -9.724
1159.069614                   -40.740                    -9.667
1159.080563                   -40.769                    -9.609
1159.091502                   -40.799                    -9.552
1159.102431                   -40.829                    -9.494
1159.113349                   -40.858                    -9.437
1159.124257                   -40.888                    -9.379
1159.135154                   -40.917                    -9.321
1159.146041                   -40.947                    -9.263
