高度                               纬度                        经度
1162.393655                   -49.682                    100.037
1162.396291                   -49.689                    100.117
1162.398904                   -49.696                    100.198
1162.401494                   -49.703                    100.278
1162.404061                   -49.710                    100.359
1162.406605                   -49.717                    100.439
1162.409127                   -49.724                    100.520
1162.411625                   -49.731                    100.600
1162.414101                   -49.737                    100.681
1162.416553                   -49.744                    100.762
1162.418983                   -49.751                    100.842
1162.421389                   -49.757                    100.923
1162.423773                   -49.764                    101.004
1162.426134                   -49.770                    101.084
1162.428472                   -49.776                    101.165
1162.430786                   -49.783                    101.246
1162.433078                   -49.789                    101.327
1162.435347                   -49.795                    101.408
1162.437593                   -49.801                    101.488
1162.439816                   -49.807                    101.569
1162.442015                   -49.813                    101.650
1162.444192                   -49.819                    101.731
1162.446346                   -49.825                    101.812
1162.448476                   -49.831                    101.893
1162.450584                   -49.836                    101.974
1162.452668                   -49.842                    102.055
1162.454730                   -49.848                    102.136
1162.456768                   -49.853                    102.217
1162.458783                   -49.859                    102.298
1162.460775                   -49.864                    102.379
1162.462744                   -49.869                    102.460
1162.464690                   -49.875                    102.541
1162.466613                   -49.880                    102.622
1162.468512                   -49.885                    102.703
1162.470389                   -49.890                    102.785
1162.472242                   -49.895                    102.866
1162.474072                   -49.900                    102.947
1162.475879                   -49.905                    103.028
1162.477663                   -49.910                    103.109
1162.479424                   -49.915                    103.191
1162.481161                   -49.919                    103.272
1162.482876                   -49.924                    103.353
1162.484567                   -49.929                    103.434
1162.486235                   -49.933                    103.516
1162.487879                   -49.938                    103.597
1162.489501                   -49.942                    103.678
1162.491099                   -49.946                    103.760
1162.492674                   -49.951                    103.841
1162.494226                   -49.955                    103.922
1162.495755                   -49.959                    104.004
1162.497260                   -49.963                    104.085
1162.498742                   -49.967                    104.167
1162.500201                   -49.971                    104.248
1162.501637                   -49.975                    104.330
1162.503049                   -49.979                    104.411
1162.504438                   -49.983                    104.493
1162.505804                   -49.986                    104.574
1162.507147                   -49.990                    104.656
1162.508466                   -49.993                    104.737
1162.509762                   -49.997                    104.819
1162.511035                   -50.000                    104.900
1162.512284                   -50.004                    104.982
1162.513510                   -50.007                    105.063
1162.514713                   -50.010                    105.145
1162.515893                   -50.014                    105.226
1162.517049                   -50.017                    105.308
1162.518182                   -50.020                    105.390
1162.519291                   -50.023                    105.471
1162.520377                   -50.026                    105.553
1162.521440                   -50.029                    105.635
1162.522480                   -50.032                    105.716
1162.523496                   -50.034                    105.798
1162.524489                   -50.037                    105.880
1162.525458                   -50.040                    105.961
1162.526405                   -50.042                    106.043
1162.527327                   -50.045                    106.125
1162.528227                   -50.047                    106.206
1162.529103                   -50.050                    106.288
1162.529956                   -50.052                    106.370
1162.530785                   -50.054                    106.452
1162.531591                   -50.056                    106.533
1162.532374                   -50.058                    106.615
1162.533133                   -50.061                    106.697
1162.533869                   -50.063                    106.779
1162.534581                   -50.064                    106.860
1162.535270                   -50.066                    106.942
1162.535936                   -50.068                    107.024
1162.536579                   -50.070                    107.106
1162.537198                   -50.072                    107.188
1162.537793                   -50.073                    107.269
1162.538365                   -50.075                    107.351
1162.538914                   -50.076                    107.433
1162.539439                   -50.078                    107.515
1162.539941                   -50.079                    107.597
1162.540420                   -50.080                    107.679
1162.540875                   -50.082                    107.760
1162.541307                   -50.083                    107.842
1162.541715                   -50.084                    107.924
1162.542100                   -50.085                    108.006
1162.542462                   -50.086                    108.088
1162.542800                   -50.087                    108.170
1162.543115                   -50.088                    108.252
1162.543406                   -50.088                    108.333
1162.543674                   -50.089                    108.415
1162.543918                   -50.090                    108.497
1162.544139                   -50.090                    108.579
1162.544337                   -50.091                    108.661
1162.544511                   -50.091                    108.743
1162.544662                   -50.092                    108.825
1162.544789                   -50.092                    108.907
1162.544893                   -50.092                    108.988
1162.544974                   -50.093                    109.070
1162.545031                   -50.093                    109.152
1162.545064                   -50.093                    109.234
1162.545075                   -50.093                    109.316
1162.545062                   -50.093                    109.398
1162.545025                   -50.093                    109.480
1162.544965                   -50.093                    109.562
1162.544882                   -50.092                    109.643
1162.544775                   -50.092                    109.725
1162.544644                   -50.092                    109.807
1162.544491                   -50.091                    109.889
1162.544314                   -50.091                    109.971
1162.544113                   -50.090                    110.053
1162.543889                   -50.090                    110.135
1162.543642                   -50.089                    110.217
1162.543371                   -50.088                    110.298
1162.543077                   -50.088                    110.380
1162.542759                   -50.087                    110.462
1162.542418                   -50.086                    110.544
1162.542054                   -50.085                    110.626
1162.541666                   -50.084                    110.708
1162.541255                   -50.083                    110.790
1162.540820                   -50.081                    110.871
1162.540362                   -50.080                    110.953
1162.539880                   -50.079                    111.035
1162.539375                   -50.077                    111.117
1162.538847                   -50.076                    111.199
1162.538295                   -50.075                    111.281
1162.537720                   -50.073                    111.362
1162.537122                   -50.071                    111.444
1162.536500                   -50.070                    111.526
1162.535855                   -50.068                    111.608
1162.535186                   -50.066                    111.690
1162.534494                   -50.064                    111.771
1162.533779                   -50.062                    111.853
1162.533040                   -50.060                    111.935
1162.532278                   -50.058                    112.017
1162.531492                   -50.056                    112.098
1162.530683                   -50.054                    112.180
1162.529851                   -50.052                    112.262
1162.528995                   -50.049                    112.344
1162.528116                   -50.047                    112.425
1162.527214                   -50.044                    112.507
1162.526288                   -50.042                    112.589
1162.525339                   -50.039                    112.671
1162.524367                   -50.037                    112.752
1162.523371                   -50.034                    112.834
1162.522352                   -50.031                    112.916
1162.521309                   -50.028                    112.997
1162.520244                   -50.025                    113.079
1162.519155                   -50.023                    113.160
1162.518042                   -50.020                    113.242
1162.516906                   -50.016                    113.324
1162.515747                   -50.013                    113.405
1162.514565                   -50.010                    113.487
1162.513359                   -50.007                    113.569
1162.512130                   -50.003                    113.650
1162.510878                   -50.000                    113.732
1162.509602                   -49.997                    113.813
1162.508303                   -49.993                    113.895
1162.506981                   -49.989                    113.976
1162.505636                   -49.986                    114.058
1162.504267                   -49.982                    114.139
1162.502875                   -49.978                    114.221
1162.501460                   -49.974                    114.302
1162.500021                   -49.971                    114.384
1162.498560                   -49.967                    114.465
1162.497075                   -49.963                    114.547
1162.495566                   -49.958                    114.628
1162.494035                   -49.954                    114.709
1162.492480                   -49.950                    114.791
1162.490902                   -49.946                    114.872
1162.489301                   -49.941                    114.953
1162.487676                   -49.937                    115.035
1162.486029                   -49.933                    115.116
1162.484358                   -49.928                    115.197
1162.482664                   -49.923                    115.279
1162.480947                   -49.919                    115.360
1162.479206                   -49.914                    115.441
1162.477443                   -49.909                    115.522
1162.475656                   -49.904                    115.604
1162.473846                   -49.899                    115.685
1162.472013                   -49.894                    115.766
1162.470157                   -49.889                    115.847
1162.468278                   -49.884                    115.928
1162.466375                   -49.879                    116.010
1162.464450                   -49.874                    116.091
1162.462501                   -49.869                    116.172
1162.460529                   -49.863                    116.253
1162.458534                   -49.858                    116.334
1162.456516                   -49.852                    116.415
1162.454475                   -49.847                    116.496
1162.452411                   -49.841                    116.577
1162.450323                   -49.836                    116.658
1162.448213                   -49.830                    116.739
1162.446079                   -49.824                    116.820
1162.443923                   -49.818                    116.901
1162.441743                   -49.812                    116.982
1162.439541                   -49.806                    117.063
1162.437315                   -49.800                    117.143
1162.435067                   -49.794                    117.224
1162.432795                   -49.788                    117.305
1162.430500                   -49.782                    117.386
1162.428183                   -49.775                    117.467
1162.425842                   -49.769                    117.547
1162.423478                   -49.763                    117.628
1162.421092                   -49.756                    117.709
1162.418682                   -49.750                    117.789
1162.416250                   -49.743                    117.870
1162.413794                   -49.736                    117.951
1162.411316                   -49.730                    118.031
1162.408815                   -49.723                    118.112
1162.406291                   -49.716                    118.193
1162.403743                   -49.709                    118.273
1162.401173                   -49.702                    118.354
1162.398580                   -49.695                    118.434
1162.395965                   -49.688                    118.515
1162.393326                   -49.681                    118.595
1162.390665                   -49.674                    118.675
1162.387980                   -49.666                    118.756
1162.385273                   -49.659                    118.836
1162.382543                   -49.652                    118.917
1162.379790                   -49.644                    118.997
1162.377014                   -49.637                    119.077
1162.374216                   -49.629                    119.157
1162.371395                   -49.621                    119.238
1162.368551                   -49.614                    119.318
1162.365684                   -49.606                    119.398
1162.362795                   -49.598                    119.478
1162.359882                   -49.590                    119.558
1162.356947                   -49.582                    119.638
1162.353990                   -49.574                    119.719
1162.351009                   -49.566                    119.799
1162.348006                   -49.558                    119.879
1162.344980                   -49.550                    119.959
1162.341932                   -49.542                    120.039
1162.338860                   -49.533                    120.118
1162.335767                   -49.525                    120.198
1162.332650                   -49.516                    120.278
1162.329511                   -49.508                    120.358
1162.326349                   -49.499                    120.438
1162.323165                   -49.491                    120.518
1162.319958                   -49.482                    120.598
1162.316729                   -49.473                    120.677
1162.313476                   -49.464                    120.757
1162.310202                   -49.456                    120.837
1162.306905                   -49.447                    120.916
1162.303585                   -49.438                    120.996
1162.300243                   -49.429                    121.075
1162.296878                   -49.420                    121.155
1162.293491                   -49.410                    121.235
1162.290081                   -49.401                    121.314
1162.286649                   -49.392                    121.393
1162.283194                   -49.382                    121.473
1162.279717                   -49.373                    121.552
1162.276217                   -49.364                    121.632
1162.272695                   -49.354                    121.711
1162.269151                   -49.344                    121.790
1162.265584                   -49.335                    121.870
1162.261995                   -49.325                    121.949
1162.258383                   -49.315                    122.028
1162.254749                   -49.305                    122.107
1162.251093                   -49.296                    122.186
1162.247414                   -49.286                    122.265
1162.243713                   -49.276                    122.344
1162.239990                   -49.265                    122.423
1162.236245                   -49.255                    122.502
1162.232477                   -49.245                    122.581
1162.228687                   -49.235                    122.660
1162.224875                   -49.225                    122.739
1162.221040                   -49.214                    122.818
1162.217183                   -49.204                    122.897
1162.213305                   -49.193                    122.976
1162.209403                   -49.183                    123.055
1162.205480                   -49.172                    123.133
1162.201535                   -49.161                    123.212
1162.197567                   -49.151                    123.291
1162.193577                   -49.140                    123.369
1162.189566                   -49.129                    123.448
1162.185532                   -49.118                    123.526
1162.181476                   -49.107                    123.605
1162.177397                   -49.096                    123.683
1162.173297                   -49.085                    123.762
1162.169175                   -49.074                    123.840
1162.165031                   -49.063                    123.918
1162.160865                   -49.051                    123.997
1162.156676                   -49.040                    124.075
1162.152466                   -49.029                    124.153
1162.148234                   -49.017                    124.232
1162.143980                   -49.006                    124.310
1162.139704                   -48.994                    124.388
1162.135406                   -48.983                    124.466
1162.131086                   -48.971                    124.544
1162.126744                   -48.959                    124.622
1162.122381                   -48.947                    124.700
1162.117995                   -48.936                    124.778
1162.113588                   -48.924                    124.856
1162.109159                   -48.912                    124.934
1162.104708                   -48.900                    125.012
1162.100235                   -48.888                    125.089
1162.095741                   -48.875                    125.167
1162.091225                   -48.863                    125.245
1162.086687                   -48.851                    125.322
1162.082127                   -48.839                    125.400
1162.077546                   -48.826                    125.478
1162.072943                   -48.814                    125.555
1162.068318                   -48.801                    125.633
1162.063672                   -48.789                    125.710
1162.059004                   -48.776                    125.788
1162.054314                   -48.764                    125.865
1162.049603                   -48.751                    125.942
