高度                               纬度                        经度
1162.069581                   -48.805                    -67.156
1162.064757                   -48.792                    -67.079
1162.059912                   -48.779                    -67.001
1162.055045                   -48.766                    -66.924
1162.050157                   -48.752                    -66.847
1162.045247                   -48.739                    -66.770
1162.040315                   -48.726                    -66.693
1162.035363                   -48.712                    -66.616
1162.030388                   -48.699                    -66.539
1162.025393                   -48.686                    -66.462
1162.020376                   -48.672                    -66.385
1162.015337                   -48.658                    -66.308
1162.010277                   -48.645                    -66.231
1162.005196                   -48.631                    -66.154
1162.000093                   -48.617                    -66.078
1161.994969                   -48.603                    -66.001
1161.989824                   -48.590                    -65.924
1161.984657                   -48.576                    -65.848
1161.979470                   -48.562                    -65.771
1161.974261                   -48.548                    -65.695
1161.969030                   -48.533                    -65.618
1161.963779                   -48.519                    -65.542
1161.958506                   -48.505                    -65.465
1161.953212                   -48.491                    -65.389
1161.947897                   -48.476                    -65.313
1161.942561                   -48.462                    -65.237
1161.937204                   -48.448                    -65.160
1161.931826                   -48.433                    -65.084
1161.926426                   -48.419                    -65.008
1161.921006                   -48.404                    -64.932
1161.915564                   -48.389                    -64.856
1161.910102                   -48.375                    -64.780
1161.904618                   -48.360                    -64.704
1161.899114                   -48.345                    -64.628
1161.893589                   -48.330                    -64.552
1161.888042                   -48.315                    -64.477
1161.882475                   -48.300                    -64.401
1161.876887                   -48.285                    -64.325
1161.871278                   -48.270                    -64.249
1161.865648                   -48.255                    -64.174
1161.859997                   -48.240                    -64.098
1161.854326                   -48.224                    -64.023
1161.848634                   -48.209                    -63.947
1161.842921                   -48.194                    -63.872
1161.837187                   -48.178                    -63.797
1161.831433                   -48.163                    -63.721
1161.825657                   -48.147                    -63.646
1161.819862                   -48.131                    -63.571
1161.814045                   -48.116                    -63.496
1161.808208                   -48.100                    -63.421
1161.802350                   -48.084                    -63.345
1161.796472                   -48.068                    -63.270
1161.790573                   -48.053                    -63.195
1161.784654                   -48.037                    -63.121
1161.778714                   -48.021                    -63.046
1161.772753                   -48.005                    -62.971
1161.766772                   -47.988                    -62.896
1161.760771                   -47.972                    -62.821
1161.754749                   -47.956                    -62.747
1161.748707                   -47.940                    -62.672
1161.742644                   -47.924                    -62.597
1161.736561                   -47.907                    -62.523
1161.730458                   -47.891                    -62.448
1161.724334                   -47.874                    -62.374
1161.718190                   -47.858                    -62.300
1161.712026                   -47.841                    -62.225
1161.705842                   -47.824                    -62.151
1161.699637                   -47.808                    -62.077
1161.693412                   -47.791                    -62.003
1161.687167                   -47.774                    -61.928
1161.680902                   -47.757                    -61.854
1161.674616                   -47.740                    -61.780
1161.668311                   -47.724                    -61.706
1161.661985                   -47.706                    -61.632
1161.655639                   -47.689                    -61.559
1161.649274                   -47.672                    -61.485
1161.642888                   -47.655                    -61.411
1161.636482                   -47.638                    -61.337
1161.630056                   -47.621                    -61.264
1161.623611                   -47.603                    -61.190
1161.617145                   -47.586                    -61.116
1161.610660                   -47.568                    -61.043
1161.604154                   -47.551                    -60.969
1161.597629                   -47.533                    -60.896
1161.591084                   -47.516                    -60.823
1161.584519                   -47.498                    -60.749
1161.577935                   -47.481                    -60.676
1161.571330                   -47.463                    -60.603
1161.564706                   -47.445                    -60.530
1161.558063                   -47.427                    -60.456
1161.551399                   -47.409                    -60.383
1161.544716                   -47.391                    -60.310
1161.538013                   -47.373                    -60.237
1161.531291                   -47.355                    -60.165
1161.524549                   -47.337                    -60.092
1161.517787                   -47.319                    -60.019
1161.511006                   -47.301                    -59.946
1161.504206                   -47.282                    -59.874
1161.497386                   -47.264                    -59.801
1161.490546                   -47.246                    -59.728
1161.483687                   -47.227                    -59.656
1161.476809                   -47.209                    -59.583
1161.469911                   -47.190                    -59.511
1161.462994                   -47.172                    -59.439
1161.456058                   -47.153                    -59.366
1161.449102                   -47.134                    -59.294
1161.442127                   -47.116                    -59.222
1161.435133                   -47.097                    -59.150
1161.428120                   -47.078                    -59.077
1161.421087                   -47.059                    -59.005
1161.414035                   -47.040                    -58.933
1161.406965                   -47.021                    -58.862
1161.399875                   -47.002                    -58.790
1161.392765                   -46.983                    -58.718
1161.385637                   -46.964                    -58.646
1161.378490                   -46.945                    -58.574
1161.371324                   -46.926                    -58.503
1161.364138                   -46.906                    -58.431
1161.356934                   -46.887                    -58.359
1161.349711                   -46.868                    -58.288
1161.342469                   -46.848                    -58.216
1161.335208                   -46.829                    -58.145
1161.327929                   -46.809                    -58.074
1161.320630                   -46.790                    -58.002
1161.313313                   -46.770                    -57.931
1161.305976                   -46.750                    -57.860
1161.298622                   -46.731                    -57.789
