高度                               纬度                        经度
1155.282666                   -29.894                    18.434
1155.294675                   -29.932                    18.477
1155.306687                   -29.969                    18.520
1155.318704                   -30.006                    18.563
1155.330724                   -30.044                    18.607
1155.342747                   -30.081                    18.650
1155.354774                   -30.118                    18.693
1155.366804                   -30.155                    18.736
1155.378838                   -30.193                    18.780
1155.390875                   -30.230                    18.823
1155.402916                   -30.267                    18.866
1155.414959                   -30.304                    18.910
1155.427006                   -30.341                    18.953
1155.439057                   -30.378                    18.997
1155.451110                   -30.416                    19.040
1155.463166                   -30.453                    19.084
1155.475226                   -30.490                    19.127
1155.487288                   -30.527                    19.171
1155.499354                   -30.564                    19.215
1155.511422                   -30.601                    19.258
1155.523493                   -30.638                    19.302
1155.535567                   -30.675                    19.346
1155.547644                   -30.712                    19.390
1155.559724                   -30.749                    19.434
1155.571806                   -30.786                    19.477
1155.583891                   -30.823                    19.521
1155.595978                   -30.860                    19.565
1155.608069                   -30.897                    19.609
1155.620161                   -30.934                    19.653
1155.632256                   -30.970                    19.697
1155.644354                   -31.007                    19.741
1155.656453                   -31.044                    19.786
1155.668556                   -31.081                    19.830
1155.680660                   -31.118                    19.874
1155.692767                   -31.154                    19.918
1155.704876                   -31.191                    19.963
1155.716987                   -31.228                    20.007
1155.729100                   -31.265                    20.051
1155.741215                   -31.301                    20.096
1155.753332                   -31.338                    20.140
1155.765451                   -31.375                    20.185
1155.777572                   -31.411                    20.229
1155.789695                   -31.448                    20.274
1155.801820                   -31.485                    20.318
1155.813947                   -31.521                    20.363
1155.826075                   -31.558                    20.408
1155.838205                   -31.594                    20.452
1155.850337                   -31.631                    20.497
1155.862470                   -31.667                    20.542
1155.874605                   -31.704                    20.587
1155.886741                   -31.740                    20.631
1155.898879                   -31.777                    20.676
1155.911018                   -31.813                    20.721
1155.923159                   -31.850                    20.766
1155.935300                   -31.886                    20.811
1155.947444                   -31.922                    20.856
1155.959588                   -31.959                    20.901
1155.971734                   -31.995                    20.947
1155.983881                   -32.031                    20.992
1155.996028                   -32.068                    21.037
1156.008177                   -32.104                    21.082
1156.020327                   -32.140                    21.127
1156.032478                   -32.176                    21.173
1156.044630                   -32.213                    21.218
1156.056783                   -32.249                    21.264
1156.068936                   -32.285                    21.309
1156.081091                   -32.321                    21.354
1156.093246                   -32.357                    21.400
1156.105401                   -32.394                    21.446
1156.117558                   -32.430                    21.491
1156.129715                   -32.466                    21.537
1156.141872                   -32.502                    21.582
1156.154030                   -32.538                    21.628
1156.166189                   -32.574                    21.674
1156.178348                   -32.610                    21.720
1156.190507                   -32.646                    21.766
1156.202667                   -32.682                    21.811
1156.214827                   -32.718                    21.857
1156.226987                   -32.754                    21.903
1156.239147                   -32.790                    21.949
1156.251308                   -32.825                    21.995
1156.263469                   -32.861                    22.041
1156.275629                   -32.897                    22.088
1156.287790                   -32.933                    22.134
1156.299951                   -32.969                    22.180
1156.312111                   -33.005                    22.226
1156.324272                   -33.040                    22.272
1156.336432                   -33.076                    22.319
1156.348592                   -33.112                    22.365
1156.360752                   -33.147                    22.412
1156.372911                   -33.183                    22.458
1156.385070                   -33.219                    22.504
1156.397229                   -33.254                    22.551
1156.409387                   -33.290                    22.598
1156.421545                   -33.326                    22.644
1156.433702                   -33.361                    22.691
1156.445859                   -33.397                    22.737
1156.458015                   -33.432                    22.784
1156.470171                   -33.468                    22.831
1156.482325                   -33.503                    22.878
1156.494479                   -33.539                    22.925
1156.506632                   -33.574                    22.972
1156.518784                   -33.610                    23.018
1156.530936                   -33.645                    23.065
1156.543086                   -33.680                    23.113
1156.555236                   -33.716                    23.160
1156.567384                   -33.751                    23.207
1156.579531                   -33.786                    23.254
1156.591677                   -33.822                    23.301
1156.603822                   -33.857                    23.348
1156.615966                   -33.892                    23.396
1156.628109                   -33.927                    23.443
1156.640250                   -33.963                    23.490
1156.652390                   -33.998                    23.538
1156.664528                   -34.033                    23.585
1156.676665                   -34.068                    23.633
1156.688801                   -34.103                    23.680
1156.700935                   -34.138                    23.728
1156.713067                   -34.173                    23.775
1156.725198                   -34.209                    23.823
1156.737327                   -34.244                    23.871
1156.749454                   -34.279                    23.918
1156.761580                   -34.314                    23.966
1156.773704                   -34.349                    24.014
1156.785826                   -34.383                    24.062
1156.797946                   -34.418                    24.110
1156.810064                   -34.453                    24.158
1156.822180                   -34.488                    24.206
1156.834294                   -34.523                    24.254
1156.846406                   -34.558                    24.302
1156.858516                   -34.593                    24.350
1156.870624                   -34.627                    24.398
