高度                               纬度                        经度
1161.123661                   -46.261                    19.740
1161.115757                   -46.240                    19.810
1161.107836                   -46.219                    19.880
1161.099896                   -46.198                    19.949
1161.091939                   -46.176                    20.019
1161.083964                   -46.155                    20.088
1161.075970                   -46.133                    20.157
1161.067959                   -46.112                    20.227
1161.059931                   -46.090                    20.296
1161.051884                   -46.069                    20.365
1161.043820                   -46.047                    20.434
1161.035738                   -46.026                    20.503
1161.027639                   -46.004                    20.572
1161.019521                   -45.982                    20.641
1161.011387                   -45.960                    20.710
1161.003234                   -45.938                    20.779
1160.995064                   -45.917                    20.847
1160.986877                   -45.895                    20.916
1160.978672                   -45.873                    20.985
1160.970450                   -45.851                    21.053
1160.962210                   -45.829                    21.122
1160.953953                   -45.806                    21.190
1160.945678                   -45.784                    21.259
1160.937386                   -45.762                    21.327
1160.929077                   -45.740                    21.395
1160.920751                   -45.717                    21.464
1160.912407                   -45.695                    21.532
1160.904046                   -45.673                    21.600
1160.895668                   -45.650                    21.668
1160.887273                   -45.628                    21.736
1160.878861                   -45.605                    21.804
1160.870432                   -45.583                    21.872
1160.861985                   -45.560                    21.940
1160.853522                   -45.537                    22.008
1160.845042                   -45.515                    22.075
1160.836544                   -45.492                    22.143
1160.828030                   -45.469                    22.211
1160.819499                   -45.446                    22.278
1160.810951                   -45.423                    22.346
1160.802386                   -45.400                    22.413
1160.793804                   -45.377                    22.480
1160.785206                   -45.354                    22.548
1160.776591                   -45.331                    22.615
1160.767959                   -45.308                    22.682
1160.759311                   -45.285                    22.749
1160.750646                   -45.262                    22.816
1160.741964                   -45.238                    22.884
1160.733266                   -45.215                    22.950
1160.724551                   -45.192                    23.017
1160.715820                   -45.168                    23.084
1160.707072                   -45.145                    23.151
1160.698308                   -45.121                    23.218
1160.689527                   -45.098                    23.284
1160.680730                   -45.074                    23.351
1160.671917                   -45.051                    23.418
1160.663087                   -45.027                    23.484
1160.654241                   -45.003                    23.551
1160.645379                   -44.980                    23.617
1160.636501                   -44.956                    23.683
1160.627606                   -44.932                    23.750
1160.618695                   -44.908                    23.816
1160.609769                   -44.884                    23.882
1160.600826                   -44.860                    23.948
1160.591867                   -44.836                    24.014
1160.582892                   -44.812                    24.080
1160.573901                   -44.788                    24.146
1160.564894                   -44.764                    24.212
1160.555872                   -44.740                    24.278
1160.546833                   -44.716                    24.343
1160.537779                   -44.691                    24.409
1160.528708                   -44.667                    24.475
1160.519622                   -44.643                    24.540
1160.510521                   -44.618                    24.606
1160.501403                   -44.594                    24.671
1160.492270                   -44.569                    24.737
1160.483121                   -44.545                    24.802
1160.473957                   -44.520                    24.867
1160.464777                   -44.496                    24.933
1160.455581                   -44.471                    24.998
1160.446370                   -44.446                    25.063
1160.437144                   -44.422                    25.128
1160.427902                   -44.397                    25.193
1160.418645                   -44.372                    25.258
1160.409372                   -44.347                    25.323
1160.400084                   -44.322                    25.388
1160.390781                   -44.297                    25.452
1160.381462                   -44.272                    25.517
1160.372128                   -44.247                    25.582
1160.362780                   -44.222                    25.646
1160.353415                   -44.197                    25.711
1160.344036                   -44.172                    25.775
1160.334642                   -44.147                    25.840
1160.325233                   -44.122                    25.904
1160.315808                   -44.096                    25.968
1160.306369                   -44.071                    26.033
1160.296914                   -44.046                    26.097
1160.287445                   -44.020                    26.161
1160.277961                   -43.995                    26.225
1160.268462                   -43.969                    26.289
1160.258949                   -43.944                    26.353
1160.249420                   -43.918                    26.417
1160.239877                   -43.893                    26.481
1160.230319                   -43.867                    26.544
1160.220746                   -43.841                    26.608
1160.211159                   -43.816                    26.672
1160.201557                   -43.790                    26.735
1160.191941                   -43.764                    26.799
1160.182310                   -43.738                    26.862
1160.172665                   -43.712                    26.926
1160.163005                   -43.686                    26.989
1160.153331                   -43.661                    27.052
1160.143642                   -43.635                    27.116
1160.133939                   -43.608                    27.179
1160.124222                   -43.582                    27.242
1160.114490                   -43.556                    27.305
1160.104745                   -43.530                    27.368
1160.094985                   -43.504                    27.431
1160.085211                   -43.478                    27.494
1160.075422                   -43.451                    27.557
1160.065620                   -43.425                    27.620
1160.055804                   -43.399                    27.682
1160.045973                   -43.372                    27.745
1160.036129                   -43.346                    27.808
1160.026271                   -43.319                    27.870
1160.016399                   -43.293                    27.933
1160.006513                   -43.266                    27.995
1159.996613                   -43.240                    28.057
1159.986699                   -43.213                    28.120
1159.976772                   -43.187                    28.182
1159.966831                   -43.160                    28.244
1159.956876                   -43.133                    28.306
1159.946907                   -43.106                    28.368
1159.936925                   -43.080                    28.430
1159.926930                   -43.053                    28.492
1159.916921                   -43.026                    28.554
1159.906898                   -42.999                    28.616
1159.896862                   -42.972                    28.678
1159.886812                   -42.945                    28.740
1159.876749                   -42.918                    28.801
1159.866673                   -42.891                    28.863
1159.856584                   -42.864                    28.925
1159.846481                   -42.836                    28.986
1159.836365                   -42.809                    29.048
1159.826236                   -42.782                    29.109
1159.816093                   -42.755                    29.170
1159.805938                   -42.727                    29.232
1159.795769                   -42.700                    29.293
1159.785587                   -42.673                    29.354
1159.775393                   -42.645                    29.415
1159.765185                   -42.618                    29.476
1159.754965                   -42.590                    29.537
1159.744731                   -42.563                    29.598
1159.734485                   -42.535                    29.659
1159.724226                   -42.508                    29.720
1159.713954                   -42.480                    29.781
1159.703669                   -42.452                    29.841
1159.693372                   -42.425                    29.902
1159.683062                   -42.397                    29.963
1159.672740                   -42.369                    30.023
1159.662404                   -42.341                    30.084
1159.652057                   -42.313                    30.144
1159.641696                   -42.285                    30.204
1159.631324                   -42.257                    30.265
1159.620939                   -42.229                    30.325
1159.610541                   -42.201                    30.385
1159.600131                   -42.173                    30.445
1159.589709                   -42.145                    30.505
1159.579275                   -42.117                    30.565
1159.568828                   -42.089                    30.625
1159.558369                   -42.061                    30.685
1159.547898                   -42.033                    30.745
1159.537415                   -42.004                    30.805
1159.526920                   -41.976                    30.865
1159.516412                   -41.948                    30.924
1159.505893                   -41.919                    30.984
1159.495362                   -41.891                    31.044
1159.484819                   -41.863                    31.103
1159.474264                   -41.834                    31.163
1159.463697                   -41.806                    31.222
1159.453118                   -41.777                    31.281
1159.442528                   -41.748                    31.341
1159.431926                   -41.720                    31.400
1159.421312                   -41.691                    31.459
1159.410686                   -41.662                    31.518
1159.400049                   -41.634                    31.577
1159.389400                   -41.605                    31.636
1159.378740                   -41.576                    31.695
1159.368069                   -41.547                    31.754
1159.357385                   -41.519                    31.813
1159.346691                   -41.490                    31.872
1159.335985                   -41.461                    31.931
1159.325268                   -41.432                    31.989
1159.314539                   -41.403                    32.048
1159.303799                   -41.374                    32.106
1159.293048                   -41.345                    32.165
1159.282286                   -41.316                    32.223
1159.271513                   -41.286                    32.282
1159.260729                   -41.257                    32.340
1159.249933                   -41.228                    32.398
1159.239127                   -41.199                    32.457
1159.228309                   -41.170                    32.515
1159.217481                   -41.140                    32.573
1159.206642                   -41.111                    32.631
1159.195792                   -41.082                    32.689
1159.184931                   -41.052                    32.747
1159.174059                   -41.023                    32.805
1159.163177                   -40.993                    32.863
1159.152284                   -40.964                    32.921
1159.141380                   -40.934                    32.978
1159.130466                   -40.905                    33.036
1159.119541                   -40.875                    33.094
1159.108606                   -40.845                    33.151
1159.097660                   -40.816                    33.209
1159.086704                   -40.786                    33.266
1159.075737                   -40.756                    33.324
1159.064760                   -40.726                    33.381
1159.053773                   -40.697                    33.438
1159.042775                   -40.667                    33.495
1159.031767                   -40.637                    33.553
1159.020749                   -40.607                    33.610
1159.009721                   -40.577                    33.667
1158.998683                   -40.547                    33.724
1158.987635                   -40.517                    33.781
1158.976576                   -40.487                    33.838
1158.965508                   -40.457                    33.895
1158.954429                   -40.427                    33.951
1158.943341                   -40.397                    34.008
1158.932243                   -40.367                    34.065
1158.921135                   -40.336                    34.122
1158.910018                   -40.306                    34.178
1158.898890                   -40.276                    34.235
1158.887753                   -40.246                    34.291
1158.876606                   -40.215                    34.348
1158.865450                   -40.185                    34.404
1158.854284                   -40.155                    34.460
1158.843108                   -40.124                    34.517
1158.831923                   -40.094                    34.573
1158.820729                   -40.063                    34.629
1158.809525                   -40.033                    34.685
1158.798312                   -40.002                    34.741
1158.787089                   -39.972                    34.797
1158.775858                   -39.941                    34.853
1158.764616                   -39.910                    34.909
1158.753366                   -39.880                    34.965
1158.742107                   -39.849                    35.020
1158.730838                   -39.818                    35.076
1158.719561                   -39.788                    35.132
1158.708274                   -39.757                    35.188
1158.696979                   -39.726                    35.243
1158.685674                   -39.695                    35.299
1158.674361                   -39.664                    35.354
1158.663038                   -39.633                    35.409
1158.651707                   -39.602                    35.465
1158.640367                   -39.571                    35.520
1158.629019                   -39.540                    35.575
1158.617661                   -39.509                    35.631
1158.606295                   -39.478                    35.686
1158.594921                   -39.447                    35.741
1158.583538                   -39.416                    35.796
1158.572146                   -39.385                    35.851
1158.560746                   -39.354                    35.906
1158.549338                   -39.322                    35.961
