CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain_default_ChannelData,BPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000446,0.021854,0.020962,4.50751917776565,26.9212483369028,26.9212483369024,-0.0381336035478426,12.4421177207585,1.92865493310657e-15,3.64061778825538,wrap,10,0.02238,0,1,OK,,3.6819289
2,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000892,0.042816,0.041032,1.81094153949754,34.8419113855843,34.8419113855814,-0.112833067988728,13.7733200291032,1.92865493310657e-15,4.16908138472267,wrap,10,0.04476,0,1,OK,,5.0212489
3,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000669,0.032112,0.030774,1.29849066786511,37.7312233451717,37.7312233451661,-0.0219690492436225,12.960048455021,1.92865493310657e-15,3.78921118227739,wrap,10,0.03357,0,1,OK,,4.4412372
4,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.000594666666666667,0.0279493333333333,0.02676,1.49888370499079,36.4846412354967,36.4846412354925,-0.0661447819981737,12.2268155743857,1.92865493310657e-15,3.55175573203793,wrap,10,0.02984,0,1,OK,,4.1525628
5,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,45,48,0.00053568,0.02571264,0.0241056,1.84781620465805,34.666824572193,34.6668245721903,-0.0130672135276104,12.126512882369,1.92865493310657e-15,3.52229323536607,wrap,10,0.02688,0,1,OK,,4.3649571
6,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.000513371428571429,0.0241284571428571,0.0231017142857143,3.54339657606259,29.0116047763267,29.011604776326,0.426367113404122,12.1959815806603,1.92865493310657e-15,3.54665712667539,wrap,10,0.02576,0,1,OK,,4.540596
7,H_EQ_rawGain_default_ChannelData,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000223,0.010927,0.010481,3.67840967584109,28.6867980737421,28.6867980737415,0.165165715650582,11.7652901428597,1.92865493310657e-15,3.44038849763853,wrap,10,0.01119,0,1,OK,,2.219491
8,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000446,0.021408,0.020516,4.47832972246171,26.9776786824285,26.9776786824281,-0.235110162940521,12.4421673159454,1.92865493310657e-15,3.64061778825538,wrap,10,0.02238,0,1,OK,,3.2719855
9,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.0003345,0.016056,0.015387,1.31486111043132,37.6224023907683,37.6224023907629,-0.00758564698820133,12.2990901403193,1.92865493310657e-15,3.61233286169361,wrap,10,0.016785,0,1,OK,,3.4079978
10,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000297333333333333,0.014272,0.0136773333333333,3.95110929829467,28.0656191280126,28.065619128012,-0.0880854088808588,12.0871730622132,1.92865493310657e-15,3.52996058960004,wrap,10,0.01492,0,1,OK,,3.3144015
11,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,45,48,0.00026784,0.01285632,0.0120528,1.67814613687898,35.5034044496855,35.5034044496822,0.148675219429047,12.418809793856,1.92865493310657e-15,3.71124815974396,wrap,10,0.01344,0,1,OK,,3.5353713
12,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.000256685714285714,0.0120642285714286,0.0115508571428571,1.39969894846091,37.0793072733166,37.0793072733118,0.0151603576889373,12.3356853709041,1.92865493310657e-15,3.66728208688162,wrap,10,0.01288,0,1,OK,,3.892939
13,H_EQ_rawGain_default_ChannelData,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,0.000148666666666667,0.00728466666666667,0.00683866666666667,1.96554795546734,34.130327115832,34.1303271158296,0.0830953876683422,12.1319805493736,1.92865493310657e-15,3.66039196506188,wrap,10,0.00746,0,1,OK,,2.3135617
14,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,48,0.000297333333333333,0.014272,0.01338,3.9334664101451,28.1044910827757,28.1044910827751,-0.41157409282972,12.0871047505569,1.92865493310657e-15,3.52996058960004,wrap,10,0.01492,0,1,OK,,3.417401
15,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,48,0.000223,0.010704,0.010035,3.66781318892324,28.7118558432784,28.7118558432777,0.701677513630438,11.7651690218612,1.92865493310657e-15,3.44038849763853,wrap,10,0.01119,0,1,OK,,3.6639109
