ChannelLabel,ChannelFile,ModType,ChannelCoding,Rate,Success,BER,LockRate_pct,EVM_post_pct,MER_dB,CountedFrames,MatchedFrames,DecodedFrames,HGain_dB,WaveformDuration_s,ChannelDuration_s,ErrorMessage
std5_likely_Jakes,E:\matlab_project\v3.0\v3.0\channel\ChannelData_5.mat,8PSK,convolutional,1/2,1,0,100,33.0031693960414,9.62888702964393,45,47,48,-67.7876936179669,0.01492,2,
std5_likely_Jakes,E:\matlab_project\v3.0\v3.0\channel\ChannelData_5.mat,16QAM,convolutional,1/2,1,0.0672085201793722,93.6170212765958,21.4572673409856,13.3685117557871,42,44,48,-67.6893324110966,0.01119,2,
std5_likely_Jakes,E:\matlab_project\v3.0\v3.0\channel\ChannelData_5.mat,32QAM,convolutional,1/2,1,0.112343958308084,82.9787234042553,27.6356281988134,11.1706131762471,37,39,48,-67.6572069906326,0.00895,2,
std5_likely_Jakes,E:\matlab_project\v3.0\v3.0\channel\ChannelData_5.mat,GMSK,convolutional,1/2,1,0,100,33.6852817252726,9.45119632189198,46,48,48,-67.6010919035358,0.04476,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,BPSK,convolutional,1/2,1,0,100,395.50196073554,-11.9429728178377,34,36,37,-71.9000606734908,0.04476,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,QPSK,convolutional,1/2,1,0.5,0,38.9106144967921,8.19863821072614,0,11,48,-72.7788677618267,0.02238,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,8PSK,convolutional,1/2,1,0,100,87.7611466564224,1.1339542211319,45,47,48,-73.435615688237,0.01492,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,16QAM,convolutional,1/2,1,0.118881093591784,70.8333333333333,23.5443312516714,12.5622728131392,31,34,48,-74.4102774669979,0.01119,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,32QAM,convolutional,1/2,1,0.191633034379671,71.7391304347826,34.8201033964345,9.16339887205077,30,33,48,-74.8883103900945,0.00895,2,
std6_likely_CLoo,E:\matlab_project\v3.0\v3.0\channel\ChannelData_6.mat,GMSK,convolutional,1/2,1,0.00719564856336157,60.4166666666667,32.671119330572,9.71671972202269,27,29,48,-71.9000200662957,0.04476,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,BPSK,convolutional,1/2,1,0.0565511095780154,78.8461538461538,68.1491862386325,3.33078651314712,39,41,53,-74.9000740051297,0.04476,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,QPSK,convolutional,1/2,1,0.5,0,38.9195931434152,8.19663416791608,0,14,48,-75.7788579123273,0.02238,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,8PSK,convolutional,1/2,1,0,100,87.7581813825199,1.13424770495677,45,47,48,-76.4356156149495,0.01492,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,16QAM,convolutional,1/2,1,0.136417991574942,76.0869565217391,23.5467225681499,12.5613906620996,33,35,48,-77.4096751512476,0.01119,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,32QAM,convolutional,1/2,1,0.196470418052944,74.468085106383,34.5775387626317,9.22411846291291,31,35,48,-77.8836852928032,0.00895,2,
std7_likely_Corazza,E:\matlab_project\v3.0\v3.0\channel\ChannelData_7.mat,GMSK,convolutional,1/2,1,0.0169546293853864,75,32.4972009670701,9.76308087697977,34,36,48,-74.9000255864059,0.04476,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,BPSK,convolutional,1/2,1,0.5,0,72.2643180397566,2.82152182828824,0,10,48,-66.5401033289255,0.04476,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,QPSK,convolutional,1/2,1,0.5,0,89.2040617693897,0.992307404883034,0,12,48,-66.8604905900087,0.02238,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,8PSK,convolutional,1/2,1,0,100,67.3044643926905,3.43912255005077,45,48,48,-66.734391700336,0.01492,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,16QAM,convolutional,1/2,1,0.5,0,31.0262087927867,10.1654257844587,0,30,48,-66.6408429562115,0.01119,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,32QAM,convolutional,1/2,1,0.347404007847534,74.468085106383,41.9958909180535,7.5358640200976,32,35,48,-66.6055085176607,0.00895,2,
std8_likely_Lutz,E:\matlab_project\v3.0\v3.0\channel\ChannelData_8.mat,GMSK,convolutional,1/2,1,0,100,68.2917627046222,3.31263354794239,46,48,48,-66.5401494187812,0.04476,2,
