CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
15,NoH_baseline,16QAM,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.00016725,0.008028,0.0076935,3.33709858894427,29.5326192531672,29.4653939988401,2.05812446949267,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.5067769
16,NoH_baseline,16QAM,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.000148666666666667,0.00698733333333333,0.00669,2.89870249286147,30.7559271198669,30.7663376997267,-1.13815676726713,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.367607
17,NoH_baseline,32QAM,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,49,8.92e-05,0.0043708,0.0041032,4.32843956364263,27.2733728398646,27.2566638298883,-11.8909092512631,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,1.2805958
18,NoH_baseline,32QAM,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.0001784,0.0083848,0.008028,4.44076781262702,27.0508386699692,27.0309895511299,-43.3512278151921,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.0482835
19,NoH_baseline,32QAM,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,47,0.0001338,0.0062886,0.006021,3.46205445906922,29.2133220967039,29.2119321319548,29.3425145362973,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.4569554
20,NoH_baseline,32QAM,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,45,48,0.000118933333333333,0.0057088,0.005352,3.60655430647876,28.8581504788142,28.8879276228477,8.01409441332893,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.2830006
21,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,47,49,0.000446,0.021854,0.020962,3.7403863184045,28.5416708047239,28.5416708047239,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.1866776
22,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000892,0.042816,0.041032,3.73227341377217,28.5605309762004,28.5605309762004,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,3.422652
23,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000669,0.032112,0.030774,3.7503355172537,28.5185975426526,28.5185975426526,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.7929241
24,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,46,48,0.000594666666666667,0.028544,0.0273546666666667,3.73736346366813,28.5486932873764,28.5486932873764,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,1,OK,,2.6383421
25,H_EQ_rawGain_default_ChannelData,BPSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,50,0.000446,0.0223,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.5027048634,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.02238,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,10.0791177
26,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000892,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502692123633,1.92865493310657e-15,1.18146636178526e-10,wrap,60,0.04476,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,11.2404408
27,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000669,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502742746351,1.92865493310657e-15,1.18146636178526e-10,wrap,60,0.03357,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,9.1170131
28,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000594666666666667,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502764935732,1.92865493310657e-15,1.18146636178526e-10,wrap,60,0.02984,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,8.3686612
29,H_EQ_rawGain_default_ChannelData,QPSK,none,none,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.000223,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502651519597,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.01119,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,19.202268
30,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.000446,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502721299044,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.02238,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,35.5939558
31,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,21,0.0003345,0.0070245,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502664245616,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.016785,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,262.5029443
32,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,0,NaN,0,NaN,0,0,0.000297333333333333,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502776153235,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.01492,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,87.8461205
33,H_EQ_rawGain_default_ChannelData,8PSK,none,none,1115,NaN,0,NaN,1,1,0,0,0.5,0,NaN,0,50,0.000148666666666667,0.00743333333333333,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502611038571,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.00746,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,31.8085043
34,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,0,-2,0,NaN,0,0,0.000297333333333333,0,0,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,-138.502609814533,1.92865493310657e-15,1.18146636178525e-10,wrap,60,0.01492,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,16.7073646
