CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
15,NoH_baseline,GMSK,TPC,1/2_x8,1024,NaN,0,8,0,0,0,0,0,100,0,37,39,0.0008192,0.0319488,0.0303104,3.7296871814914,28.566551841302,28.566551841302,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,198.5642606,all-h,baseline,0,0,0,37,0,0,0,0,37,0
16,NoH_baseline,GMSK,TPC,2/3_x4,1352,NaN,0,4,0,0,0,0,0,100,0,37,39,0.0008112,0.0316368,0.0300144,3.73564437780367,28.5526894802554,28.5526894802554,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,135.8020095,all-h,baseline,0,0,0,37,0,0,0,0,37,0
17,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.79464884320496,28.4165681503875,28.4165681503875,NaN,16.3019610834679,1.92865493310657e-15,6.0405964252986,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,4.1745037,all-h,baseline,0,0,0,37,0,0,0,0,37,0
18,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000892,0.033896,0.032112,3.70782449557856,28.6176166146373,28.6176166146373,NaN,17.1448430738708,1.92865493310657e-15,6.43488121895885,error,10,0.035808,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,7.4875968,all-h,baseline,0,0,0,36,0,0,0,0,36,0
19,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000669,0.025422,0.024084,3.76675173574359,28.4806600586354,28.4806600586354,NaN,15.9474426690022,1.92865493310657e-15,5.75870095386115,error,10,0.026856,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,5.975575,all-h,baseline,0,0,0,36,0,0,0,0,36,0
20,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000594666666666667,0.0225973333333333,0.021408,3.76275701856048,28.4898765100602,28.4898765100602,NaN,16.1323808442305,1.92865493310657e-15,5.86832223523122,error,10,0.023872,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,5.3674475,all-h,baseline,0,0,0,36,0,0,0,0,36,0
21,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.00053568,0.02035584,0.01928448,4.31077009737376,27.3089027677164,27.3089027677164,NaN,16.4257973417965,1.92865493310657e-15,6.13196143267201,error,10,0.021504,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,5.0876399,all-h,baseline,0,0,0,36,0,0,0,0,36,0
22,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,3.73115175168331,28.5631417435016,28.5631417435016,NaN,16.5293509973349,1.92865493310657e-15,6.21585051123339,error,10,0.020608,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,4.8270544,all-h,baseline,0,0,0,36,0,0,0,0,36,0
23,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,4.03549381469351,27.8820662801796,27.8820662801796,NaN,16.1923286757519,1.92865493310657e-15,5.97859478159267,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.1071319,all-h,baseline,0,0,0,37,0,0,0,0,37,0
24,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.76299473614291,28.4893277838322,28.4893277838322,NaN,17.065238764849,1.92865493310657e-15,6.80453738226378,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.5064229,all-h,baseline,0,0,0,37,0,0,0,0,37,0
