Modulation,Stage,IF_MHz,BER,EVM_pct,MER_dB,SNR_est_dB,Lock_pct,Recovery
8PSK,Clean,1000,0,7.15761683257401,22.9046310866565,22.9046310866564,100,none
8PSK,Damaged,1000,0,12.7938305264292,17.8599881293084,17.8599881293084,100,none
8PSK,Recovered,1000,0,7.36387635504153,22.6578702446804,22.6578702446802,100,known-H MMSE
