Modulation,Note,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,TM convolutional 1/2,16,0,5.72105333739764,24.8504800657334,100,1,
BPSK,TM convolutional 1/2,18,0,4.61541768213825,26.7157798089489,100,1,
BPSK,TM convolutional 1/2,20,0,3.73185199934651,28.5615117633636,100,1,
BPSK,TM convolutional 1/2,22,0,3.04062492361362,30.3407429792364,100,1,
QPSK,TM convolutional 1/2,16,0,5.72105489812964,24.8504776961795,100,1,
QPSK,TM convolutional 1/2,18,0,4.61128303366872,26.7235644123101,100,1,
QPSK,TM convolutional 1/2,20,0,3.68957813218182,28.6604657680894,100,1,
QPSK,TM convolutional 1/2,22,0,3.02281226963617,30.3917764728683,100,1,
8PSK,TM convolutional 1/2,16,0,5.67948815287105,24.9138160407093,100,1,
8PSK,TM convolutional 1/2,18,0,4.6092881681838,26.7273227872168,100,1,
8PSK,TM convolutional 1/2,20,0,3.68192624604363,28.6784983049994,100,1,
8PSK,TM convolutional 1/2,22,0,2.99122017748335,30.4830323656065,100,1,
GMSK,TM convolutional 1/2,16,0,5.62234114580285,25.0016561263868,100,1,
GMSK,TM convolutional 1/2,18,0,5.04454452769054,25.9435608027752,100,1,
GMSK,TM convolutional 1/2,20,0,4.53780915746621,26.8630754559417,100,1,
GMSK,TM convolutional 1/2,22,0,4.18575339706806,27.5645272325474,100,1,
16APSK,FACM ACM14,16,0,16.3001278714658,16.0388475517824,100,1,
16APSK,FACM ACM14,18,0,13.2621268136271,18.0341939768643,100,1,
16APSK,FACM ACM14,20,0,10.6735150271878,20.0232639791058,100,1,
16APSK,FACM ACM14,22,0,8.5993476596587,22.0018553204942,100,1,
