Modulation,Note,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,"TM TPC (64,57)^2",0,0,35.402103190243,9.01941872740267,100,1,
BPSK,"TM TPC (64,57)^2",2,0,28.1531942872724,11.0094464513269,100,1,
BPSK,"TM TPC (64,57)^2",4,0,22.6108583788056,12.9136590033339,100,1,
BPSK,"TM TPC (64,57)^2",6,0,18.039778365707,14.875376048899,100,1,
BPSK,"TM TPC (64,57)^2",8,0,14.3452856067428,16.8658160153549,100,1,
BPSK,"TM TPC (64,57)^2",10,0,11.5868325952792,18.7207053521549,100,1,
BPSK,"TM TPC (64,57)^2",12,0,9.20803083842303,20.7166646977856,100,1,
QPSK,"TM TPC (64,57)^2",0,0,33.9824679714425,9.3749016750502,100,1,
QPSK,"TM TPC (64,57)^2",2,0,27.9818303667958,11.0624776108939,100,1,
QPSK,"TM TPC (64,57)^2",4,0,22.360540920781,13.0103538940049,100,1,
QPSK,"TM TPC (64,57)^2",6,0,17.5266919837113,15.1260009123395,100,1,
QPSK,"TM TPC (64,57)^2",8,0,14.330213762624,16.874946624383,100,1,
QPSK,"TM TPC (64,57)^2",10,0,11.556628489799,18.7433769547126,100,1,
QPSK,"TM TPC (64,57)^2",12,0,9.24976910622336,20.6773821606671,100,1,
8PSK,"TM TPC (64,57)^2",0,0.50280269058296,44.4999140082318,7.03281656500451,0,1,
8PSK,"TM TPC (64,57)^2",2,0.496188340807175,45.1981358985632,6.89758952751659,0,1,
8PSK,"TM TPC (64,57)^2",4,0.5,43.4097724541791,7.24824981289814,0,1,
8PSK,"TM TPC (64,57)^2",6,0,17.5228263624704,15.1279168507718,100,1,
8PSK,"TM TPC (64,57)^2",8,0,14.3706013428332,16.8505011656245,100,1,
8PSK,"TM TPC (64,57)^2",10,0,11.4783300206534,18.8024258547394,100,1,
8PSK,"TM TPC (64,57)^2",12,0,9.19174698972125,20.7320387692504,100,1,
GMSK,"TM TPC (64,57)^2",0,0.499551569506726,23.8901051318566,12.435638781407,100,1,
GMSK,"TM TPC (64,57)^2",2,0.462406576980568,19.8505652392687,14.0445424462286,60,1,
GMSK,"TM TPC (64,57)^2",4,0.507343049327354,16.3352683532057,15.7374745321772,40,1,
GMSK,"TM TPC (64,57)^2",6,0.500373692077728,12.976735796748,17.7366907481581,60,1,
GMSK,"TM TPC (64,57)^2",8,0.0364349775784753,10.613757626105,19.48261668131,100,1,
GMSK,"TM TPC (64,57)^2",10,0.123991031390135,8.59527275468814,21.314806744922,100,1,
GMSK,"TM TPC (64,57)^2",12,0,7.20325237752224,22.8494273750336,100,1,
16QAM,"TM TPC (64,57)^2",0,0.364536621823617,26.4716534821614,11.6003015775671,75,1,
16QAM,"TM TPC (64,57)^2",2,0.0327354260089686,24.2366077843235,12.503554431635,75,1,
16QAM,"TM TPC (64,57)^2",4,0,20.844270590939,13.8785657526068,100,1,
16QAM,"TM TPC (64,57)^2",6,0,17.8592521488534,15.2354150451792,100,1,
16QAM,"TM TPC (64,57)^2",8,0,14.5958951711272,17.0470484837607,100,1,
16QAM,"TM TPC (64,57)^2",10,0,12.0045521852538,18.7253874235219,100,1,
16QAM,"TM TPC (64,57)^2",12,0,9.74874198856705,20.6102488380462,100,1,
32QAM,"TM TPC (64,57)^2",0,0.494170403587444,24.5099148714194,11.4975321580194,0,1,
32QAM,"TM TPC (64,57)^2",2,0.500336322869955,19.9293546647946,13.8967948475416,0,1,
32QAM,"TM TPC (64,57)^2",4,0.370142002989537,18.5710771731646,14.6609644224566,75,1,
32QAM,"TM TPC (64,57)^2",6,0.00747384155455904,16.8987962118781,15.5001793330904,75,1,
32QAM,"TM TPC (64,57)^2",8,0,14.8711373368452,16.6090392736114,100,1,
32QAM,"TM TPC (64,57)^2",10,0,12.754036517867,18.0570461846131,100,1,
32QAM,"TM TPC (64,57)^2",12,0,11.0346414897789,19.3201770402318,100,1,
