Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
PCM format,BPSK convolutional NRZ-L @ 24dB,BPSK,convolutional,NRZ-L,24,20000,10,0.1,0,100,4.29908546232322,27.3324784275199,27.3324784275204,3.9711252427323,0.005,80,1,PASS,,6.0115868
PCM format,BPSK convolutional NRZ-M @ 16dB,BPSK,convolutional,NRZ-M,16,20000,10,0.1,0,100,8.55673479871226,21.3538385602623,21.3538385602624,3.9710521016437,0.005,80,1,PASS,,10.7010818
PCM format,BPSK convolutional NRZ-M @ 20dB,BPSK,convolutional,NRZ-M,20,20000,10,0.1,0,100,5.83004445622203,24.6865626714805,24.6865626714807,3.97108237003192,0.005,80,1,PASS,,10.5293535
PCM format,BPSK convolutional NRZ-M @ 24dB,BPSK,convolutional,NRZ-M,24,20000,10,0.1,0,100,4.28690753156598,27.3571176820786,27.3571176820791,3.97089169526418,0.005,80,1,PASS,,10.7258968
PCM format,BPSK convolutional NRZ-S @ 16dB,BPSK,convolutional,NRZ-S,16,20000,10,0.1,0,100,8.44467557421709,21.4683406081441,21.4683406081442,3.97112999850755,0.005,80,1,PASS,,10.5533758
PCM format,BPSK convolutional NRZ-S @ 20dB,BPSK,convolutional,NRZ-S,20,20000,10,0.1,0,100,5.82415170748507,24.6953464209278,24.6953464209281,3.97094931076348,0.005,80,1,PASS,,10.6527753
PCM format,BPSK convolutional NRZ-S @ 24dB,BPSK,convolutional,NRZ-S,24,20000,10,0.1,0,100,4.22271263377787,27.4881694480393,27.4881694480398,3.97100966023935,0.005,80,1,PASS,,10.5195083
PCM format,QPSK none NRZ-L @ 16dB,QPSK,none,NRZ-L,16,20000,10,0.1,0,100,8.40194274082654,21.512405650028,21.5124056500281,3.97125745754598,0.005,80,1,PASS,,3.0809127
PCM format,QPSK none NRZ-L @ 20dB,QPSK,none,NRZ-L,20,20000,10,0.1,0,100,5.83147596593749,24.6844301990384,24.6844301990386,3.86528792861444,0.005,80,1,PASS,,3.0676631
PCM format,QPSK none NRZ-L @ 24dB,QPSK,none,NRZ-L,24,20000,10,0.1,0,100,4.2513765344584,27.4294085776943,27.4294085776948,3.91862020468865,0.005,80,1,PASS,,3.0515494
PCM format,QPSK none NRZ-M @ 16dB,QPSK,none,NRZ-M,16,20000,10,0.1,0,100,8.43030088890659,21.4831384907558,21.4831384907559,3.91853146389294,0.005,80,1,PASS,,3.0604524
