Category,Name,Note,Modulation,Coding,PCMFormat,HScenario,EnableHChannel,EnableEqualizer,HNumTaps,HEffectiveTaps,HRelEchoPower_dB,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"clean",0,0,1,1,-Inf,12,20000,10,0.1,0,100,13.0576502132075,17.6520169271416,17.682699388101,6.21057109345485,0.0001,85,1,PASS,,3.1193602
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ off",1,0,7,4,-7.32124580681102,12,20000,10,0.1,0,100,21.1750814956389,13.4021357338893,13.4834981908654,6.14932650691704,0.0001,85,1,PASS,,3.1117487
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ on",1,1,7,4,-7.32124580681102,12,20000,10,0.1,0,100,13.8360190999857,17.177691828695,17.1797769426755,6.19325892949773,0.0001,85,1,PASS,,3.0761995
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ off",1,0,7,4,-3.32547047110046,12,20000,10,0.1,0,100,24.7310986951814,11.9766228878256,12.135131787893,6.31093362454051,0.0001,85,1,PASS,,3.100421
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ on",1,1,7,4,-3.32547047110046,12,20000,10,0.1,0,100,14.8705379424692,16.5811726923883,16.5534664113764,6.13581130637522,0.0001,85,1,PASS,,3.0819288
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.67828041998907,21.1655123518904,21.2313264137369,6.10050893848021,0.0001,85,1,PASS,,3.0755635
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,19.5063334371579,14.1971819419536,14.1964871263664,6.16344808951238,0.0001,85,1,PASS,,3.0813347
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,9.23676931907252,20.636464126002,20.689598047982,6.3203654522951,0.0001,85,1,PASS,,3.0710009
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,24.0905678875637,12.222530600808,12.3630592449245,6.25131152786493,0.0001,85,1,PASS,,3.051336
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,9.94695783502249,20.0821782753582,20.0461944604192,6.3549330184163,0.0001,85,1,PASS,,3.082283
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,100,6.1692922132932,24.1932080575208,24.1952931715016,6.2801794800546,0.0001,85,1,PASS,,3.0390572
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ off",1,0,7,4,-7.32124580681102,20,20000,10,0.1,0,100,18.6118708804541,14.6298338108429,14.6041993807818,6.20303675437805,0.0001,85,1,PASS,,3.0722573
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,100,6.35206188754761,23.9026174221595,23.9417055853928,6.14553777157588,0.0001,85,1,PASS,,3.0803338
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ off",1,0,7,4,-3.32547047110046,20,20000,10,0.1,0,100,23.6567755203511,12.4508400070056,12.5208890226922,6.22519312859647,0.0001,85,1,PASS,,3.079871
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ on",1,1,7,4,-3.32547047110046,20,20000,10,0.1,0,100,6.79764446792734,23.3784655047762,23.3528310747153,6.2942824925631,0.0001,85,1,PASS,,3.1007167
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"clean",0,0,1,1,-Inf,24,20000,10,0.1,0,100,4.87938146159841,26.1570025110192,26.2327045633898,6.18542584002546,0.0001,85,1,PASS,,3.05276
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ off",1,0,7,4,-7.32124580681102,24,20000,10,0.1,0,100,18.0208247508994,14.8796399107493,14.8845067348772,6.05122694797062,0.0001,85,1,PASS,,3.0663578
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ on",1,1,7,4,-7.32124580681102,24,20000,10,0.1,0,100,4.73705797361632,26.4856547745837,26.489826004121,6.10654298254325,0.0001,85,1,PASS,,3.0778818
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ off",1,0,7,4,-3.32547047110046,24,20000,10,0.1,0,100,23.894239605325,12.4466254170692,12.4341357125444,5.99498317291221,0.0001,85,1,PASS,,3.0695214
Boundary modulation,TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ on",1,1,7,4,-3.32547047110046,24,20000,10,0.1,0,100,4.97130972672448,26.0816872967674,26.0705835647517,6.00695643618316,0.0001,85,1,PASS,,3.0823305
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,17.6654127349542,15.9596897106069,15.057524224963,4.92192923811057,0.0001,80,1,PASS,,70.5928569
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,17.786049921957,14.9842259178808,14.9984098607826,4.92192923811057,0.0001,80,1,PASS,,70.9207221
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,17.8511173704689,16.0032142490003,14.9666918905974,4.92192923811057,0.0001,80,1,PASS,,72.7982074
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,18.0034878957639,14.5318856563137,14.8928669788869,4.92192923811057,0.0001,80,1,PASS,,73.1623108
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,18.0679036893321,15.917378191552,14.8618446620835,4.92192923811057,0.0001,80,1,PASS,,73.1785073
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,100,11.8135351391313,19.8853313619666,18.5524024513189,4.92192923811057,0.0001,80,1,PASS,,70.0311411
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,20,20000,10,0.1,0,100,11.8373625632072,17.7983155799603,18.5349010060454,4.92192923811057,0.0001,80,1,PASS,,72.3684054
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,100,11.8412679562456,19.9082312770802,18.5320358223343,4.92192923811057,0.0001,80,1,PASS,,71.8464973
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,20,20000,10,0.1,0,100,12.0692468765433,17.0077467621768,18.366396582421,4.92192923811057,0.0001,80,1,PASS,,72.6351346
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,20,20000,10,0.1,0,100,12.0557329076754,19.8175165609635,18.3761276458653,4.92192923811057,0.0001,80,1,PASS,,72.5416953
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,24,20000,10,0.1,0,100,7.73821459379478,23.7958343896678,22.2271846145269,4.92192923811057,0.0001,80,1,PASS,,69.4046392
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,24,20000,10,0.1,0,100,7.61335795316907,19.7676500029765,22.3684750147169,4.92192923811057,0.0001,80,1,PASS,,72.0131067
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,24,20000,10,0.1,0,100,7.57883219650791,23.8084897543152,22.4079541714879,4.92192923811057,0.0001,80,1,PASS,,71.5239598
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,24,20000,10,0.1,0,100,7.85994287906579,18.589884428292,22.0916122023586,4.92192923811057,0.0001,80,1,PASS,,72.5304764
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,24,20000,10,0.1,0,100,7.79304083876701,23.7209126214194,22.1658609574319,4.92192923811057,0.0001,80,1,PASS,,71.4258029
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,28,20000,10,0.1,0,100,5.24109333451558,27.691345791622,25.6115621243829,4.92192923811057,0.0001,80,1,PASS,,69.0377874
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,28,20000,10,0.1,0,100,5.03250928493369,20.8859683276574,25.9643083033842,4.92192923811057,0.0001,80,1,PASS,,72.1784877
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,28,20000,10,0.1,0,100,4.95493354052849,27.705718064925,26.0992433247862,4.92192923811057,0.0001,80,1,PASS,,71.4692516
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,28,20000,10,0.1,0,100,5.24824675891859,19.4208794230079,25.5997150750971,4.92192923811057,0.0001,80,1,PASS,,72.3392112
Boundary modulation,FACM ACM14,none,16APSK,none,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,28,20000,10,0.1,0,100,5.12297946438716,27.6070340483773,25.8095477000457,4.92192923811057,0.0001,80,1,PASS,,71.2604076
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"clean",0,0,1,1,-Inf,6,20000,10,0.1,0.5,25,28.2801285191972,10.9703724243406,10.9703724243406,3.72942707595543,0.0001,80,1,FAIL,,5.3801145
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,6,20000,10,0.1,0.5,0,31.0032808178977,10.1718469196262,10.1718469196262,3.8294224702847,0.0001,80,1,FAIL,,4.5132467
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,6,20000,10,0.1,0.5,0,28.7953008473665,10.8135675938233,10.8135675938233,3.69009524773207,0.0001,80,1,FAIL,,4.1859395
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,6,20000,10,0.1,0.5,0,32.8516202102946,9.66886413180177,9.66886413180177,3.67142208046204,0.0001,80,1,FAIL,,4.4073842
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,6,20000,10,0.1,0.5,0,31.2249982690653,10.1099515405724,10.1099515405724,3.78617471965927,0.0001,80,1,FAIL,,4.3000575
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"clean",0,0,1,1,-Inf,10,20000,10,0.1,0.000390625,90,16.1571085689453,15.8327271347266,15.8327271347266,3.77927143795247,0.0001,80,1,WARN,,5.3475329
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,10,20000,10,0.1,0.00604248046875,95,23.0030471259498,12.7642926167505,12.7642926167505,3.58612845794995,0.0001,80,1,WARN,,5.3693609
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,10,20000,10,0.1,0.00048828125,95,17.1304812545101,15.3246087205587,15.3246087205587,3.85847721532056,0.0001,80,1,WARN,,5.3999168
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,10,20000,10,0.1,0.0183454241071429,90,27.4144208759593,11.2404184813162,11.2404184813162,3.6439976231301,0.0001,80,1,FAIL,,5.3797481
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,10,20000,10,0.1,0.5,0,26.9499696428213,11.3888343935616,11.3888343935616,3.77487720272572,0.0001,80,1,FAIL,,4.1658568
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"clean",0,0,1,1,-Inf,14,20000,10,0.1,0,95,10.2457396598456,19.7891336713775,19.7891336713776,3.68158200932429,0.0001,80,1,PASS,,5.270999
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,14,20000,10,0.1,0.0392127403846154,95,19.7196433157246,14.1020188948064,14.1020188948064,3.84363259047767,0.0001,80,1,FAIL,,5.3398145
Boundary coding,8PSK LDPC1/2,LDPC,8PSK,LDPC,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,14,20000,10,0.1,0,95,11.2312470021011,18.9914404294184,18.9914404294184,3.82544222011266,0.0001,80,1,PASS,,5.2964934
