Modulation,TPCCodeRate,TPCBlocksPerTF,Note,InputSNR_dB,BER,FER,EVM_post_pct,SNR_est_dB,LockRate_pct,AcquisitionFrames,NumBytesInTransferFrame,Success,ErrorMsg
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0,0,34.6921574634116,9.19537382136617,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0,0,27.8303355948903,11.1096311330171,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0,0,22.1836362763687,13.0793452815691,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0,0,17.9511587115676,14.9181502667287,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0,0,14.3223247008186,16.8797296925226,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0,0,11.5599118171902,18.7409095768803,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0,0,9.29885837598511,20.6314073331011,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0,0,7.41700475908159,22.5954288465073,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0,0,6.13904249106534,24.2379872132495,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0,0,5.09782104296112,25.852308286784,100,2,2025,1,
BPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0,0,4.2201961611432,27.4933472380072,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0,0,34.3569710966657,9.27970260926462,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0,0,27.6029213294379,11.1808990470177,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0,0,22.3656216823952,13.0083805105407,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0,0,17.9732732081972,14.9074564802929,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0,0,14.3808820387909,16.8442895212991,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0,0,11.6383566762404,18.6821667456543,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0,0,9.26147411053522,20.6663976591914,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0,0,7.46063663460309,22.5444822304443,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0,0,6.13015339696662,24.250573156866,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0,0,5.0261696242799,25.9752571766047,100,2,2025,1,
QPSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0,0,4.20086661133245,27.5332221649167,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0.5,NaN,32.3052865335502,9.81452805214944,50,NaN,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0.49462962962963,1,40.4171711570564,7.86868173025565,45.4545454545455,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0,0,21.9077066297972,13.1880616684612,90.9090909090909,3,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0,0,17.7019273013378,15.0395889430812,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0,0,14.1912912077746,16.9595617611819,100,4,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0,0,11.7406408894705,18.6061639098709,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0,0,9.1879159478107,20.7356597287673,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0,0,7.44025098699347,22.5682482771797,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0,0,6.05285546966886,24.3607939213016,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0,0,5.0153925028452,25.9939014716167,100,2,2025,1,
8PSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0,0,4.21618050953248,27.501616074431,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0.505462962962963,1,24.4169494905319,12.2461719037958,90,7,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0.5,NaN,20.003489990969,13.9778845351283,70,NaN,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0.500679012345679,1,16.3570452630287,15.7259028908686,90,5,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0.225246913580247,0.666666666666667,13.5566813307844,17.3569322508622,63.6363636363636,3,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0,0,10.728066741002,19.3895706666662,81.8181818181818,4,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0,0,8.7161381608974,21.1935178860012,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0,0,7.08506791118964,22.9931196526816,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0,0,6.11451142894472,24.272764778082,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0,0,5.20526103787812,25.6711497247312,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0,0,4.6050315075247,26.7353478804727,100,2,2025,1,
GMSK,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0,0,4.16091194910418,27.6162294881438,100,2,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0.5,NaN,26.2748477804449,11.7135523509425,50,NaN,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0.5,NaN,25.2321281639548,12.3291268972887,80,NaN,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0.5,NaN,23.461451691697,13.1911105179526,50,NaN,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0.000108024691358025,1,21.7748462616309,14.0512009917488,100,4,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0,0,19.3397851648751,15.1967700982479,90.9090909090909,3,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0,0,17.5084343323477,16.0988696630499,100,4,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0,0,16.0431925171076,16.9176977710297,100,2,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0,0,14.9270149215433,17.5292066435639,100,4,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0,0,14.6635679372584,17.7288097345988,100,2,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0,0,13.9539671613671,18.1191166604526,100,2,2025,1,
16QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0,0,13.5169869455457,18.3706384654449,100,2,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",0,0.5,NaN,19.5562111384294,14.0362883124078,60,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",2,0.50037037037037,1,19.1717806636459,14.2706953530788,40,10,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",4,0.5,NaN,18.7386573970989,14.5110477205405,90,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",6,0.5,NaN,18.467545401954,14.7301397234569,100,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",8,0.5,NaN,18.2828123419005,14.9050173258592,50,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",10,0.5,NaN,18.1180502714314,15.126085054344,100,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",12,0.5,NaN,17.8074758691754,15.2625904446327,40,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",14,0.496123456790123,1,17.8803372806965,15.1298291243709,100,6,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",16,0.5,NaN,17.1938626797387,15.6489092168572,50,NaN,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",18,0.49962962962963,1,17.3684702550563,15.6479706744499,80,3,2025,1,
32QAM,1/2,8,"TM TPC rate 1/2, 8 blocks/TF",20,0.5,NaN,16.9835226451022,15.8460962101403,100,NaN,2025,1,
