Coding,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct
LDPC 1/2,0,0.5,45.0515392551128,6.92580732185304,0
LDPC 1/2,2,0.5,31.0688566465712,10.1534945752105,0
LDPC 1/2,4,0.5,44.0826368231447,7.11464871711283,0
LDPC 1/2,6,0.000325520833333333,17.4785181007039,15.1499078275894,87.5
LDPC 1/2,8,0,13.9878677164898,17.084969669478,91.6666666666667
LDPC 1/2,10,0,11.323664491906,18.9202601359663,95.8333333333333
LDPC 1/2,12,0,9.02441506362388,20.8916187643421,91.6666666666667
LDPC 1/2,14,0,7.12420378001974,22.9452733302949,95.8333333333333
LDPC 1/2,16,0,5.72461735233236,24.8450707468335,91.6666666666667
LDPC 1/2,18,0,4.58321208946447,26.7766009037494,91.6666666666667
LDPC 1/2,20,0,3.64849262299986,28.7577305504768,91.6666666666667
LDPC 1/2,22,0,2.97606190356956,30.5271607898133,91.6666666666667
LDPC 1/2,24,0,2.44436089418199,32.2366934581068,91.6666666666667
LDPC 1/2,26,0,2.04248491421177,33.7968228496298,91.6666666666667
