Modulation,TPCCodeRate,TPCBlocksPerTF,Note,InputSNR_dB,BER,FER,EVM_post_pct,SNR_est_dB,LockRate_pct,AcquisitionFrames,NumBytesInTransferFrame,Success,ErrorMsg
32QAM,2/3,1,"VALID TPC: 2/3, N=1",0,0.5,NaN,20.1715644737021,13.7510215013356,70,NaN,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",2,0.5,NaN,19.4750446373548,14.1580002106559,60,NaN,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",4,0.504992603550296,1,18.4882572701215,14.6814934229542,90,2,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",6,0.49426775147929,1,17.3335534149871,15.3576980520257,80,5,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",8,0.0931336291913215,0.5,17.084648092339,15.4914042529503,90.9090909090909,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",10,9.24556213017751e-05,0.125,15.181863570699,16.6799812021281,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",12,0,0,12.4955410252182,18.4499876258263,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",14,0,0,10.4327515586469,20.0771067147614,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",16,0,0,9.47424322566513,20.9229651553048,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",18,0,0,8.61277321507941,21.7444183794836,100,4,338,1,
32QAM,2/3,1,"VALID TPC: 2/3, N=1",20,0,0,9.1441278879292,21.2106197389981,100,4,338,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",0,0.49010724852071,1,19.9529806362493,13.7366635633467,44.4444444444444,5,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",2,0.499815088757396,1,19.4020402365146,14.0740803229394,30,5,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",4,0.5,NaN,18.6001305943661,14.6183573457781,70,NaN,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",6,0.502477810650888,1,17.5508539145602,15.1713296795594,90,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",8,0.00718512256973795,0.857142857142857,15.5672797754851,16.3540506117599,90.9090909090909,5,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",10,2.31139053254438e-05,0.125,13.8667088535918,17.5040888943076,100,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",12,0,0,12.9046894310313,18.1292476680265,100,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",14,0,0,10.9280323819531,19.6139314889218,100,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",16,0,0,9.73956562558795,20.6986838612166,100,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",18,0,0,9.06096597461813,21.2568340064249,100,4,676,1,
32QAM,2/3,2,"VALID TPC: 2/3, N=2",20,0,0,8.80541877658323,21.5040561393971,100,4,676,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",0,0.498582347140039,1,20.201922435117,13.6322861984843,60,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",2,0.5,NaN,19.4570231957174,14.0732757128705,90,NaN,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",4,0.50314349112426,1,18.6061587184753,14.5705811185105,40,5,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",6,0.502218934911243,1,16.8952346396888,15.5653224867067,90,7,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",8,0.497150997150997,1,15.4573475948454,16.4782185395988,100,2,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",10,4.62278106508876e-05,0.25,13.7929118599199,17.5808270000831,100,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",12,0,0,12.2550332026271,18.6073375916046,100,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",14,0,0,10.6236339987112,19.9130315758666,100,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",16,0,0,9.65746492217683,20.7299095672008,100,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",18,0,0,8.87467447269734,21.4751308605601,100,4,1014,1,
32QAM,2/3,3,"VALID TPC: 2/3, N=3",20,0,0,8.49062390666344,21.8543590391049,90.9090909090909,3,1014,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",0,0.5,NaN,20.1340483895841,13.7285000014186,50,NaN,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",2,0.5,NaN,19.4515482512962,14.1114971438716,40,NaN,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",4,0.5,NaN,18.4882079911287,14.6835913949398,72.7272727272727,NaN,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",6,0.49269600591716,1,17.3022131670545,15.3079296844571,40,8,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",8,0.00465359960552268,1,15.9517926713553,16.169578297728,90.9090909090909,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",10,2.31139053254438e-05,0.25,13.6449372584211,17.6875653690899,100,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",12,0,0,12.0670730946,18.7495511397796,100,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",14,0,0,10.8050572473323,19.6998106246525,100,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",16,0,0,8.97742848231561,21.3745121886215,100,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",18,0,0,9.18290592902179,21.1438885489648,100,4,1352,1,
32QAM,2/3,4,"VALID TPC: 2/3, N=4",20,0,0,9.16647282790518,21.2000980346315,100,4,1352,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",0,0.5,NaN,19.936566568953,13.7794717231361,50,NaN,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",2,0.5,NaN,19.1936686221405,14.1862517359538,70,NaN,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",4,0.5,NaN,18.6415198143155,14.6253236491851,70,NaN,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",6,0.5,NaN,17.6266704584494,15.1992283805397,50,NaN,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",8,0.499802761341223,1,15.4458460699349,16.4810835174523,100,2,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",10,0.00692492603550296,0.375,13.9476458284116,17.4455059460401,100,4,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",12,0,0,11.8652964503534,18.9198186355775,100,4,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",14,0,0,10.4569149066236,20.0460229075745,100,4,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",16,0,0,9.60535907743001,20.7487843522882,100,4,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",18,0,0,8.82517048803467,21.4502299089828,100,4,1690,1,
32QAM,2/3,5,"VALID TPC: 2/3, N=5",20,0,0,8.23882462358275,22.0569598131879,100,4,1690,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",0,0.5,NaN,20.0685474009478,13.7839593308551,50,NaN,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",2,0.5,NaN,19.2832926209752,14.1349835052578,70,NaN,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",4,0.5,NaN,18.1377385163608,14.8825449393773,80,NaN,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",6,0.502126479289941,1,17.2761396080183,15.3794381488189,70,2,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",8,0.501633382642998,1,15.8883087037169,16.2239600172243,100,2,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",10,6.16370808678501e-05,0.25,14.7819727985914,16.8679056036357,100,4,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",12,0,0,12.4117466630342,18.5290489119654,100,4,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",14,0,0,10.801267100589,19.7450643923131,100,4,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",16,0,0,9.21808944797539,21.1750978042277,100,4,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",18,0,0,9.38183487496221,20.9889674179949,100,4,2028,1,
32QAM,2/3,6,"VALID TPC: 2/3, N=6",20,0,0,8.64053999900946,21.6777363707722,100,4,2028,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",0,0.499876543209877,1,19.686511237558,13.9850584640696,40,10,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",2,0.5,NaN,19.1469190668691,14.3840017762536,70,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",4,0.5,NaN,18.8557631936268,14.482771224394,70,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",6,0.501666666666667,1,18.4900716899094,14.7696529570454,60,10,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",8,0.5,NaN,18.3704073342863,14.8500424311944,40,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",10,0.5,NaN,17.9178097628314,15.174558369869,100,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",12,0.5,NaN,17.6609633769628,15.3117874340789,40,NaN,2025,1,
32QAM,1/2,8,"VALID TPC: 1/2, N=8",14,0.5,NaN,17.7980541707964,15.2987086303811,50,NaN,2025,1,
