Mode,BER,Lock_pct,FER,EVM_pct,RadialEVM_pct,TangentialEVM_pct,MER_dB,Status
off,0,77.7777777777778,0,6.16383907411736,6.0877695755049,0.965387863593093,24.2029741678431,FAIL_METRIC
power-window,5.60538116591928e-05,88.8888888888889,0.166666666666667,7.81037237847003,7.75286402937898,0.946052869732518,22.1465651917,FAIL_METRIC
rde,0,88.8888888888889,0,6.42216040127967,6.34890956405957,0.967208130216863,23.846377032006,FAIL_METRIC
