CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain,BPSK,none,none,1115,NaN,0,NaN,1,1,0,1,4.0766408479413e-05,100,0.0649350649350649,77,79,0.00892,0.70468,0.68684,1.97505807086231,34.0884026135676,34.0884026135652,0.00600426231493676,14.096489572254,1.92865493310657e-15,4.25742617423947,1,OK,,8.0433468
2,H_EQ_rawGain,BPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.00140757349277529,70.8860759493671,0.037037037037037,54,56,0.01784,0.99904,0.96336,100,-1.92865493310657e-15,-9.64327466553287e-16,-0,12.6726363521363,1.92865493310657e-15,3.02204500819957,1,OK,,32.8212672
