CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,37,39,0.00892,0.34788,0.33004,3.72927467929246,28.5675125510216,28.5675125510216,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.0915807
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.01784,0.67792,0.64224,3.75192912257745,28.5149074888245,28.5149074888245,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.8545213
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.01338,0.50844,0.48168,3.73566567291683,28.5526399663144,28.5526399663144,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.3286047
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0118933333333333,0.451946666666667,0.42816,3.74701944486125,28.5262810632693,28.5262810632693,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.2263145
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0107136,0.4071168,0.3856896,3.73314742449547,28.5584971830937,28.5584971830937,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.1819508
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,36,38,0.0102674285714286,0.390162285714286,0.369627428571429,3.74132885213808,28.5394823375484,28.5394823375484,NaN,0,NaN,NaN,,NaN,NaN,0,1,OK,,3.0284683
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.00892,0.34788,0.33004,3.72927483429809,28.5675121899965,28.5675121899965,NaN,13.8751371877961,1.92865493310657e-15,4.14074205008995,wrap,10,0.35808,0,1,OK,,3.3410337
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.01784,0.67792,0.64224,3.75192911843461,28.5149074984154,28.5149074984154,NaN,14.0925539067431,1.92865493310657e-15,4.25742617423947,wrap,10,0.71616,0,1,OK,,4.9032475
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.01338,0.50844,0.48168,3.73566567237297,28.5526399675789,28.5526399675789,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,1,OK,,4.2114578
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.0118933333333333,0.451946666666667,0.42816,3.74701944444297,28.5262810642389,28.5262810642389,NaN,13.7171218457749,1.92865493310657e-15,4.06631669398318,wrap,10,0.47744,0,1,OK,,3.9110682
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.0107136,0.4071168,0.3856896,3.73314742208249,28.558497188708,28.558497188708,NaN,13.825729780062,1.92865493310657e-15,4.11398608775212,wrap,10,0.43008,0,1,OK,,3.7324172
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.0102674285714286,0.390162285714286,0.369627428571429,3.74132885003845,28.539482342423,28.539482342423,NaN,13.7720333805028,1.92865493310657e-15,4.0876403367562,wrap,10,0.41216,0,1,OK,,3.6437026
