CaseIndex,Scenario,ModType,ChannelCoding,Rate,RandomizerEnabled,RandomizerFECPosition,DataPathMode,ConvolutionalG1G2Mode,RequestedCFO_Hz,CarrierCaptureRangeConfigured_Hz,RequestedPhaseOffset_deg,RequestedDelay_samples,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,EVMRadial_pct,EVMTangential_pct,ResidualPhaseRMS_deg,ResidualRadiusRMS_dB,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,HResponseMode,HApplyPMode,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,ConverterChainEnabled,BasebandIFLevel_dBm,UpconverterNetGain_dB,UpconverterAttenuation_dB,UpconverterOutputLevel_dBm,UpconverterCompressionRisk,HAppliedGain_dB,DownconverterInputLevel_dBm,DownconverterNetGain_dB,DownconverterAttenuation_dB,DownconverterAutoAttenuation,DownconverterOutputLevel_dBm,DownconverterInputWithinTypicalRange,DownconverterCompressionRisk,ADCEquivalentEnabled,ADCRMSBackoff_dB,ADCClip_pct,EqualizerMode,FastEnvelopeEstimatorMode,FastEnvelopeTauSymbols,FastEnvelopeBlockSymbols,FastEnvelopeHopSymbols,FastEnvelopeGainSlewDBPerSymbol,FastEnvelopeMinGainLimit_dB,FastEnvelopeMaxGainLimit_dB,FastEnvelopeObservedMin_dB,FastEnvelopeObservedMax_dB,DDWindowSymbols,DDMinWindowAcceptance,DDPassesEffective,ScalarDDPassesConfigured,DecisionGate,CMASwitchMSE,CMAMSE,DDAcceptanceRate_pct,DDMSE,ASMTrainingCount,ASMTrainingUpdates,ASMTrainingScoreBefore,ASMTrainingScoreAfter,PredecoderBER,PredecoderOffset,PredecoderPolarity,PredecoderTxFrameOffset,PredecoderASMAligned,PredecoderBitErrors,PredecoderBitsCompared,PredecoderSteadyBER,PredecoderSteadyBitErrors,PredecoderSteadyBitsCompared,PredecoderFramesCompared,PredecoderFrameBERP95,PredecoderFrameBERMax,ASMFramePhaseCorrectionEnabled,ASMFramePhaseCorrectionApplied,ASMFramePhaseCorrectionFrames,ASMFramePhaseCorrectionReliableFrames,ASMFramePhaseCycleSlipsBefore,ASMFramePhaseCycleSlipsAfter,DDWindowCount,DDGoodWindows,DDHoldWindows,DDFadeHoldWindows,PilotDataFadeSymbols,PilotDataFadeFraction_pct,ExternalFadeMaskProvided,ExternalFadeMaskLengthMatched,ExternalFadeMaskInputLength,ExternalFadeInputSymbols,ExternalFadeExpandedSymbols,DDExternalFadeHoldWindows,DDExternalFadeHoldSymbols,HighRatePhaseTrackingApplied,HighRatePhaseWindowSymbols,HighRatePhaseMeanConfidence,HighRatePhaseHoldSamples,UQPSKPostCarrierEQEnabled,APSKReceiverMode,QAMBlindPhaseSearchApplied,QAMBlindPhaseSearchReliableRate_pct,QAMBlindPhaseSearchMedianMetric,QAMBlindPhaseSearchFinalCorrection_deg,QAMPowerGainApplied,QAMPowerGainAcceptanceRate_pct,QAMPowerGainRegularization,QAMPowerGainMaxInverseGainDB,QAMPowerGainInverseMaxObserved_dB,PilotlessAPSKApplied,PilotlessAPSKCoarsePowerOrder,PilotlessAPSKFourthPowerCFO_Hz,PilotlessAPSKFourthPowerConfidence_dB,PilotlessAPSKNDAResidualCFO_Hz,PilotlessAPSKNDAResidualCFOApplied,PilotlessAPSKMthPowerPhaseTrackerApplied,PilotlessAPSKMthPowerPhaseFinalCorrection_deg,PilotlessAPSKMthPowerPhaseMedianConfidence,PilotlessAPSKBlindPhaseSearchApplied,PilotlessAPSKBlindPhaseSearchReliableRate_pct,PilotlessAPSKBlindPhaseSearchMedianMetric,PilotlessAPSKBlindPhaseSearchFinalCorrection_deg,PilotlessAPSKPreDDGainApplied,PilotlessAPSKPreDDGainAcceptanceRate_pct,PilotlessAPSKPreDDGainHoldFraction_pct,PilotlessAPSKPreDDGainFadeFraction_pct,PilotlessAPSKPreDDGainFinalMagnitude_dB,PilotlessAPSKCarrierAcceptanceRate_pct,PilotlessAPSKCarrierHoldFraction_pct,PilotlessAPSKCarrierPhaseErrorRMS_deg,PilotlessAPSKResidualFrequency_Hz,PilotlessAPSKGainAcceptanceRate_pct,PilotlessAPSKGainRegularization,PilotlessAPSKGainMaxInverseGainDB,PilotlessAPSKGainInverseMaxObserved_dB,GMSKSecondOrderPLLApplied,GMSKSecondOrderPLLLocked,GMSKSecondOrderPLLFinalFrequency_Hz,GMSKSecondOrderPLLFrequencyMin_Hz,GMSKSecondOrderPLLFrequencyMax_Hz,GMSKSecondOrderPLLUpdateAcceptanceRate,GMSKSecondOrderPLLFadeHoldSamples,GMSKSecondOrderPLLMeanAbsPhaseError,GMSKResidualTrackerApplied,GMSKResidualWindowCount,GMSKResidualAcceptedWindows,GMSKResidualHoldWindows,GMSKResidualMedian_Hz,GMSKResidualRMS_Hz,GMSKResidualMedianConfidence_dB,GMSKResidualCandidateFiniteRate,GMSKResidualCandidateMedian_Hz,GMSKResidualCandidateRMS_Hz,GMSKResidualConfidenceRejectedWindows,GMSKResidualRangeRejectedWindows,GMSKResidualRawAcceptedRate,GMSKResidualRawMin_Hz,GMSKResidualRawMedian_Hz,GMSKResidualRawMax_Hz,GMSKResidualRawRMS_Hz,GMSKResidualJumpMax_Hz,GMSKResidualJumpRMS_Hz,GMSKResidualPhaseCorrectionEnd_deg,QualityMetricType,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,QPSK,convolutional,1/2,0,afterEncoding,single,G1G2-inverted,0,NaN,0,0,1115,NaN,0,NaN,0,0,0,0,0,100,0,10,14,0.000892,0.012488,0.00892,1.2489308203052,0.884357033006343,0.881896157197914,0.505512224493451,0.0768460974009047,38.0692323404721,NaN,0.0439773953589997,NaN,NaN,NaN,,NaN,NaN,0,,1,afterChannel,psd,-115.3,13500000,-43.9966623150499,33.9966623150499,0,-10,0,21,-10,0,0,-10,0,21,1,-10,0,0,0,NaN,0,,auto,NaN,256,64,0.05,-40,100,NaN,NaN,256,0.75,NaN,1,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.000188519839967603,0,1,0,1,54,286442,0,0,196944,11,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,1,pilotless,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,not-applicable,1,PASS,,4.2851431
2,NoH_baseline,32APSK,convolutional,1/2,0,afterEncoding,single,G1G2-inverted,0,NaN,0,0,1115,NaN,0,NaN,0,0,0,0,0,100,0,10,13,0.0003568,0.0046384,0.003568,5.37277373594747,5.29853909419922,0.890045552165437,0.854259565724826,0.496249436946553,25.3960289704931,NaN,-0.0470059902216818,NaN,NaN,NaN,,NaN,NaN,0,,1,afterChannel,psd,-115.3,13500000,-43.9966623150499,33.9966623150499,0,-10,0,21,-10,0,0,-10,0,21,1,-10,0,0,0,NaN,0,,auto,NaN,256,64,0.05,-40,100,NaN,NaN,256,0.75,NaN,1,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.00953744608776127,0,1,0,1,2731,286345,0,0,196944,11,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,1,pilotless,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,48,-1.81534128730876,32.5963650834692,283.465145838879,0,0,NaN,NaN,1,98.980518120243,0.00236613478003375,-626.498611503893,0,NaN,NaN,NaN,NaN,98.7849162011173,0,1.19925956169436,0,99.9336592178771,0,40,4.68061379444294,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,not-applicable,1,PASS,,2.8968476
3,H_EQ_normH_std4_ITU_P681,QPSK,convolutional,1/2,0,afterEncoding,single,G1G2-inverted,0,NaN,0,0,1115,NaN,0,NaN,1,1,1,1,0,100,0,10,14,0.000892,0.012488,0.00892,3.46900774473889,2.63187931594063,2.25991725498575,1.3015590464135,0.230754974512135,29.19589461144,NaN,-0.0343375045096528,NaN,NaN,NaN,,NaN,NaN,0,,1,afterChannel,psd,-115.3,13500000,-43.9966623150499,33.99666231505,0,-10,0,21,-10,0,5.97883029263034e-14,-9.99999999999994,0,21,1,-9.99999999999994,0,0,0,NaN,0,blind-cma-lms,auto,64,256,64,0.05,-40,100,2.68716273646282,29.0149052978455,256,0.75,NaN,1,NaN,0.245,0.0199876322167125,99.984639231403,0.00151162487459905,0,0,NaN,NaN,1.7455418860231e-05,0,1,0,1,5,286444,0,0,196944,11,0,0,0,0,0,0,0,NaN,560,560,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,1,pilotless,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,not-applicable,1,PASS,,2.7806276
4,H_EQ_normH_std4_ITU_P681,32APSK,convolutional,1/2,0,afterEncoding,single,G1G2-inverted,0,NaN,0,0,1115,NaN,0,NaN,1,1,1,1,0,100,0,10,13,0.0003568,0.0046384,0.003568,5.38226214624225,5.29265808492834,0.978016465564304,0.951121601689523,0.496984797241354,25.3807030697809,NaN,-0.172603125232651,NaN,NaN,NaN,,NaN,NaN,0,,1,afterChannel,psd,-115.3,13500000,-43.9966623150499,33.99666231505,0,-10,0,21,-10,0,6.07526303928567e-14,-9.99999999999994,0,21,1,-9.99999999999994,0,0,0,NaN,0,blind-cma-lms,auto,NaN,256,64,0.05,-40,100,NaN,NaN,256,0.75,NaN,1,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0.026188688470202,0,1,0,1,7499,286345,0,0,196944,11,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,0,1,pilotless,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,48,-35460.3543828221,40.2947467200806,-54.2522295187485,1,0,NaN,NaN,1,96.3968996578451,0.00254659011753366,-1317.96784225294,0,NaN,NaN,NaN,NaN,46.8435754189944,0,2.92703307631696,0,99.7311452513966,0,40,15.2192000714304,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,NaN,NaN,0,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,not-applicable,1,PASS,,3.4980886
