CaseId,Name,Category,Status,Pass,Success,Seed,BER,LockRate,FER,MER_dB,EVM_post_pct,CountedFrames,MatchedFrames,AcquisitionFrames,ElapsedTime,FailedChecks,ErrorIdentifier,ErrorMessage,StartedAt,FinishedAt,I_BER,I_LockRate,I_FER,I_BitErrors,I_BitsCompared,I_FrameErrors,I_CountedFrames,I_MatchedFrames,I_DecodedFrames,I_AcquisitionFrames,I_PredecoderBER,I_PredecoderOffset,I_PredecoderPolarity,I_PredecoderBitErrors,I_PredecoderBitsCompared,Q_BER,Q_LockRate,Q_FER,Q_BitErrors,Q_BitsCompared,Q_FrameErrors,Q_CountedFrames,Q_MatchedFrames,Q_DecodedFrames,Q_AcquisitionFrames,Q_PredecoderBER,Q_PredecoderOffset,Q_PredecoderPolarity,Q_PredecoderBitErrors,Q_PredecoderBitsCompared,SplitReceiverIQPhase,UQPSKSymSkip,SplitReceiverStructureScore,SplitReceiverTMValidFrames,SplitReceiverTMMinValidFrames,SplitReceiverTMMaxCounterRun,SplitReceiverTMOrientationScore,CRCCheckedFrames,CRCErrorFrames,CRCErrorRate,PredecoderBER,PredecoderOffset,PredecoderPolarity,PredecoderTxFrameOffset,PredecoderASMAligned,PredecoderBitErrors,PredecoderBitsCompared,PredecoderSteadyBER,PredecoderSteadyBitErrors,PredecoderSteadyBitsCompared,PredecoderFramesCompared,PredecoderFrameBERP95,PredecoderFrameBERMax,ASMFramePhaseCorrectionEnabled,ASMFramePhaseCorrectionApplied,ASMFramePhaseCorrectionFrames,ASMFramePhaseCorrectionReliableFrames,ASMFramePhaseCycleSlipsBefore,ASMFramePhaseCycleSlipsAfter,EVMRadial_pct,EVMTangential_pct,ResidualPhaseRMS_deg,ResidualRadiusRMS_dB,DemodNoiseVariance,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,NoiseReferenceLevel_dBm,ConverterChainEnabled,BasebandIFLevel_dBm,UpconverterNetGain_dB,UpconverterAttenuation_dB,UpconverterOutputLevel_dBm,UpconverterCompressionRisk,HAppliedGain_dB,DownconverterInputLevel_dBm,DownconverterNetGain_dB,DownconverterAttenuation_dB,DownconverterAutoAttenuation,DownconverterOutputLevel_dBm,DownconverterInputWithinTypicalRange,DownconverterCompressionRisk,ADCEquivalentEnabled,ADCRMSBackoff_dB,ADCClipFraction,GMSKResidualTrackerApplied,GMSKResidualWindowCount,GMSKResidualAcceptedWindows,GMSKResidualHoldWindows,GMSKResidualWindowSymbols,GMSKResidualHopSymbols,GMSKResidualMin_Hz,GMSKResidualMedian_Hz,GMSKResidualMax_Hz,GMSKResidualRMS_Hz,GMSKResidualFinal_Hz,GMSKResidualMedianConfidence_dB,GMSKResidualCandidateFiniteRate,GMSKResidualCandidateMin_Hz,GMSKResidualCandidateMedian_Hz,GMSKResidualCandidateMax_Hz,GMSKResidualCandidateRMS_Hz,GMSKResidualNonfiniteWindows,GMSKResidualConfidenceRejectedWindows,GMSKResidualRangeRejectedWindows,GMSKResidualRawAcceptedRate,GMSKResidualRawMin_Hz,GMSKResidualRawMedian_Hz,GMSKResidualRawMax_Hz,GMSKResidualRawRMS_Hz,GMSKResidualJumpMax_Hz,GMSKResidualJumpRMS_Hz,GMSKResidualPhaseCorrectionEnd_deg,TMAPSKPilotFadeFraction,TMAPSKPilotDataFadeSymbols,TMAPSKPilotDataFadeFraction,TMAPSKPilotMaxAppliedGain_dB,TMAPSKPilotNoiseVariance,UQPSKPostCarrierEQEnabled,HighRatePhaseTrackingApplied,HighRatePhaseWindowSymbols,HighRatePhaseMeanConfidence,HighRatePhaseHoldSamples,UQPSKCarrierPLLApplied,UQPSKCarrierPLLDualBandwidth,UQPSKCarrierPLLLocked,UQPSKCarrierPLLAcquireBW,UQPSKCarrierPLLTrackBW,UQPSKCarrierPLLFinalFrequency_Hz,UQPSKCarrierPLLLockTransitions,UQPSKCarrierPLLReacquisitions,UQPSKCarrierPLLFadeHoldSymbols,UQPSKCarrierPLLUpdateAcceptanceRate,UQPSKCarrierPLLMeanAbsPhaseError,PilotlessAPSKApplied,PilotlessAPSKCoarsePowerOrder,PilotlessAPSKFourthPowerCFO_Hz,PilotlessAPSKFourthPowerConfidence_dB,PilotlessAPSKNDAResidualCFO_Hz,PilotlessAPSKNDAResidualCFOApplied,PilotlessAPSKMthPowerPhaseTrackerApplied,PilotlessAPSKMthPowerPhaseFinalCorrection_deg,PilotlessAPSKMthPowerPhaseMedianConfidence,PilotlessAPSKBlindPhaseSearchApplied,PilotlessAPSKBlindPhaseSearchReliableRate,PilotlessAPSKBlindPhaseSearchMedianMetric,PilotlessAPSKBlindPhaseSearchFinalCorrection_deg,PilotlessAPSKPreDDGainApplied,PilotlessAPSKPreDDGainAcceptanceRate,PilotlessAPSKPreDDGainHoldFraction,PilotlessAPSKPreDDGainFadeFraction,PilotlessAPSKPreDDGainFinalMagnitude_dB,PilotlessAPSKCarrierAcceptanceRate,PilotlessAPSKCarrierHoldFraction,PilotlessAPSKCarrierFadeFraction,PilotlessAPSKCarrierPhaseErrorRMS_deg,PilotlessAPSKResidualFrequency_Hz,PilotlessAPSKComplexGainEnabled,PilotlessAPSKGainAcceptanceRate,PilotlessAPSKGainHoldFraction,PilotlessAPSKGainFadeFraction,PilotlessAPSKFinalGainMagnitude_dB,PilotlessAPSKFinalGainPhase_deg,PilotlessAPSKGainRegularization,PilotlessAPSKGainMaxInverseGainDB,PilotlessAPSKGainInverseMaxObserved_dB,QAMBlindPhaseSearchApplied,QAMBlindPhaseSearchReliableRate,QAMBlindPhaseSearchMedianMetric,QAMBlindPhaseSearchFinalCorrection_deg,QAMPowerGainApplied,QAMPowerGainAcceptanceRate,QAMPowerGainRegularization,QAMPowerGainMaxInverseGainDB,QAMPowerGainInverseMaxObserved_dB,FastEnvelopeApplied,FastEnvelopeTauSymbols,FastEnvelopeFinalGain_dB,FastEnvelopeGainMin_dB,FastEnvelopeGainMax_dB,AdaptiveEqualizerAcceptanceRate,AdaptiveEqualizerCMAMSE,AdaptiveEqualizerDDMSE,AdaptiveEqualizerRejectedDecisions,AdaptiveEqualizerFinalTapNorm,AdaptiveEqualizerCMASwitchMSE,AdaptiveEqualizerCMAConfidenceRate,AdaptiveEqualizerCMAQualified,AdaptiveEqualizerScalarMode,AdaptiveEqualizerSideTapEnergyRatio,AdaptiveEqualizerDDWindowSymbols,AdaptiveEqualizerDDMinWindowAcceptance,AdaptiveEqualizerDDWindowCount,AdaptiveEqualizerDDGoodWindows,AdaptiveEqualizerDDHoldWindows,AdaptiveEqualizerDDFadeHoldWindows,AdaptiveEqualizerExternalFadeMaskProvided,AdaptiveEqualizerExternalFadeMaskLengthMatched,AdaptiveEqualizerExternalFadeMaskInputLength,AdaptiveEqualizerExternalFadeInputSymbols,AdaptiveEqualizerExternalFadeExpandedSymbols,AdaptiveEqualizerDDExternalFadeHoldWindows,AdaptiveEqualizerDDExternalFadeHoldSymbols,AdaptiveEqualizerFadeHoldDB,AdaptiveEqualizerInputStructureMSE,AdaptiveEqualizerOutputStructureMSE,AdaptiveEqualizerQualityImprovement,AdaptiveEqualizerOutputAccepted,ASMTrainingEqualizerASMCount,ASMTrainingEqualizerUpdates,ASMTrainingEqualizerMedianScoreBefore,ASMTrainingEqualizerMedianScoreAfter,GMSKSecondOrderPLLApplied,GMSKSecondOrderPLLLocked,GMSKSecondOrderPLLFinalFrequency_Hz,GMSKSecondOrderPLLFrequencyMin_Hz,GMSKSecondOrderPLLFrequencyMax_Hz,GMSKSecondOrderPLLUpdateAcceptanceRate,GMSKSecondOrderPLLFadeHoldSamples,GMSKSecondOrderPLLMeanAbsPhaseError,SplitReceiverStructureSelectionMethod,UQPSKSymSkipSelectionMethod
h.noh.baseline.qpsk.convolutional.1.2,NoH_baseline | QPSK | convolutional | 1/2,h_channel,PASS,1,1,1434956830,0,1,0,38.0692323404721,1.2489308203052,10,14,3,4.2851431,,,,2026-08-24T01:47:51.098,2026-08-24T01:47:55.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0.000188519839967603,0,1,0,1,54,286442,0,0,196944,11,0,0,0,0,0,0,0,NaN,0.884357033006343,0.881896157197914,0.505512224493451,0.0768460974009047,NaN,13500000,-43.9966623150499,33.9966623150499,-10,0,-10,0,21,-10,0,0,-10,0,21,1,-10,0,0,0,NaN,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,,
h.noh.baseline.32apsk.convolutional.1.2,NoH_baseline | 32APSK | convolutional | 1/2,h_channel,PASS,1,1,1276759781,0,1,0,25.3960289704931,5.37277373594747,10,13,4,2.8968476,,,,2026-08-24T01:47:55.815,2026-08-24T01:47:58.779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0.00953744608776127,0,1,0,1,2731,286345,0,0,196944,11,0,0,0,0,0,0,0,NaN,5.29853909419922,0.890045552165437,0.854259565724826,0.496249436946553,0.00187902457485166,13500000,-43.9966623150499,33.9966623150499,-10,0,-10,0,21,-10,0,0,-10,0,21,1,-10,0,0,0,NaN,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,1,48,-1.81534128730876,32.5963650834692,283.465145838879,0,0,NaN,NaN,1,0.98980518120243,0.00236613478003375,-626.498611503893,0,NaN,NaN,NaN,NaN,0.987849162011173,0,0,1.19925956169436,0,1,0.999336592178771,0,0,-0.101844926445744,0,0,40,4.68061379444294,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,,
h.h.eq.normh.std4.itu.p681.qpsk.convolutional.1.2,H_EQ_normH_std4_ITU_P681 | QPSK | convolutional | 1/2,h_channel,PASS,1,1,1434956830,0,1,0,29.19589461144,3.46900774473889,10,14,3,2.7806276,,,,2026-08-24T01:47:58.839,2026-08-24T01:48:01.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,1.7455418860231e-05,0,1,0,1,5,286444,0,0,196944,11,0,0,0,0,0,0,0,NaN,2.63187931594063,2.25991725498575,1.3015590464135,0.230754974512135,NaN,13500000,-43.9966623150499,33.99666231505,-10,0,-10,0,21,-10,0,5.97883029263034e-14,-9.99999999999994,0,21,1,-9.99999999999994,0,0,0,NaN,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1,64,9.29859050657246,2.68716273646282,29.0149052978455,0.99984639231403,0.0199876322167125,0.00151162487459905,22,0.999622433021029,0.245,0.989,1,0,0.000113689999879153,256,0.75,560,560,0,0,0,0,0,0,0,0,0,-12,0.00166947401824244,0.0015326583373511,0.0819513687522791,1,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,,
h.h.eq.normh.std4.itu.p681.32apsk.convolutional.1.2,H_EQ_normH_std4_ITU_P681 | 32APSK | convolutional | 1/2,h_channel,PASS,1,1,1276759781,0,1,0,25.3807030697809,5.38226214624225,10,13,4,3.4980886,,,,2026-08-24T01:48:01.755,2026-08-24T01:48:05.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0.026188688470202,0,1,0,1,7499,286345,0,0,196944,11,0,0,0,0,0,0,0,NaN,5.29265808492834,0.978016465564304,0.951121601689523,0.496984797241354,0.00225123093586558,13500000,-43.9966623150499,33.99666231505,-10,0,-10,0,21,-10,0,6.07526303928567e-14,-9.99999999999994,0,21,1,-9.99999999999994,0,0,0,NaN,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,1,48,-35460.3543828221,40.2947467200806,-54.2522295187485,1,0,NaN,NaN,1,0.963968996578451,0.00254659011753366,-1317.96784225294,0,NaN,NaN,NaN,NaN,0.468435754189944,0,0.0340258379888268,2.92703307631696,0,1,0.997311452513966,0,0,-1.14086359992043,0,0,40,15.2192000714304,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,,
