Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Seed,BER,LockRate_pct,FER,EVM_post_pct,MER_dB,SNR_est_dB,FrameErrors,CountedFrames,MatchedFrames,DecodedFrames,HGain_dB,Pass,Success,ErrorMsg,ElapsedTime_s
default_ChannelData,GMSK,"RS(255,223)_D4",223,4,892,1020,1,0,67.6470588235294,0,8.095919945092,21.8346758983678,21.8346758983678,0,21,23,34,17.9350461933797,0,1,,3.5282452
default_ChannelData,GMSK,"RS(255,223)_D5",223,5,1115,1275,1,0.0102707830286306,82.3529411764706,0.0384615384615385,9.40390658569411,20.5338338723521,20.5338338723521,1,26,28,34,17.6934584109114,0,1,,3.7868341
default_ChannelData,GMSK,"RS(255,223)_D8",223,8,1784,2040,1,0.0496223743214539,61.7647058823529,0.105263157894737,4.658042064511,26.6359318776303,26.6359318776303,2,19,21,34,17.6601981977762,0,1,,4.8087151
default_ChannelData,GMSK,"RS(255,239)_D2",239,2,478,510,1,0,61.7647058823529,0,4.34559917510601,27.2390066834923,27.2390066834923,0,19,21,34,18.1538440455445,0,1,,2.7373264
default_ChannelData,GMSK,"RS(255,239)_D4",239,4,956,1020,1,0,67.6470588235294,0,7.61569343010587,22.3658109360985,22.3658109360985,0,21,23,34,17.9350461933797,0,1,,3.4671535
default_ChannelData,GMSK,"RS(255,239)_D5",239,5,1195,1275,1,0.0121258448664306,82.3529411764706,0.0384615384615385,9.60955005344577,20.3459389352459,20.3459389352459,1,26,28,34,17.6934584109114,0,1,,3.7721549
default_ChannelData,GMSK,"RS(255,239)_D8",239,8,1912,2040,1,0,64.7058823529412,0,4.59364574410663,26.7568500013306,26.7568500013306,0,20,22,34,17.6601981977762,0,1,,4.8861348
std2_TDL,GMSK,"RS(255,223)_D1",223,1,223,255,1,0.0501058794220229,58.8235294117647,0.0555555555555556,4.20462064825906,27.5254636253816,27.5254636253816,1,18,20,34,17.882336190519,0,1,,2.012608
std2_TDL,GMSK,"RS(255,223)_D2",223,2,446,510,1,0,85.2941176470588,0,4.3530616089205,27.2241037245071,27.2241037245071,0,27,29,34,17.928204000308,0,1,,2.5789411
std2_TDL,GMSK,"RS(255,223)_D3",223,3,669,765,1,0.0232793178420981,70.5882352941177,0.0909090909090909,3.73391108413633,28.556720562922,28.556720562922,2,22,24,34,17.6837599855356,0,1,,3.0339008
std2_TDL,GMSK,"RS(255,223)_D4",223,4,892,1020,1,0.000560538116591928,52.9411764705882,0.0625,3.93704368444046,28.0965953272272,28.0965953272272,1,16,18,34,17.8628957269125,0,1,,3.4752837
std2_TDL,GMSK,"RS(255,223)_D5",223,5,1115,1275,1,0.0554242842359434,50,0.153846153846154,4.14369998077666,27.6522339330654,27.6522339330654,2,13,17,34,17.7064768956917,0,1,,3.7685382
std2_TDL,GMSK,"RS(255,223)_D8",223,8,1784,2040,1,0.018187024761162,73.5294117647059,0.0869565217391304,3.75241744679079,28.5137770692226,28.5137770692226,2,23,25,34,17.6588251826167,0,1,,4.8990269
std2_TDL,GMSK,"RS(255,239)_D1",239,1,239,255,1,0.000871687587168759,67.6470588235294,0.0476190476190476,4.24868342790572,27.4349125452401,27.4349125452401,1,21,23,34,17.882336190519,0,1,,2.0303008
std2_TDL,GMSK,"RS(255,239)_D2",239,2,478,510,1,0.040402719665272,64.7058823529412,0.1,4.30734743980939,27.3158019141501,27.3158019141501,2,20,22,34,17.928204000308,0,1,,2.6586811
std2_TDL,GMSK,"RS(255,239)_D3",239,3,717,765,1,0.0430613668061367,52.9411764705882,0.125,3.72247280657075,28.5833693234937,28.5833693234937,2,16,18,34,17.6837599855356,0,1,,3.0259079
std2_TDL,GMSK,"RS(255,239)_D4",239,4,956,1020,1,0.0327405857740586,64.7058823529412,0.1,3.91830582744058,28.1380333985439,28.1380333985439,2,20,22,34,17.8628957269125,0,1,,3.4571091
std2_TDL,GMSK,"RS(255,239)_D5",239,5,1195,1275,1,0.0202615062761506,64.7058823529412,0.05,4.15462343782597,27.6293666640011,27.6293666640011,1,20,22,34,17.7064768956917,0,1,,3.800336
std2_TDL,GMSK,"RS(255,239)_D8",239,8,1912,2040,1,0.0423432151007988,70.5882352941177,0.136363636363636,3.72353790634437,28.5808844119062,28.5808844119062,3,22,24,34,17.6588251826167,0,1,,4.7952754
std3_CDL,GMSK,"RS(255,223)_D1",223,1,223,255,1,0.0238579035874439,100,0.03125,6.71404427857715,23.4603159788339,23.4603159788339,1,32,34,34,17.4666869787998,0,1,,1.9486833
