Modulation,Shape,Coding,BER,FER,ComparedFrames,Coverage,SampleRateConsistent,Pass,Error
OQPSK,root raised cosine,none,0,0,120,COMPLETE,1,1,
OQPSK,raised cosine,none,0,0,120,COMPLETE,1,1,
OQPSK,none,none,0,0,120,COMPLETE,1,1,
UQPSK,root raised cosine,none,0,0,120,COMPLETE,1,1,
UQPSK,raised cosine,none,0,0,120,COMPLETE,1,1,
UQPSK,none,none,0,0,120,COMPLETE,1,1,
