ModType,NoisePSD_dBmHz,NoisePower_dBm,EqSNR_dB,LockPct,BER,FER,CountedFrames,FrameErrors,AcquisitionFrames,HGain_dB,Status
32QAM,-148,-76.6966623150499,2.24434028066986,0,0.5,NaN,0,0,NaN,-74.4523220343801,NO_SYNC
32QAM,-150,-78.6966623150499,4.24434028066986,37.0786516853933,0.267503004807692,0.538461538461538,13,7,63,-74.4523220343801,NO_SYNC
32QAM,-152,-80.6966623150499,6.24434028066986,61.7977528089888,0.0474105342741935,0.0967741935483871,31,3,56,-74.4523220343801,NO_SYNC
32QAM,-154,-82.6966623150499,8.24434028066986,80.8988764044944,0.0974786931818182,0.212121212121212,66,14,13,-74.4523220343801,NO_SYNC
32QAM,-156,-84.6966623150499,10.2443402806699,97.752808988764,0.0239076967592593,0.0493827160493827,81,4,9,-74.4523220343801,NO_SYNC
32QAM,-158,-86.6966623150499,12.2443402806699,98.876404494382,0.00622106481481481,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
32QAM,-160,-88.6966623150499,14.2443402806699,98.876404494382,1.20563271604938e-05,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
32QAM,-162,-90.6966623150499,16.2443402806699,98.876404494382,0,0,81,0,4,-74.4523220343801,NO_SYNC
32QAM,-164,-92.6966623150499,18.2443402806699,98.876404494382,2.41126543209877e-05,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
32QAM,-166,-94.6966623150499,20.2443402806699,98.876404494382,3.61689814814815e-05,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
32QAM,-168,-96.6966623150499,22.2443402806699,98.876404494382,4.82253086419753e-05,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
32QAM,-170,-98.6966623150499,24.2443402806699,98.876404494382,4.82253086419753e-05,0.0123456790123457,81,1,4,-74.4523220343801,NO_SYNC
QPSK,-140,-68.6966623150499,-6.7380165586263,0,0.5,NaN,0,0,NaN,-75.4346788736762,NO_SYNC
QPSK,-142,-70.6966623150499,-4.7380165586263,50.561797752809,0.203767475328947,0.5,38,19,8,-75.4346788736762,NO_SYNC
QPSK,-144,-72.6966623150499,-2.7380165586263,91.0112359550562,0.140872784514925,0.298507462686567,67,20,5,-75.4346788736762,NO_SYNC
QPSK,-146,-74.6966623150499,-0.738016558626299,98.876404494382,0.02083740234375,0.0875,80,7,3,-75.4346788736762,NO_SYNC
QPSK,-148,-76.6966623150499,1.2619834413737,100,0.000590760030864198,0.0123456790123457,81,1,3,-75.4346788736762,SYNC_ONLY
QPSK,-150,-78.6966623150499,3.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-152,-80.6966623150499,5.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-154,-82.6966623150499,7.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-156,-84.6966623150499,9.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-158,-86.6966623150499,11.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-160,-88.6966623150499,13.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-162,-90.6966623150499,15.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-164,-92.6966623150499,17.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-166,-94.6966623150499,19.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-168,-96.6966623150499,21.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
QPSK,-170,-98.6966623150499,23.2619834413737,100,0,0,81,0,3,-75.4346788736762,ZERO_ERROR
