ModType,SyncThreshold_dB,DecodeThreshold_dB,ZeroErrorThreshold_dB
QPSK,1.2619130547499,3.2619130547499,3.2619130547499
16QAM,7.78565139929969,9.78565139929969,9.78565139929969
32QAM,15.2546447269515,NaN,NaN
16APSK,13.7852020455403,NaN,NaN
32APSK,15.2561933644828,18.2561933644828,18.2561933644828
