ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
16QAM,-156,364235753,9.79055159528244,100,0,0,1,1,1
16QAM,-156,364236762,9.78261744984316,100,0,0,1,1,1
16QAM,-156,364237771,9.77126591697183,100,0,0,1,1,1
16QAM,-156,364238780,9.78825573234865,100,0,0,1,1,1
16QAM,-156,364239789,9.77479858986577,100,0,0,1,1,1
16QAM,-156,364240798,9.78801618037197,100,0,0,1,1,1
16QAM,-156,364241807,9.7861131264476,100,0,0,1,1,1
16QAM,-155,364232726,8.79170217140496,100,0.00688416280864198,0.037037037037037,1,0,0
16QAM,-155,364233735,8.79520513586374,100,0,0,1,1,1
16QAM,-155,364234744,8.78798809459676,100,0,0,1,1,1
16QAM,-155,364235753,8.79055159528244,98.876404494382,0.00570068359375,0.0125,1,0,0
16QAM,-155,364236762,8.78261744984316,100,0,0,1,1,1
16QAM,-155,364237771,8.77126591697183,100,0,0,1,1,1
16QAM,-155,364238780,8.78825573234865,100,0,0,1,1,1
16QAM,-155,364239789,8.77479858986577,100,0,0,1,1,1
16QAM,-155,364240798,8.78801618037197,98.876404494382,0,0,1,1,1
16QAM,-155,364241807,8.7861131264476,98.876404494382,0,0,1,1,1
16QAM,-154,364232726,7.79170217140496,100,0,0,1,1,1
16QAM,-154,364233735,7.79520513586374,100,0.0117549189814815,0.0246913580246914,1,0,0
16QAM,-154,364234744,7.78798809459676,100,0,0,1,1,1
16QAM,-154,364235753,7.79055159528244,98.876404494382,0.00604021990740741,0.0123456790123457,1,0,0
16QAM,-154,364236762,7.78261744984316,100,0,0,1,1,1
16QAM,-154,364237771,7.77126591697183,100,0.00380979938271605,0.0123456790123457,1,0,0
16QAM,-154,364238780,7.78825573234865,100,0.00659481095679012,0.0123456790123457,1,0,0
16QAM,-154,364239789,7.77479858986577,98.876404494382,0.00595703125,0.0125,1,0,0
16QAM,-154,364240798,7.78801618037197,100,0.00247154706790123,0.0123456790123457,1,0,0
16QAM,-154,364241807,7.7861131264476,100,0.00523244598765432,0.0123456790123457,1,0,0
16QAM,-153,364232726,6.79170217140496,95.5056179775281,0.0125050730519481,0.025974025974026,0,0,0
16QAM,-153,364233735,6.79520513586374,98.876404494382,0.00791015625,0.025,1,0,0
16QAM,-153,364234744,6.78798809459676,97.752808988764,0,0,0,0,0
16QAM,-153,364235753,6.79055159528244,98.876404494382,0.0112847222222222,0.0246913580246914,1,0,0
16QAM,-153,364236762,6.78261744984316,97.752808988764,0.0118176424050633,0.0253164556962025,0,0,0
16QAM,-153,364237771,6.77126591697183,97.752808988764,0.0126458662974684,0.0253164556962025,0,0,0
16QAM,-153,364238780,6.78825573234865,97.752808988764,0.0119412579113924,0.0253164556962025,0,0,0
16QAM,-153,364239789,6.77479858986577,96.6292134831461,0.0186047676282051,0.0384615384615385,0,0,0
16QAM,-153,364240798,6.78801618037197,95.5056179775281,0,0,0,0,0
16QAM,-153,364241807,6.7861131264476,96.6292134831461,0,0,0,0,0
16QAM,-152,364232726,5.79170217140496,94.3820224719101,0.0130550986842105,0.0263157894736842,0,0,0
16QAM,-152,364233735,5.79520513586374,95.5056179775281,0.0312249599358974,0.0641025641025641,0,0,0
16QAM,-152,364234744,5.78798809459676,97.752808988764,0.02073974609375,0.05,0,0,0
16QAM,-152,364235753,5.79055159528244,95.5056179775281,0.00595953525641026,0.0128205128205128,0,0,0
16QAM,-152,364236762,5.78261744984316,97.752808988764,0.0117558346518987,0.0253164556962025,0,0,0
