CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain_default_ChannelData,BPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000446,0.021854,0.020962,4.50751917776565,26.9212483369028,26.9212483369024,-0.0381336035478426,12.4421177207585,1.92865493310657e-15,3.64061778825538,wrap,10,0.02238,0,1,OK,,4.0519206
2,H_EQ_rawGain_default_ChannelData,BPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000892,0.042816,0.041032,1.81094153949754,34.8419113855843,34.8419113855814,-0.112833067988728,13.7733200291032,1.92865493310657e-15,4.16908138472267,wrap,10,0.04476,0,1,OK,,6.7941964
3,H_EQ_rawGain_default_ChannelData,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000223,0.010927,0.010481,3.67840967584109,28.6867980737421,28.6867980737415,0.165165715650582,11.7652901428597,1.92865493310657e-15,3.44038849763853,wrap,10,0.01119,0,1,OK,,2.2130015
4,H_EQ_rawGain_default_ChannelData,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000446,0.021408,0.020516,4.47832972246171,26.9776786824285,26.9776786824281,-0.235110162940521,12.4421673159454,1.92865493310657e-15,3.64061778825538,wrap,10,0.02238,0,1,OK,,5.0027715
5,H_EQ_rawGain_default_ChannelData,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,0.000148666666666667,0.00728466666666667,0.00683866666666667,1.96554795546734,34.130327115832,34.1303271158296,0.0830953876683422,12.1319805493736,1.92865493310657e-15,3.66039196506188,wrap,10,0.00746,0,1,OK,,2.5607067
6,H_EQ_rawGain_default_ChannelData,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,48,0.000297333333333333,0.014272,0.01338,3.9334664101451,28.1044910827757,28.1044910827751,-0.41157409282972,12.0871047505569,1.92865493310657e-15,3.52996058960004,wrap,10,0.01492,0,1,OK,,3.5190575
7,H_EQ_rawGain_default_ChannelData,16QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,0.0001115,0.0054635,0.005129,3.02516525929808,30.3850179128527,30.3697037783718,9.70109456211901,12.0631845560019,1.92865493310657e-15,3.58202896917341,wrap,10,0.005595,0,1,OK,,1.9911242
8,H_EQ_rawGain_default_ChannelData,16QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000223,0.010704,0.010258,4.71414540445889,26.5319405220198,26.5858050534749,-1.03473409906241,11.7651513801237,1.92865493310657e-15,3.44038849763853,wrap,10,0.01119,0,1,OK,,2.6128401
9,H_EQ_rawGain_default_ChannelData,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,8.92e-05,0.0043708,0.0041032,4.65086511091781,26.649325123051,26.6326161130748,-12.7037657040087,12.2513902605853,1.92865493310657e-15,3.60193144170499,wrap,10,0.004475,0,1,OK,,1.5836932
10,H_EQ_rawGain_default_ChannelData,32QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.0001784,0.0083848,0.008028,4.45023907068829,27.0323331543507,27.0124840355113,-43.7058889531528,11.7752508972079,1.92865493310657e-15,3.47940269227911,wrap,10,0.00895,0,1,OK,,2.5469557
11,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000446,0.021854,0.020962,4.92772614674951,26.147068712734,26.147068712734,NaN,12.4421184403927,1.92865493310657e-15,3.64061778825538,wrap,10,0.02238,0,1,OK,,2.7878745
12,H_EQ_rawGain_default_ChannelData,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000892,0.042816,0.041032,3.78525241973175,28.4381030850145,28.4381030850145,NaN,13.7733792297652,1.92865493310657e-15,4.16908138472267,wrap,10,0.04476,0,1,OK,,4.8461903
13,H_EQ_rawGain_std2_likely_TDL,BPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000446,0.021854,0.020962,2.0810113799889,33.6345108969412,33.634510896939,0.0977606094107869,12.3580136376737,1.92865493310657e-15,3.83446767925337,wrap,10,0.02238,0,1,OK,,2.5175098
14,H_EQ_rawGain_std2_likely_TDL,BPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000892,0.042816,0.041032,1.44140270452984,36.8242933480251,36.8242933480206,-0.0365642888124564,14.267973639307,1.92865493310657e-15,4.5256673420735,wrap,10,0.04476,0,1,OK,,5.7519129
15,H_EQ_rawGain_std2_likely_TDL,QPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000223,0.010927,0.010481,2.40619073743759,32.3733989868614,32.3733989868598,0.0390003877518428,10.6845440651771,1.92865493310657e-15,3.2337374089807,wrap,10,0.01119,0,1,OK,,2.0845308
16,H_EQ_rawGain_std2_likely_TDL,QPSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000446,0.021408,0.020516,2.03065430258075,33.8472800869039,33.8472800869017,0.0691496248986438,12.3579763796166,1.92865493310657e-15,3.83446767925337,wrap,10,0.02238,0,1,OK,,5.0331546
17,H_EQ_rawGain_std2_likely_TDL,8PSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,97.9591836734694,0,46,48,0.000148666666666667,0.007136,0.00683866666666667,1.6682301999824,35.5548804206801,35.5548804206768,0.0610961352184879,10.9330989990824,1.92865493310657e-15,3.33146824899621,wrap,10,0.00746,0,1,OK,,2.3417838
18,H_EQ_rawGain_std2_likely_TDL,8PSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.000297333333333333,0.0139746666666667,0.01338,1.57752997092016,36.0404476200397,36.040447620036,-0.0285854266311058,11.6366737291699,1.92865493310657e-15,3.58327570294122,wrap,10,0.01492,0,1,OK,,3.368092
19,H_EQ_rawGain_std2_likely_TDL,16QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,0.0001115,0.0054635,0.005129,2.76762449095346,31.1578566988265,31.1425425643454,9.7466166200064,10.3421138276255,1.92865493310657e-15,3.10180787312581,wrap,10,0.005595,0,1,OK,,1.6147616
20,H_EQ_rawGain_std2_likely_TDL,16QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,48,0.000223,0.010704,0.010258,3.77567665609945,28.4601041036052,28.51396863506,-2.26477625316863,10.6856006281288,1.92865493310657e-15,3.2337374089807,wrap,10,0.01119,0,1,OK,,2.5945987
21,H_EQ_rawGain_std2_likely_TDL,32QAM,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,46,49,8.92e-05,0.0043708,0.0041032,4.47698241484066,26.980292229609,26.9635832196328,-12.060332808553,10.0771707653623,1.92865493310657e-15,2.9835467634414,wrap,10,0.004475,0,1,OK,,1.5365734
22,H_EQ_rawGain_std2_likely_TDL,32QAM,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,45,47,0.0001784,0.0083848,0.008028,4.4099197684477,27.1113862353026,27.0915371164632,-43.3944607802165,10.8490414474174,1.92865493310657e-15,3.31105221077895,wrap,10,0.00895,0,1,OK,,2.4705604
23,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0.00185096841904398,100,0.0212765957446809,47,49,0.000446,0.021854,0.020962,3.85445263835692,28.2807457271976,28.2807457271976,NaN,12.3579105669014,1.92865493310657e-15,3.83446767925337,wrap,10,0.02238,0,1,OK,,3.1064384
24,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0200752722613709,91.6666666666667,0.0714285714285714,42,44,0.000892,0.039248,0.037464,3.70287963418325,28.6292080979775,28.6292080979775,NaN,14.2679682172439,1.92865493310657e-15,4.5256673420735,wrap,10,0.04476,0,1,OK,,7.329058
25,H_EQ_rawGain_std3_likely_CDL,BPSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,47,49,0.000446,0.021854,0.020962,3.5544471820793,28.9845586972304,28.9845586972297,0.0244629940267708,11.2243220778887,1.92865493310657e-15,2.91166889977068,wrap,10,0.02238,0,1,OK,,2.8314898
