SNR_dB,CFO_Hz,BER,FrameLock_pct,DetectedFMFrames,TotalFMFrames,Success,ErrorMsg
0,0,0.5,0.4,NaN,NaN,1,
2,0,0.0304309915296462,0.863636363636364,NaN,NaN,1,
4,0,0.000501534104319094,1,NaN,NaN,1,
6,0,0,1,NaN,NaN,1,
8,0,0,1,NaN,NaN,1,
10,0,0,1,NaN,NaN,1,
12,0,0,1,NaN,NaN,1,
0,2000000,0.5,0,NaN,NaN,1,
2,2000000,0.5,0,NaN,NaN,1,
4,2000000,0.000560538116591928,1,NaN,NaN,1,
6,2000000,0.5,0,NaN,NaN,1,
8,2000000,0,1,NaN,NaN,1,
10,2000000,0,1,NaN,NaN,1,
12,2000000,0,1,NaN,NaN,1,
0,5000000,0.5,0,NaN,NaN,1,
2,5000000,0.5,0,NaN,NaN,1,
4,5000000,0.5,0,NaN,NaN,1,
6,5000000,0,1,NaN,NaN,1,
8,5000000,0,1,NaN,NaN,1,
10,5000000,0,1,NaN,NaN,1,
12,5000000,0,1,NaN,NaN,1,
