CaseName,HEnabled,EqualizerEnabled,NormalizeH,NormalizeEqualizerOutput,BER,LockRate,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HPathCount
NoH_baseline,0,0,0,0,0,1,0,39,58,1.5184613523855,36.3719251438548,36.3719251438507,0.00318114995594583,0,NaN,NaN,NaN
H_noEQ_normH_OFF,1,0,0,0,0.5,0,NaN,0,1,61.6546925656913,4.20067726933615,4.20067726933615,0.171056138246287,13.8163473639196,1.92865493310657e-15,4.11979756372699,1
H_noEQ_normH_ON,1,0,1,0,0.5,0,NaN,0,0,54.597546329449,5.2565374900537,5.2565374900537,0.479810969140205,13.8163473639196,-13.8163473639196,0.839573086367221,1
H_EQ_normH_OFF_normEQ_OFF,1,1,0,0,6.03656433252846e-05,1,0.0256410256410256,39,58,3.01821982970483,30.404982638121,30.40498263812,0.000312267474697636,13.8163473639196,1.92865493310657e-15,4.11979756372699,1
H_EQ_normH_OFF_normEQ_ON,1,1,0,1,6.03656433252846e-05,1,0.0256410256410256,39,58,3.02383015116861,30.3888521369739,30.3888521369729,-0.000283328065471625,13.8163473639196,1.92865493310657e-15,4.11979756372699,1
H_EQ_normH_ON_normEQ_OFF,1,1,1,0,9.48602966540186e-05,1,0.0256410256410256,39,58,3.01016660949492,30.4281893201378,30.4281893201368,0.000481390123545369,13.8163473639196,-13.8163473639196,0.839573086367221,1
H_EQ_normH_ON_normEQ_ON,1,1,1,1,9.48602966540186e-05,1,0.0256410256410256,39,58,3.02120165424331,30.3964057235822,30.3964057235812,-0.000684250846883049,13.8163473639196,-13.8163473639196,0.839573086367221,1
