CaseName,HEnabled,NormalizeH,EqualizerEnabled,EqualizerMode,EqualizerReg,BER,LockRate,FER,CountedFrames,MatchedFrames,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HPathCount
NoH_baseline,0,1,0,none,NaN,0,1,0,79,98,1.51231855329515,36.407134396713,36.4071343967089,0.00328621296687761,0,NaN,NaN,NaN
H_noEQ_normON,1,1,0,none,NaN,0.5,0,NaN,0,1,56.5564527252825,4.95035675443083,4.95035675443083,-1.14870794512805,14.1462328750486,-14.1462328750486,0.838721611199789,1
H_noEQ_normOFF,1,0,0,none,NaN,0.5,0,NaN,0,1,58.7714690154072,4.61666907585605,4.61666907585605,0.525912981077109,14.1468756138049,1.92865493310657e-15,4.27493462202742,1
H_EQ_mmse_normON_regDefault,1,1,1,mmse,NaN,4.51342379593501e-05,1,0.012987012987013,77,96,8.231080459006,21.690863061039,21.6908630610388,-0.00282363134277298,14.1463638897155,-14.1463638897155,0.838708960336339,1
H_EQ_mmse_normOFF_regDefault,1,0,1,mmse,NaN,5.3925185899983e-05,1,0.0253164556962025,79,98,5.96597127989385,24.4863768331353,24.486376833135,-0.0239085628214388,14.1461816729957,1.92865493310657e-15,4.27493462202742,1
H_EQ_mmse_normON_reg1e_4,1,1,1,mmse,0.0001,3.59319305507646e-05,1,0.0256410256410256,78,97,5.74728894106776,24.8107393691168,24.8107393691165,0.0137179784323361,14.146800836231,-14.146800836231,0.838666769869335,1
H_EQ_mmse_normON_reg1e_3,1,1,1,mmse,0.001,3.97343475052506e-05,1,0.0253164556962025,79,98,8.02677619926766,21.9091769150704,21.9091769150703,-0.0769870388742738,14.1459172709794,-14.1459172709794,0.83875208692232,1
H_EQ_zf_normON,1,1,1,zf,NaN,0.5,0.714285714285714,NaN,0,70,6.28267756377091,24.0371045668409,24.0371045668407,0.00832745587266512,14.1463164233261,-14.1463164233261,0.838713543700449,1
