Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,none,NRZ-L,20,20000,10,0.1,0,5.76829764964217,24.7790467540458,100,1,
BPSK,none,NRZ-M,20,20000,10,0.1,0,5.79516755156573,24.7386800614155,100,1,
BPSK,none,NRZ-S,20,20000,10,0.1,0,5.80944050265248,24.7173138351917,100,1,
BPSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.82940138182958,24.6875208084769,100,1,
BPSK,convolutional,NRZ-M,20,20000,10,0.1,0,5.72402899424958,24.8459635010028,100,1,
BPSK,convolutional,NRZ-S,20,20000,10,0.1,0,5.82528106631877,24.6936623069606,100,1,
QPSK,none,NRZ-L,20,20000,10,0.1,0,5.74635726591742,24.8121475258331,100,1,
QPSK,none,NRZ-M,20,20000,10,0.1,0,5.75784893254288,24.7947946760069,100,1,
QPSK,none,NRZ-S,20,20000,10,0.1,0,5.75300438390092,24.8021059006708,100,1,
QPSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.80596966023937,24.7225047590809,100,1,
QPSK,convolutional,NRZ-M,20,20000,10,0.1,7.0067264573991e-05,5.79692992095955,24.7360389956015,100,1,
QPSK,convolutional,NRZ-S,20,20000,10,0.1,3.73692077727952e-05,5.74622594867742,24.8123460202939,100,1,
8PSK,none,NRZ-L,20,20000,10,0.1,0,5.75407909575846,24.8004834515714,100,1,
8PSK,none,NRZ-M,20,20000,10,0.1,0,5.85934140722972,24.6430239229141,100,1,
8PSK,none,NRZ-S,20,20000,10,0.1,0,5.76314226679254,24.7868131890759,100,1,
8PSK,convolutional,NRZ-L,20,20000,10,0.1,0,5.72454035217389,24.8451875789876,100,1,
8PSK,convolutional,NRZ-M,20,20000,10,0.1,0,5.8109006203644,24.7151310384499,100,1,
8PSK,convolutional,NRZ-S,20,20000,10,0.1,0,5.71037643149379,24.8667052370721,100,1,
