CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s
1,H_EQ_rawGain_default_ChannelData,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.79976827902563,28.4048577424477,28.4048577424477,NaN,16.3019610834679,1.92865493310657e-15,6.0405964252986,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.7185802
2,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,4.03500467796961,27.8831191488743,27.8831191488743,NaN,16.1923286757519,1.92865493310657e-15,5.97859478159267,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.1765584
3,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.72254220975365,28.5832073820104,28.5832073820104,NaN,17.065238764849,1.92865493310657e-15,6.80453738226378,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.9042214
4,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,4/5,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.6932468607844,28.6518332529194,28.6518332529194,NaN,16.8842996824842,1.92865493310657e-15,6.61459391367498,error,10,0.002688,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.7192038
5,H_EQ_rawGain_default_ChannelData,GMSK,LDPC,7/8,1115,7136,0,NaN,1,1,0,1,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.67897435290156,28.685464794789,28.685464794789,NaN,15.9360647501785,1.92865493310657e-15,5.79369522625314,error,10,0.016384,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.8434588
6,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/2,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.75316808051667,28.5120397172999,28.5120397172999,NaN,15.9897475699092,1.92865493310657e-15,6.00800571325372,error,10,0.00728,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.0597772
7,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/3,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001338,0.052182,0.049506,6.2197952731072,24.1244782007917,24.1244782007917,NaN,15.6706876396315,1.92865493310657e-15,5.70189079929047,error,10,0.01092,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.3640197
8,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/4,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001784,0.069576,0.066008,4.44377219638895,27.0449642528909,27.0449642528909,NaN,15.9988176058618,1.92865493310657e-15,5.85918722031439,error,10,0.01456,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.7462615
9,H_EQ_rawGain_default_ChannelData,GMSK,Turbo,1/6,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.002676,0.104364,0.099012,5.90646937164883,24.5734408750947,24.5734408750947,NaN,16.3615371987869,1.92865493310657e-15,6.05893647862903,error,10,0.02184,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.2984521
10,H_EQ_rawGain_std2_likely_TDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.77644897370143,28.4583275798002,28.4583275798002,NaN,14.7583332980081,1.92865493310657e-15,5.26393696534763,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.3770861
11,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.90431379261483,28.1691057006164,28.1691057006164,NaN,13.0128944238342,1.92865493310657e-15,4.27210033674443,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.1231117
12,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.8567545789049,28.275559923838,28.275559923838,NaN,13.8887760148943,1.92865493310657e-15,4.85831690142154,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.8805026
13,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,4/5,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.75953551088623,28.4973161733618,28.4973161733618,NaN,14.1922263550915,1.92865493310657e-15,5.04741216053543,error,10,0.002688,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.6875392
14,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,7/8,1115,7136,0,NaN,1,1,0,1,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.68934677065307,28.661010449255,28.661010449255,NaN,14.6036265104463,1.92865493310657e-15,5.16359321387845,error,10,0.016384,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.786331
15,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/2,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.7468198805329,28.5267436816033,28.5267436816033,NaN,13.7834725281215,1.92865493310657e-15,4.71910366406669,error,10,0.00728,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.0670562
16,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/3,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001338,0.052182,0.049506,4.04935340719217,27.852286370803,27.852286370803,NaN,13.5900989861902,1.92865493310657e-15,4.62230373816195,error,10,0.01092,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.3453623
17,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/4,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001784,0.069576,0.066008,3.72744217507398,28.5717817032596,28.5717817032596,NaN,14.4629532104659,1.92865493310657e-15,5.05988054978469,error,10,0.01456,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.7406843
18,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/6,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.002676,0.104364,0.099012,3.75004173927056,28.5192779679309,28.5192779679309,NaN,15.2348645123698,1.92865493310657e-15,5.45042250931876,error,10,0.02184,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.281419
19,H_EQ_rawGain_std3_likely_CDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.93931993573785,28.091574922111,28.091574922111,NaN,16.1007425880782,1.92865493310657e-15,5.85082815244608,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.3786185
20,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.94137723698575,28.0870399192791,28.0870399192791,NaN,14.5327132497415,1.92865493310657e-15,5.09707136134224,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.1440843
21,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.69361280991254,28.6509726453312,28.6509726453312,NaN,14.9241565321919,1.92865493310657e-15,5.37022891992344,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.8313041
22,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,4/5,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.68573055744017,28.6695283345584,28.6695283345584,NaN,14.0969906024685,1.92865493310657e-15,4.92636432024087,error,10,0.002688,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.7254096
23,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,7/8,1115,7136,0,NaN,1,1,0,1,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.6558945131507,28.7401268770217,28.7401268770217,NaN,15.5002304611913,1.92865493310657e-15,5.52021751228547,error,10,0.016384,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.7398259
24,H_EQ_rawGain_std3_likely_CDL,GMSK,Turbo,1/2,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,4.04134627900386,27.8694787168708,27.8694787168708,NaN,13.8882057774197,1.92865493310657e-15,4.72039523958709,error,10,0.00728,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.0485026
25,H_EQ_rawGain_std3_likely_CDL,GMSK,Turbo,1/3,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001338,0.052182,0.049506,3.71105263735912,28.6100577119869,28.6100577119869,NaN,14.3700334257135,1.92865493310657e-15,5.00642520598214,error,10,0.01092,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.389879
