Scenario,ModType,TestedPoints,PassedPoints,MinimumPassedCFO_Hz,MaximumPassedCFO_Hz,ZeroCFOPassed
NoH,QPSK,2,2,-2000000,2000000,0
NoH,32APSK,2,0,NaN,NaN,0
